Chromosome	Gene	Strand	CDS	Start	Stop	Product
NC_000001.11	PANK4	-	NP_060686.3	2526585	2508849	4'-phosphopantetheine phosphatase
NC_000001.11	HES5	-	XP_005244808.1	2530162	2529471	transcription factor HES-5 isoform X1
NC_000001.11	TNFRSF14	+	NP_003811.2	2556665	2563273	tumor necrosis factor receptor superfamily member 14 isoform 1 precursor
NC_000001.11	PRXL2B	+	NP_001182665.4	2586886	2589427	prostamide/prostaglandin F synthase isoform a
NC_000001.11	MMEL1	-	XP_016857800.1	2629482	2590992	membrane metallo-endopeptidase-like 1 isoform X2
NC_000001.11	TTC34	-	XP_016855479.1	2789589	2641370	tetratricopeptide repeat protein 34 isoform X1
NC_000001.11	ACTRT2	+	NP_536356.3	3021687	3022820	actin-related protein T2
NC_000001.11	PRDM16	+	NP_071397.3	3069260	3433811	histone-lysine N-methyltransferase PRDM16 isoform 1
NC_000001.11	ARHGEF16	+	XP_016856540.1	3463085	3480587	rho guanine nucleotide exchange factor 16 isoform X2
NC_000001.11	MEGF6	-	NP_001400.3	3611266	3490530	multiple epidermal growth factor-like domains protein 6 precursor
NC_000001.11	TPRG1L	+	NP_877429.2	3625073	3628603	tumor protein p63-regulated gene 1-like protein
NC_000001.11	WRAP73	-	XP_005244811.1	3649997	3630977	WD repeat-containing protein WRAP73 isoform X2
NC_000001.11	TP73	+	NP_005418.1	3682366	3733079	tumor protein p73 isoform a
NC_000001.11	CCDC27	+	XP_016855891.1	3752482	3771440	coiled-coil domain-containing protein 27 isoform X1
NC_000001.11	SMIM1	+	NP_001275512.1	3775374	3775921	small integral membrane protein 1
NC_000001.11	LRRC47	-	NP_065761.1	3796474	3781090	leucine-rich repeat-containing protein 47
NC_000001.11	CEP104	-	NP_055519.1	3852405	3815404	centrosomal protein of 104 kDa
NC_000001.11	DFFB	+	NP_001269598.1	3857604	3883741	DNA fragmentation factor subunit beta isoform 1
NC_000001.11	C1orf174	-	XP_005244800.1	3892746	3889962	UPF0688 protein C1orf174 isoform X1
NC_000001.11	AJAP1	+	NP_061324.1	4655426	4774499	adherens junction-associated protein 1 precursor
NC_000001.11	NPHP4	-	XP_016856488.1	5961936	5863267	nephrocystin-4 isoform X7
NC_000001.11	KCNAB2	+	XP_005263571.1	6040569	6098574	voltage-gated potassium channel subunit beta-2 isoform X4
NC_000001.11	CHD5	-	NP_056372.1	6180021	6106282	chromodomain-helicase-DNA-binding protein 5
NC_000001.11	RPL22	-	NP_000974.1	6199571	6186674	60S ribosomal protein L22
NC_000001.11	RNF207	+	XP_011539741.1	6206026	6219407	RING finger protein 207 isoform X1
NC_000001.11	ICMT	-	NP_036537.1	6235909	6225082	protein-S-isoprenylcysteine O-methyltransferase
NC_000001.11	HES3	+	NP_001019769.1	6244366	6245507	transcription factor HES-3
NC_000001.11	GPR153	-	NP_997253.2	6254903	6249340	probable G-protein coupled receptor 153
NC_000001.11	ACOT7	-	NP_009205.3	6393397	6264599	cytosolic acyl coenzyme A thioester hydrolase isoform hBACHa
NC_000001.11	HES2	-	NP_061962.2	6419818	6418875	transcription factor HES-2
NC_000001.11	ESPN	+	XP_016857922.1	6424956	6461185	espin isoform X6
NC_000001.11	TNFRSF25	-	NP_003781.1	6466105	6461436	tumor necrosis factor receptor superfamily member 25 isoform 2 precursor
NC_000001.11	PLEKHG5	-	NP_941374.2	6519509	6467565	pleckstrin homology domain-containing family G member 5 isoform b
NC_000001.11	NOL9	-	NP_078930.4	6554500	6525856	polynucleotide 5'-hydroxyl-kinase NOL9
NC_000001.11	TAS1R1	+	NP_619642.2	6555374	6579584	taste receptor type 1 member 1 isoform b precursor
NC_000001.11	ZBTB48	+	NP_005332.1	6580610	6589212	telomere zinc finger-associated protein
NC_000001.11	KLHL21	-	NP_055666.2	6602815	6593367	kelch-like protein 21 isoform 1
NC_000001.11	PHF13	+	NP_722519.2	6614067	6621637	PHD finger protein 13
NC_000001.11	THAP3	+	XP_024306454.1	6625219	6632922	THAP domain-containing protein 3 isoform X4
NC_000001.11	DNAJC11	-	XP_016857234.1	6680911	6635677	dnaJ homolog subfamily C member 11 isoform X1
NC_000001.11	CAMTA1	+	NP_001229630.1	6785531	6887725	calmodulin-binding transcription activator 1 isoform c
NC_000001.11	VAMP3	+	XP_016858330.1	7773442	7778255	vesicle-associated membrane protein 3 isoform X1
NC_000001.11	PER3	+	XP_016858223.1	7788180	7842755	period circadian protein homolog 3 isoform X16
NC_000001.11	UTS2	-	XP_016855608.1	7853429	7846754	urotensin-2 isoform X6
NC_000001.11	TNFRSF9	-	NP_001552.2	7939992	7920837	tumor necrosis factor receptor superfamily member 9 precursor
NC_000001.11	PARK7	+	NP_001116849.1	7962786	7985054	protein/nucleic acid deglycase DJ-1
NC_000001.11	ERRFI1	-	XP_011539898.1	8014371	8013212	ERBB receptor feedback inhibitor 1 isoform X3
NC_000001.11	SLC45A1	+	XP_011539832.1	8318109	8344013	proton-associated sugar transporter A isoform X1
NC_000001.11	RERE	-	NP_001036146.1	8656295	8355089	arginine-glutamic acid dipeptide repeats protein isoform a
NC_000001.11	ENO1	-	NP_001419.1	8874906	8861362	alpha-enolase isoform 1
NC_000001.11	CA6	+	NP_001206.2	8945887	8974704	carbonic anhydrase 6 isoform 1 precursor
NC_000001.11	SLC2A7	-	XP_011539126.1	9026343	8992682	solute carrier family 2, facilitated glucose transporter member 7 isoform X1
NC_000001.11	SLC2A5	-	NP_001315548.1	9069534	9037588	solute carrier family 2, facilitated glucose transporter member 5 isoform 1
NC_000001.11	GPR157	-	NP_079256.4	9129025	9104421	G-protein coupled receptor 157
NC_000001.11	H6PD	+	XP_006711115.1	9244935	9264869	GDH/6PGL endoplasmic bifunctional protein isoform X2
NC_000001.11	SPSB1	+	NP_079382.2	9355892	9367575	SPRY domain-containing SOCS box protein 1
NC_000001.11	SLC25A33	+	NP_115691.1	9539692	9582501	solute carrier family 25 member 33
NC_000001.11	TMEM201	+	XP_016856038.1	9588931	9613199	transmembrane protein 201 isoform X1
NC_000001.11	LOC107985734	+	XP_016858566.1	9614664	9622245	uncharacterized protein LOC107985734
NC_000001.11	PIK3CD	+	XP_016856966.1	9710456	9727046	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform isoform X1
NC_000001.11	CLSTN1	-	NP_001009566.1	9823731	9730510	calsyntenin-1 isoform 1 precursor
NC_000001.11	CTNNBIP1	-	NP_001012329.1	9872062	9850720	beta-catenin-interacting protein 1
NC_000001.11	LZIC	-	NP_001303904.1	9936617	9922257	protein LZIC isoform c
NC_000001.11	NMNAT1	+	NP_001284707.1	9972074	9982701	nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 isoform 1
NC_000001.11	RBP7	+	NP_443192.1	9997259	10015832	retinoid-binding protein 7
NC_000001.11	UBE4B	+	XP_005263479.1	10033671	10179956	ubiquitin conjugation factor E4 B isoform X1
NC_000001.11	KIF1B	+	NP_001352880.1	10232329	10376587	kinesin-like protein KIF1B isoform c
NC_000001.11	PGD	+	NP_001291381.1	10399660	10419749	6-phosphogluconate dehydrogenase, decarboxylating isoform 3
NC_000001.11	CENPS-CORT	+	NP_001257446.1	10430518	10442405	APITD1-CORT protein isoform 4
NC_000001.11	CENPS	+	NP_954988.1	10430518	10442405	centromere protein S
NC_000001.11	CORT	+	NP_001293.3	10450224	10451595	cortistatin preproprotein
NC_000001.11	DFFA	-	NP_004392.1	10472456	10461492	DNA fragmentation factor subunit alpha isoform 1
NC_000001.11	PEX14	+	XP_011539882.1	10474967	10629987	peroxisomal membrane protein PEX14 isoform X4
NC_000001.11	CASZ1	-	NP_001073312.1	10693887	10638944	zinc finger protein castor homolog 1 isoform a
NC_000001.11	C1orf127	-	NP_001164225.1	10982035	10947665	uncharacterized protein C1orf127 isoform 1 precursor
NC_000001.11	TARDBP	+	XP_016856352.1	11013728	11022654	TAR DNA-binding protein 43 isoform X1
NC_000001.11	MASP2	-	NP_006601.2	11047205	11026887	mannan-binding lectin serine protease 2 isoform 1 preproprotein
NC_000001.11	SRM	-	NP_003123.2	11059941	11054867	spermidine synthase
NC_000001.11	EXOSC10	-	XP_005263532.2	11099829	11066720	exosome component 10 isoform X1
NC_000001.11	ANGPTL7	+	XP_016855493.1	11189580	11194244	angiopoietin-related protein 7 isoform X1
NC_000001.11	MTOR	-	XP_024301955.1	11259407	11107487	serine/threonine-protein kinase mTOR isoform X1
NC_000001.11	UBIAD1	+	NP_001317278.1	11273532	11294890	ubiA prenyltransferase domain-containing protein 1 isoform 2
NC_000001.11	DISP3	+	NP_065831.1	11500993	11536686	protein dispatched homolog 3
NC_000001.11	FBXO2	-	NP_036300.2	11654338	11648696	F-box only protein 2
NC_000001.11	FBXO44	+	XP_005263594.1	11655836	11661305	F-box only protein 44 isoform X1
NC_000001.11	FBXO6	+	NP_060908.1	11668659	11673851	F-box only protein 6
NC_000001.11	MAD2L2	-	NP_001120797.1	11680599	11674777	mitotic spindle assembly checkpoint protein MAD2B
NC_000001.11	DRAXIN	+	XP_011539707.1	11686715	11719696	draxin isoform X1
NC_000001.11	AGTRAP	+	NP_001035287.1	11736209	11748593	type-1 angiotensin II receptor-associated protein isoform e
NC_000001.11	C1orf167	+	XP_024302275.1	11763722	11789043	uncharacterized protein C1orf167 isoform X1
NC_000001.11	MTHFR	-	NP_005948.3	11803114	11790682	methylenetetrahydrofolate reductase isoform 2
NC_000001.11	CLCN6	+	NP_001243888.1	11806263	11840223	chloride transport protein 6 isoform 2
NC_000001.11	NPPA	-	NP_006163.1	11847682	11846011	natriuretic peptides A preproprotein
NC_000001.11	NPPB	-	NP_002512.1	11858831	11857657	natriuretic peptides B preproprotein
NC_000001.11	KIAA2013	-	NP_612355.1	11926235	11920317	uncharacterized protein KIAA2013 precursor
NC_000001.11	PLOD1	+	NP_001303249.1	11934780	11974808	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 isoform 1 precursor
NC_000001.11	MFN2	+	NP_001121132.1	11989169	12011565	mitofusin-2
NC_000001.11	MIIP	+	XP_005263544.1	12021727	12031561	migration and invasion-inhibitory protein isoform X2
NC_000001.11	TNFRSF8	+	NP_001234.3	12063599	12142531	tumor necrosis factor receptor superfamily member 8 isoform 1 precursor
NC_000001.11	TNFRSF1B	+	XP_011540362.1	12167092	12207020	tumor necrosis factor receptor superfamily member 1B isoform X2
NC_000001.11	VPS13D	+	NP_056193.2	12234267	12509024	vacuolar protein sorting-associated protein 13D isoform 1
NC_000001.11	DHRS3	-	NP_004744.2	12617346	12568342	short-chain dehydrogenase/reductase 3 isoform 1
NC_000001.11	AADACL4	+	NP_001013652.1	12644547	12666735	arylacetamide deacetylase-like 4
NC_000001.11	AADACL3	+	NP_001096640.2	12716177	12725996	arylacetamide deacetylase-like 3
NC_000001.11	C1orf158	+	NP_689503.3	12746431	12760951	uncharacterized protein C1orf158 isoform 1
NC_000001.11	PRAMEF12	+	NP_001074299.2	12774868	12777599	PRAME family member 12
NC_000001.11	PRAMEF1	+	NP_075389.2	12793228	12795996	PRAME family member 1 isoform 1
NC_000001.11	PRAMEF11	-	XP_011539781.1	12828787	12824944	PRAME family member 11 isoform X1
NC_000001.11	HNRNPCL1	-	NP_001013653.1	12848287	12847410	heterogeneous nuclear ribonucleoprotein C-like 1
NC_000001.11	PRAMEF2	+	NP_075390.1	12859010	12861779	PRAME family member 2
NC_000001.11	PRAMEF4	-	NP_001009611.2	12883392	12879546	PRAME family member 4
NC_000001.11	PRAMEF10	-	NP_001034450.3	12895845	12892918	PRAME family member 10
NC_000001.11	PRAMEF7	+	NP_001012277.2	12917693	12920413	PRAME family member 7
NC_000001.11	PRAMEF6	-	NP_001010889.1	12942516	12938677	PRAME family member 6
NC_000001.11	PRAMEF27	-	NP_001287820.1	13053657	13049810	PRAME family member 27
NC_000001.11	HNRNPCL3	+	NP_001139653.1	13061325	13062206	heterogeneous nuclear ribonucleoprotein C-like 3
NC_000001.11	PRAMEF25	+	NP_001297063.1	13073694	13077552	PRAME family member 25
NC_000001.11	HNRNPCL2	-	NP_001130033.3	13116398	13115521	heterogeneous nuclear ribonucleoprotein C-like 2
NC_000001.11	PRAMEF26	-	NP_001293001.1	13153093	13149239	putative PRAME family member 26
NC_000001.11	HNRNPCL4	-	NP_001289480.1	13165465	13164588	heterogeneous nuclear ribonucleoprotein C-like 4
NC_000001.11	PRAMEF9	+	NP_001010890.2	13175281	13179132	PRAME family member 9/15
NC_000001.11	PRAMEF13	-	NP_001278309.1	13199587	13196825	PRAME family member-like
NC_000001.11	PRAMEF18	-	NP_001093320.2	13226104	13223334	PRAME family member 18
NC_000001.11	PRAMEF5	+	NP_001013425.2	13259269	13263111	PRAME family member 5
NC_000001.11	PRAMEF8	-	XP_016856758.1	13284089	13281373	PRAME family member 8 isoform X1
NC_000001.11	PRAMEF33	+	NP_001278310.1	13305955	13308887	PRAME family member 33
NC_000001.11	PRAMEF15	+	NP_001091846.1	13318408	13322264	PRAME family member 9/15
NC_000001.11	PRAMEF14	-	NP_001019832.2	13345312	13342530	PRAME family member 14
NC_000001.11	PRAMEF19	-	NP_001093260.3	13371898	13369069	PRAME family member 19
NC_000001.11	PRAMEF17	+	NP_001093321.1	13389658	13392502	PRAME family member 17
NC_000001.11	PRAMEF20	+	NP_001093322.2	13416355	13421258	PRAME family member 20
NC_000001.11	LRRC38	-	NP_001010847.1	13513591	13475848	leucine-rich repeat-containing protein 38 precursor
NC_000001.11	PDPN	+	NP_006465.3	13583806	13615911	podoplanin isoform a
NC_000001.11	PRDM2	+	XP_016857753.1	13700040	13823184	PR domain zinc finger protein 2 isoform X5
NC_000001.11	KAZN	+	XP_011539376.1	13893636	15113024	kazrin isoform X1
NC_000001.11	C1orf195	-	XP_016857711.1	15171276	15164346	putative uncharacterized protein C1orf195 isoform X1
NC_000001.11	TMEM51	+	XP_016857079.1	15215088	15219743	transmembrane protein 51 isoform X1
NC_000001.11	FHAD1	+	XP_011538900.1	15236725	15349067	forkhead-associated domain-containing protein 1 isoform X28
NC_000001.11	EFHD2	+	NP_077305.2	15409972	15428724	EF-hand domain-containing protein D2
NC_000001.11	CTRC	+	XP_011538852.1	15438465	15446771	chymotrypsin-C isoform X1
NC_000001.11	CELA2A	+	NP_254275.1	15456754	15472007	chymotrypsin-like elastase family member 2A preproprotein
NC_000001.11	CELA2B	+	NP_056933.3	15476126	15491312	chymotrypsin-like elastase family member 2B preproprotein
NC_000001.11	CASP9	-	NP_127463.2	15518276	15492945	caspase-9 isoform 3
NC_000001.11	DNAJC16	+	NP_001274740.1	15548342	15568177	dnaJ homolog subfamily C member 16 isoform 2
NC_000001.11	AGMAT	-	NP_079034.3	15584965	15573653	agmatinase, mitochondrial precursor
NC_000001.11	DDI2	+	NP_115717.3	15617671	15656633	protein DDI1 homolog 2
NC_000001.11	RSC1A1	+	NP_006502.1	15659869	15661722	regulatory solute carrier protein family 1 member 1
NC_000001.11	PLEKHM2	+	XP_016856246.1	15681601	15733934	pleckstrin homology domain-containing family M member 2 isoform X1
NC_000001.11	SLC25A34	+	XP_011539594.1	15736486	15739062	solute carrier family 25 member 34 isoform X2
NC_000001.11	TMEM82	+	NP_001013663.1	15742560	15747632	transmembrane protein 82
NC_000001.11	FBLIM1	+	XP_016857010.1	15764984	15775031	filamin-binding LIM protein 1 isoform X1
NC_000001.11	UQCRHL	-	NP_001083060.1	15807647	15807376	cytochrome b-c1 complex subunit 6-like, mitochondrial
NC_000001.11	SPEN	+	NP_055816.2	15848068	15939427	msx2-interacting protein
NC_000001.11	ZBTB17	-	XP_005246043.1	15948493	15941971	zinc finger and BTB domain-containing protein 17 isoform X1
NC_000001.11	SRARP	+	NP_849162.1	16004304	16006346	steroid receptor-associated and regulated protein
NC_000001.11	HSPB7	-	NP_001336611.1	16019467	16015582	heat shock protein beta-7 isoform 1
NC_000001.11	CLCNKA	+	NP_004061.3	16022620	16033658	chloride channel protein ClC-Ka isoform 1
NC_000001.11	CLCNKB	+	NP_000076.2	16044493	16056916	chloride channel protein ClC-Kb isoform 1
NC_000001.11	FAM131C	-	NP_872429.2	16073440	16058439	protein FAM131C
NC_000001.11	EPHA2	-	NP_001316019.1	16149036	16125217	ephrin type-A receptor 2 isoform 2
NC_000001.11	ARHGEF19	-	NP_694945.2	16209052	16198589	rho guanine nucleotide exchange factor 19
NC_000001.11	CPLANE2	-	NP_112169.2	16236740	16232050	ciliogenesis and planar polarity effector 2
NC_000001.11	FBXO42	-	NP_061867.1	16315416	16250672	F-box only protein 42
NC_000001.11	SZRD1	+	NP_001108072.1	16367258	16395140	SUZ domain-containing protein 1 isoform 1
NC_000001.11	SPATA21	-	XP_011539709.1	16431369	16398767	spermatogenesis-associated protein 21 isoform X2
NC_000001.11	NECAP2	+	NP_001138749.1	16440762	16458996	adaptin ear-binding coat-associated protein 2 isoform 2
NC_000001.11	NBPF1	-	NP_060410.3	16592019	16563945	neuroblastoma breakpoint family member 1
NC_000001.11	MST1L	-	NP_001258662.1	16764478	16757234	putative macrophage stimulating 1-like protein
NC_000001.11	CROCC	+	XP_006711121.1	16924345	16972446	rootletin isoform X8
NC_000001.11	MFAP2	-	NP_001128719.1	16978271	16974922	microfibrillar-associated protein 2 isoform b precursor
NC_000001.11	ATP13A2	-	XP_006710575.1	17011736	16985987	cation-transporting ATPase 13A2 isoform X4
NC_000001.11	SDHB	-	NP_002991.2	17054017	17018883	succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial precursor
NC_000001.11	PADI2	-	NP_031391.2	17119369	17069046	protein-arginine deiminase type-2
NC_000001.11	PADI1	+	XP_016856592.1	17205218	17239077	protein-arginine deiminase type-1 isoform X2
NC_000001.11	PADI3	+	XP_011539874.1	17249138	17276629	protein-arginine deiminase type-3 isoform X3
NC_000001.11	PADI4	+	XP_011539453.1	17308223	17363755	protein-arginine deiminase type-4 isoform X2
NC_000001.11	PADI6	+	NP_997304.3	17372246	17401438	protein-arginine deiminase type-6
NC_000001.11	RCC2	-	NP_061185.1	17438512	17409092	protein RCC2
NC_000001.11	ARHGEF10L	+	XP_024303829.1	17580596	17697380	rho guanine nucleotide exchange factor 10-like protein isoform X1
NC_000001.11	ACTL8	+	NP_110439.2	17823009	17826519	actin-like protein 8
NC_000001.11	IGSF21	+	XP_011540621.1	18108129	18378326	immunoglobulin superfamily member 21 isoform X4
NC_000001.11	KLHDC7A	+	NP_689588.2	18480982	18483315	kelch domain-containing protein 7A
NC_000001.11	PAX7	+	NP_001128726.1	18631604	18744929	paired box protein Pax-7 isoform 3
NC_000001.11	TAS1R2	-	NP_689418.2	18859658	18839601	taste receptor type 1 member 2 precursor
NC_000001.11	ALDH4A1	-	NP_001306147.1	18902521	18872847	delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial isoform c precursor
NC_000001.11	IFFO2	-	NP_001129737.1	18956330	18908563	intermediate filament family orphan 2
NC_000001.11	UBR4	-	XP_016856319.2	19210360	19074834	E3 ubiquitin-protein ligase UBR4 isoform X23
NC_000001.11	EMC1	-	NP_001258358.1	19251507	19219305	ER membrane protein complex subunit 1 isoform 4 precursor
NC_000001.11	MRTO4	+	XP_006710738.1	19256002	19258830	mRNA turnover protein 4 homolog isoform X1
NC_000001.11	AKR7A3	-	XP_011539348.1	19288707	19274348	aflatoxin B1 aldehyde reductase member 3 isoform X1
NC_000001.11	AKR7A2	-	NP_001307908.1	19312122	19304227	aflatoxin B1 aldehyde reductase member 2 isoform 2
NC_000001.11	SLC66A1	+	XP_011539936.1	19317678	19327621	lysosomal amino acid transporter 1 homolog isoform X2
NC_000001.11	CAPZB	-	NP_004921.1	19485436	19339532	F-actin-capping protein subunit beta isoform 1
NC_000001.11	MICOS10	+	NP_001191011.1	19597046	19626401	MICOS complex subunit MIC10 isoform b
NC_000001.11	MICOS10-NBL1	+	NP_001191017.1	19600949	19657129	C1orf151-NBL1 read-through protein isoform a
NC_000001.11	NBL1	+	NP_877421.2	19643312	19657129	neuroblastoma suppressor of tumorigenicity 1 isoform 1
NC_000001.11	HTR6	+	NP_000862.1	19665754	19679368	5-hydroxytryptamine receptor 6
NC_000001.11	TMCO4	-	XP_011539488.1	19780756	19683042	transmembrane and coiled-coil domain-containing protein 4 isoform X1
NC_000001.11	RNF186	-	NP_061935.1	19815099	19814420	E3 ubiquitin-protein ligase RNF186
NC_000001.11	OTUD3	+	XP_005245850.1	19882289	19907664	OTU domain-containing protein 3 isoform X2
NC_000001.11	PLA2G2E	-	NP_055404.1	19923557	19920309	group IIE secretory phospholipase A2 precursor
NC_000001.11	PLA2G2A	-	NP_001155201.1	19978771	19975703	phospholipase A2, membrane associated precursor
