Chromosome	Gene	Strand	CDS	Start	Stop	Product
NC_006088.5	LOC112532971	+	XP_025009103.1	731862	733686	C-Jun-amino-terminal kinase-interacting protein 2-like
NC_006088.5	LOC112532974	+	XP_025009139.1	737384	740084	collagen alpha-2(I) chain-like
NC_006088.5	LOC112532979	+	XP_025009201.1	740283	743954	dentin sialophosphoprotein-like
NC_006088.5	OPN1SW	+	NP_990769.1	752269	752615	violet-sensitive opsin
NC_006088.5	FLNC	-	NP_989904.1	764109	754162	filamin-C
NC_006088.5	LOC107050717	+	XP_025008752.1	813661	830335	calumenin
NC_006088.5	LOC112532987	+	XP_025009230.1	863251	865882	filamin-C-like
NC_006088.5	LOC112529922	+	XP_025009234.1	874417	881396	filamin-C-like
NC_006088.5	LOC112532885	-	XP_025008780.1	909448	909165	ventral anterior homeobox 2b-like
NC_006088.5	LOC112533143	+	XP_025009553.1	929757	934155	calmodulin-regulated spectrin-associated protein 3-like
NC_006088.5	DPF2	+	NP_989662.1	938571	939606	zinc finger protein ubi-d4
NC_006088.5	LOC107049971	-	XP_015129262.1	943720	941392	solute carrier family 22 member 6
NC_006088.5	LOC107050086	+	XP_025009560.1	944136	1023108	LOW QUALITY PROTEIN: disintegrin and metalloproteinase domain-containing protein 15-like
NC_006088.5	LOC107050254	+	XP_025008769.1	1039541	1071420	staphylococcal nuclease domain-containing protein 1
NC_006088.5	PAX4	-	XP_025008781.1	1083877	1083075	uncharacterized protein PAX4
NC_006088.5	ARF5	-	NP_990656.1	1102757	1096012	ADP-ribosylation factor 5
NC_006088.5	GCC1	+	NP_001026760.1	1103415	1107035	GRIP and coiled-coil domain-containing protein 1
NC_006088.5	DENND6B	-	XP_015154773.1	1124956	1110499	protein DENND6B isoform X1
NC_006088.5	PPP6R2	+	XP_015135838.1	1163846	1201181	serine/threonine-protein phosphatase 6 regulatory subunit 2 isoform X1
NC_006088.5	LOC112532883	+	XP_025008760.1	1208148	1209089	uncharacterized protein LOC112532883
NC_006088.5	LOC112532881	+	XP_025008747.1	1209261	1210763	leucine-rich repeat extensin-like protein 5
NC_006088.5	LOC112532882	-	XP_025008749.1	1213519	1212333	DNA-directed RNA polymerase II subunit RPB1-like
NC_006088.5	SBF1	-	XP_015133149.1	1274409	1216304	myotubularin-related protein 5 isoform X11
NC_006088.5	ADM2	+	XP_025008785.1	1276971	1279705	ADM2
NC_006088.5	MIOX	+	XP_015137239.1	1281593	1284181	inositol oxygenase isoform X2
NC_006088.5	LMF2	-	XP_015151730.1	1291087	1284845	lipase maturation factor 2 isoform X2
NC_006088.5	NCAPH2	+	XP_004937458.2	1291088	1300632	condensin-2 complex subunit H2 isoform X1
NC_006088.5	SCO2	-	XP_003640374.1	1301688	1300937	protein SCO2 homolog, mitochondrial
NC_006088.5	IRF5	+	XP_025007110.1	1305401	1312928	interferon regulatory factor 5 isoform X1
NC_006088.5	TNPO3	-	XP_015143744.1	1333027	1315504	transportin-3
NC_006088.5	SMO	+	XP_015143674.1	1339503	1347245	smoothened homolog
NC_006088.5	AHCYL2	+	XP_015143397.1	1348966	1391419	adenosylhomocysteinase 3 isoform X2
NC_006088.5	STRIP2	+	XP_015143093.1	1393886	1407780	striatin-interacting protein 2 isoform X3
NC_006088.5	NRF1	+	XP_015138014.1	1440893	1468849	nuclear respiratory factor 1 isoform X1
NC_006088.5	UBE2H	-	NP_001025818.1	1533529	1493946	ubiquitin-conjugating enzyme E2 H
NC_006088.5	ZC3HC1	-	NP_001186366.1	1543992	1535444	nuclear-interacting partner of ALK
NC_006088.5	KLHDC10	+	XP_004937471.1	1544395	1557182	kelch domain-containing protein 10 isoform X1
NC_006088.5	LOC100859230	-	XP_015142868.1	1566380	1560603	putative cation exchanger C521.04c
NC_006088.5	TMEM209	-	XP_414977.3	1579267	1570260	transmembrane protein 209
NC_006088.5	CPA2	+	XP_015138595.1	1584921	1593813	carboxypeptidase A2 isoform X1
NC_006088.5	CPA5	+	NP_001239185.1	1595659	1599885	carboxypeptidase A5 precursor
NC_006088.5	CPA1	+	NP_989915.1	1600845	1604530	carboxypeptidase A1 preproprotein
NC_006088.5	CEP41	-	NP_001186322.1	1614326	1606627	centrosomal protein of 41 kDa
NC_006088.5	MEST	+	XP_015142710.1	1615529	1619025	mesoderm-specific transcript homolog protein isoform X2
NC_006088.5	COPG2	-	XP_414981.2	1638531	1619963	coatomer subunit gamma-2 isoform X1
NC_006088.5	IL15RA	+	XP_025008886.1	1649725	1652872	interleukin-15 receptor subunit alpha isoform X1
NC_006088.5	FBXO18	-	XP_015139069.1	1677508	1655962	F-box DNA helicase 1 isoform X2
NC_006088.5	ANKRD16	+	XP_015139324.1	1680345	1694882	ankyrin repeat domain-containing protein 16 isoform X2
NC_006088.5	GDI2	+	NP_990335.1	1697544	1711403	rab GDP dissociation inhibitor beta
NC_006088.5	FAM208B	-	XP_025008898.1	1745740	1699255	protein FAM208B isoform X1
NC_006088.5	ASB13	+	XP_015139598.1	1751685	1761235	ankyrin repeat and SOCS box protein 13 isoform X1
NC_006088.5	CALML3	-	NP_001075166.2	1769709	1769264	calmodulin, striated muscle
NC_006088.5	NET1	-	XP_015139766.1	1824592	1774138	neuroepithelial cell-transforming gene 1 protein isoform X1
NC_006088.5	TUBAL3	+	NP_001264280.1	1833991	1840003	tubulin alpha-3 chain
NC_006088.5	LOC416695	-	XP_414991.2	1848553	1843265	tubulin alpha chain
NC_006088.5	UCN3	-	XP_001231711.1	1849800	1849340	urocortin-3
NC_006088.5	COL7A1L	-	XP_025008919.1	1946441	1862499	collagen alpha-1(VII) chain-like isoform X2
NC_006088.5	SLC35B4	+	XP_414994.1	1976898	1988647	UDP-xylose and UDP-N-acetylglucosamine transporter
NC_006088.5	LRGUK	-	XP_025008934.1	2045577	1998552	leucine-rich repeat and guanylate kinase domain-containing protein isoform X5
NC_006088.5	LOC101750035	+	XP_025008958.1	2272183	2275044	PHD finger protein 7-like isoform X1
NC_006088.5	LOC107055493	+	XP_025008998.1	2286707	2288165	putative protein TPRXL
NC_006088.5	LOC101747803	+	XP_025009003.1	2292245	2293700	serine/arginine repetitive matrix protein 2-like
NC_006088.5	LOC107053233	+	XP_025008970.1	2296153	2299010	PHD finger protein 7-like
NC_006088.5	LOC112532918	+	XP_025008979.1	2305238	2306693	putative protein TPRXL isoform X1
NC_006088.5	LOC107055494	+	XP_025008989.1	2318219	2319674	putative protein TPRXL isoform X1
NC_006088.5	LOC100858111	+	XP_025008994.1	2323382	2324979	PHD finger protein 7-like
NC_006088.5	EXOC4	-	NP_001186249.1	2511913	2057425	exocyst complex component 4
NC_006088.5	LOC107053701	+	XP_015144341.2	2538888	2541851	uncharacterized protein LOC107053701 isoform X1
NC_006088.5	CHCHD3	+	XP_015147936.1	2596288	2782410	MICOS complex subunit MIC19 isoform X1
NC_006088.5	LOC107054205	-	XP_015147628.1	2641661	2640574	pre-mRNA-splicing factor CWC22 homolog
NC_006088.5	LOC101748467	-	XP_025009020.1	2649750	2648153	pre-mRNA-splicing factor CWC22 homolog
NC_006088.5	LOC107054228	-	XP_015147764.1	2656830	2655743	pre-mRNA-splicing factor CWC22 homolog
NC_006088.5	PLXNA4	+	XP_015147347.1	2913251	3162884	plexin-A4 isoform X2
NC_006088.5	LOC101750753	-	XP_015148595.1	3421339	3420453	serine/arginine repetitive matrix protein 2-like
NC_006088.5	LOC107054375	-	XP_025009590.1	3423430	3421578	PHD finger protein 7-like
NC_006088.5	LOC107054362	-	XP_015148367.1	3446449	3445563	serine/arginine repetitive matrix protein 2-like
NC_006088.5	LOC101752068	-	XP_015148288.1	3448076	3447093	uncharacterized protein LOC101752068
NC_006088.5	PODXL	+	XP_015144966.1	3688105	3725467	podocalyxin isoform X1
NC_006088.5	MKLN1	-	XP_025004876.1	3801266	3738400	muskelin isoform X1
NC_006088.5	K123	+	XP_015145407.1	4069164	4070680	K123 protein isoform X1
NC_006088.5	IL2RA	-	NP_989927.1	4093999	4078094	interleukin-15 receptor subunit alpha precursor
NC_006088.5	RBM17	+	XP_015146827.1	4114139	4124626	splicing factor 45 isoform X1
NC_006088.5	PFKFB3	+	XP_025009057.1	4157601	4175325	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3 isoform X4
NC_006088.5	PRKCQ	-	XP_025009081.1	4294192	4260359	protein kinase C theta type
NC_006088.5	SFMBT2	-	XP_025009086.1	4619883	4524287	scm-like with four MBT domains protein 2
NC_006088.5	LOC419112	+	NP_001026013.1	4688937	4718537	transmembrane protein 110-like
NC_006088.5	ITIH5	-	XP_015149802.1	4767000	4723162	inter-alpha-trypsin inhibitor heavy chain H5 isoform X2
NC_006088.5	ITIH2	+	NP_001124213.1	4774210	4799262	inter-alpha-trypsin inhibitor heavy chain H2 precursor
NC_006088.5	KIN	-	XP_025009093.1	4815720	4802018	LOW QUALITY PROTEIN: DNA/RNA-binding protein KIN17
NC_006088.5	ATP5C1	+	XP_015149252.1	4817734	4821917	ATP synthase subunit gamma, mitochondrial isoform X1
NC_006088.5	TAF3	+	NP_001026012.1	4825257	4937007	transcription initiation factor TFIID subunit 3
NC_006088.5	GATA3	+	XP_015148775.1	4969611	4987014	GATA-binding factor 3 isoform X1
NC_006088.5	CELF2	+	NP_989591.2	6383885	6508573	CUGBP Elav-like family member 2
NC_006088.5	USP6NL	-	XP_025006579.1	6629127	6571228	USP6 N-terminal-like protein isoform X1
NC_006088.5	ECHDC3	+	NP_001185581.1	6699375	6703885	enoyl-CoA hydratase domain-containing protein 3, mitochondrial
NC_006088.5	PROSER2	+	XP_015152812.2	6731483	6743870	LOW QUALITY PROTEIN: proline and serine-rich protein 2
NC_006088.5	UPF2	-	XP_015153052.1	6801577	6753647	regulator of nonsense transcripts 2 isoform X1
NC_006088.5	DHTKD1	+	XP_423753.5	6811050	6827488	LOW QUALITY PROTEIN: probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial
NC_006088.5	SEC61A2	+	NP_001308549.1	6834599	6849230	protein transport protein Sec61 subunit alpha isoform 2
NC_006088.5	NUDT5	-	XP_015151959.1	6858321	6851076	ADP-sugar pyrophosphatase isoform X1
NC_006088.5	CDC123	+	XP_424021.3	6862559	6896744	LOW QUALITY PROTEIN: cell division cycle protein 123 homolog
NC_006088.5	CAMK1D	+	XP_003640379.2	6924409	7137384	calcium/calmodulin-dependent protein kinase type 1D
NC_006088.5	CCDC3	-	XP_003640381.2	7200480	7161430	coiled-coil domain-containing protein 3
NC_006088.5	OPTN	+	NP_989567.1	7227306	7244550	optineurin
NC_006088.5	MCM10	+	XP_025009949.1	7248732	7263712	protein MCM10 homolog
NC_006088.5	PHYH	-	XP_424238.5	7279919	7269229	LOW QUALITY PROTEIN: phytanoyl-CoA dioxygenase, peroxisomal
NC_006088.5	SEPHS1	-	NP_001157556.1	7308309	7288653	selenide, water dikinase 1
NC_006088.5	BEND7	-	NP_001269164.1	7372385	7326289	BEN domain-containing protein 7
NC_006088.5	PRPF18	+	XP_004937548.1	7384215	7400308	pre-mRNA-splicing factor 18 isoform X1
NC_006088.5	FRMD4A	-	XP_015154380.1	7760011	7406443	FERM domain-containing protein 4A isoform X6
NC_006088.5	FAM107B	-	XP_015154720.1	7947581	7828085	protein FAM107B isoform X2
NC_006088.5	HSPA14	+	XP_416996.5	7970767	7981018	LOW QUALITY PROTEIN: heat shock 70 kDa protein 14
NC_006088.5	SUV39H2	+	NP_001026541.1	7983087	7989816	histone-lysine N-methyltransferase SUV39H2
NC_006088.5	DCLRE1C	-	NP_001026765.1	8003661	7994109	protein artemis
NC_006088.5	MEIG1	+	NP_001289043.1	8005784	8009261	meiosis expressed gene 1 protein homolog
NC_006088.5	TMEM243	+	XP_015154997.1	8021280	8027791	transmembrane protein 243
NC_006088.5	DMTF1	-	NP_001074332.2	8051278	8029396	cyclin-D-binding Myb-like transcription factor 1
NC_006088.5	KIAA1324L	+	XP_416843.6	8090664	8180800	LOW QUALITY PROTEIN: UPF0577 protein KIAA1324-like homolog
NC_006088.5	GRM3	-	XP_004937556.1	8235512	8188696	metabotropic glutamate receptor 3
NC_006088.5	SEMA3D	+	XP_015150788.1	8886776	8982713	semaphorin-3D isoform X1
NC_006088.5	SEMA3A	+	XP_015150663.1	9344534	9513588	semaphorin-3A isoform X1
NC_006088.5	SEMA3E	+	NP_989573.1	9659779	9790168	semaphorin-3E precursor
NC_006088.5	PCLO	+	XP_015155598.2	9888360	10212770	LOW QUALITY PROTEIN: protein piccolo
NC_006088.5	CACNA2D1	+	NP_001170793.2	10376106	10730547	voltage-dependent calcium channel subunit alpha-2/delta-1 preproprotein
NC_006088.5	HGF	+	XP_015156386.1	10800797	10859552	hepatocyte growth factor isoform X1
NC_006088.5	SEMA3C	+	XP_015156278.1	11195788	11310904	semaphorin-3C isoform X1
NC_006088.5	CD36	-	XP_025003217.1	11357772	11334852	platelet glycoprotein 4 isoform X1
NC_006088.5	GNAT3	+	NP_001254740.1	11417769	11443230	guanine nucleotide-binding protein G(t) subunit alpha-3
NC_006088.5	GNAI1	-	XP_015156576.1	11554786	11522314	guanine nucleotide-binding protein G(i) subunit alpha-1 isoform X1
NC_006088.5	MAGI2	+	XP_015131236.1	11833981	12556083	membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 isoform X11
NC_006088.5	PHTF2	-	XP_015131222.1	12627968	12582018	putative homeodomain transcription factor 2 isoform X3
NC_006088.5	TMEM60	+	XP_025003144.1	12646409	12646813	transmembrane protein 60 isoform X1
NC_006088.5	RSBN1L	-	XP_015131245.1	12698271	12655372	round spermatid basic protein 1-like protein isoform X2
NC_006088.5	PTPN12	-	XP_415970.6	12780902	12711373	tyrosine-protein phosphatase non-receptor type 12
NC_006088.5	GSAP	+	XP_015131251.1	12815093	12861596	gamma-secretase-activating protein isoform X3
NC_006088.5	FGL2	+	NP_001072954.1	12915326	12919524	fibroleukin precursor
NC_006088.5	CCDC146	-	XP_015131249.1	12929426	12862934	coiled-coil domain-containing protein 146 isoform X2
NC_006088.5	FAM185A	+	XP_015131254.1	12935597	12973755	protein FAM185A
NC_006088.5	LRRC17	+	XP_015131189.1	13016940	13023080	leucine-rich repeat-containing protein 17 isoform X1
NC_006088.5	FBXL13	-	XP_415966.4	13055048	12976598	dynein regulatory complex subunit 6 isoform X1
NC_006088.5	ARMC10	+	XP_415964.3	13055428	13062516	armadillo repeat-containing protein 10 isoform X1
NC_006088.5	NAPEPLD	-	XP_015131215.1	13074373	13066490	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D isoform X2
NC_006088.5	PMPCB	+	XP_015131213.1	13106484	13115154	mitochondrial-processing peptidase subunit beta isoform X1
NC_006088.5	PSMC2	+	NP_001006225.1	13132858	13139727	26S protease regulatory subunit 7
NC_006088.5	DNAJC2	-	XP_025003121.1	13135293	13115384	dnaJ homolog subfamily C member 2 isoform X1
NC_006088.5	SLC26A5	-	NP_001072945.1	13164065	13143764	prestin
NC_006088.5	RELN	-	XP_025006865.1	13457232	13189054	reelin isoform X1
NC_006088.5	ORC5	-	XP_025003113.1	13551894	13487667	origin recognition complex subunit 5 isoform X4
NC_006088.5	LHFPL3	+	XP_015131256.1	13612240	13815176	LHFPL tetraspan subfamily member 3 protein isoform X2
NC_006088.5	KMT2E	+	XP_025009328.1	13919996	13955047	inactive histone-lysine N-methyltransferase 2E isoform X1
NC_006088.5	SRPK2	-	XP_015131258.1	14095268	13958937	SRSF protein kinase 2 isoform X1
NC_006088.5	PUS7	+	XP_015131205.1	14118864	14137390	pseudouridylate synthase 7 homolog isoform X1
NC_006088.5	RINT1	+	NP_001265046.1	14138747	14149816	RAD50-interacting protein 1
NC_006088.5	EFCAB10	-	XP_025009476.1	14151946	14150752	EF-hand calcium-binding domain-containing protein 10 isoform X2
NC_006088.5	ATXN7L1	-	XP_015131265.1	14267015	14158929	ataxin-7-like protein 1 isoform X1
NC_006088.5	CDHR3	+	XP_025009402.1	14267206	14320546	cadherin-related family member 3 isoform X4
NC_006088.5	SYPL1	-	NP_001186387.1	14337432	14332412	synaptophysin-like protein 1
NC_006088.5	NAMPT	-	XP_015131202.1	14392128	14365887	nicotinamide phosphoribosyltransferase isoform X1
NC_006088.5	CCDC71L	-	XP_015131272.1	14508898	14508057	coiled-coil domain-containing protein 71L
NC_006088.5	PIK3CG	+	XP_015131200.1	14541338	14569463	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform isoform X1
NC_006088.5	PRKAR2B	+	XP_015131274.1	14593473	14674619	cAMP-dependent protein kinase type II-beta regulatory subunit isoform X2
NC_006088.5	HBP1	+	XP_015131198.1	14682658	14696856	HMG box-containing protein 1 isoform X1
NC_006088.5	GPR22	+	XP_001231998.1	14847031	14848332	probable G-protein coupled receptor 22 isoform X2
NC_006088.5	COG5	-	NP_001186374.1	14880983	14698650	conserved oligomeric Golgi complex subunit 5
NC_006088.5	DUS4L	+	XP_001231915.3	14881105	14891561	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like isoform X1
NC_006088.5	BCAP29	+	NP_001091114.1	14896333	14918243	B-cell receptor-associated protein 29
NC_006088.5	SLC26A4	+	XP_425419.3	14925155	14945434	pendrin isoform X1
NC_006088.5	CBLL1	+	XP_015131197.1	14949364	14955462	E3 ubiquitin-protein ligase Hakai isoform X1
NC_006088.5	SLC26A3	-	XP_025003042.1	14970696	14960204	chloride anion exchanger isoform X2
NC_006088.5	DLD	+	XP_015131195.1	14994081	15006833	dihydrolipoyl dehydrogenase, mitochondrial isoform X1
NC_006088.5	LAMB1	-	XP_415943.3	15050072	15009470	laminin subunit beta-1
NC_006088.5	LAMB4	-	XP_025002406.1	15095496	15053672	laminin subunit beta-4 isoform X1
NC_006088.5	ERGIC2	+	NP_001186332.1	15108805	15126510	endoplasmic reticulum-Golgi intermediate compartment protein 2
NC_006088.5	LRRK2	-	XP_003640388.4	15198951	15136878	leucine-rich repeat serine/threonine-protein kinase 2 isoform X1
NC_006088.5	SLC2A13	+	XP_001232940.3	15244264	15374581	proton myo-inositol cotransporter
NC_006088.5	ABCD2	+	NP_001186324.1	15407886	15449731	ATP-binding cassette sub-family D member 2
NC_006088.5	KIF21A	+	XP_015131286.1	15477858	15560977	kinesin-like protein KIF21A isoform X7
NC_006088.5	SIIL	+	XP_015131243.2	15566268	15614894	sucrase-isomaltase, intestinal
NC_006088.5	CPNE8	+	NP_001186389.1	15633936	15728119	copine-8
NC_006088.5	ALG10	-	NP_001026565.1	15825254	15819283	dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase
NC_006088.5	TPRKB	+	XP_423597.2	15825523	15828212	EKC/KEOPS complex subunit TPRKB
NC_006088.5	GTSE1	+	NP_001026503.1	15837439	15847687	G2 and S phase-expressed protein 1
NC_006088.5	TRMU	+	NP_001026522.1	15848601	15858616	mitochondrial tRNA-specific 2-thiouridylase 1
NC_006088.5	CELSR1	-	XP_423746.6	16041557	15867466	LOW QUALITY PROTEIN: cadherin EGF LAG seven-pass G-type receptor 1
NC_006088.5	HIST1H2B5L	-	XP_025009552.1	16049274	16048898	histone H2B 5
NC_006088.5	GRAMD4	+	XP_015131291.1	16063884	16136090	LOW QUALITY PROTEIN: GRAM domain-containing protein 4
NC_006088.5	LOC107051636	+	XP_015131296.2	16231465	16234869	uncharacterized protein LOC107051636
NC_006088.5	CERK	-	NP_001026511.1	16300774	16260190	ceramide kinase
NC_006088.5	TBC1D22A	+	XP_015131241.1	16325389	16425397	TBC1 domain family member 22A isoform X1
NC_006088.5	FAM19A5	+	XP_015131297.1	17209559	17552786	protein FAM19A5 isoform X2
NC_006088.5	BRD1	-	XP_025003232.1	18980552	18928923	bromodomain-containing protein 1 isoform X1
NC_006088.5	ZBED4	+	XP_015128203.1	19014915	19018433	zinc finger BED domain-containing protein 4 isoform X1
NC_006088.5	ALG12	-	XP_025003254.1	19039081	19030014	dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase isoform X1
NC_006088.5	CRELD2	+	NP_001186426.2	19045167	19055495	cysteine-rich with EGF-like domain protein 2 precursor
NC_006088.5	PIM3	-	XP_003640390.1	19338090	19335372	serine/threonine-protein kinase pim-3
NC_006088.5	IL17REL	-	XP_015129225.1	20240856	20198956	putative interleukin-17 receptor E-like isoform X2
NC_006088.5	MLC1	-	XP_004937559.1	20271618	20258689	membrane protein MLC1 isoform X1
NC_006088.5	MOV10L1	+	XP_015128839.2	20287311	20307992	RNA helicase Mov10l1 isoform X1
NC_006088.5	PANX2	+	XP_015128777.1	20328966	20346672	pannexin-2 isoform X3
NC_006088.5	LOC429348	-	XP_024999461.1	20372035	20371333	tetraspanin-7-like
NC_006088.5	TRABD	+	NP_001025903.1	20393220	20412394	traB domain-containing protein
NC_006088.5	SELENOO	+	NP_001108489.3	20449505	20459331	selenoprotein O
NC_006088.5	TUBGCP6	-	XP_025000157.1	20485990	20464871	LOW QUALITY PROTEIN: gamma-tubulin complex component 6
NC_006088.5	HDAC10	-	XP_025000225.1	20502955	20488199	histone deacetylase 10
NC_006088.5	LOC417741	-	XP_415985.2	20508617	20505303	secreted frizzled-related protein 5
NC_006088.5	MAPK12	-	XP_001233062.2	20555552	20527106	mitogen-activated protein kinase 12
NC_006088.5	MAPK11	-	NP_001006227.1	20594688	20565754	mitogen-activated protein kinase 11
NC_006088.5	PLXNB2	-	XP_015130710.2	20724262	20649181	LOW QUALITY PROTEIN: plexin-B2
NC_006088.5	ZNF800	+	XP_025003299.1	21023201	21035057	zinc finger protein 800 isoform X2
NC_006088.5	GRM8	+	XP_004937573.1	21078733	21391160	metabotropic glutamate receptor 8 isoform X1
NC_006088.5	POT1	+	XP_025002833.1	21884126	21945305	protection of telomeres protein 1 isoform X1
NC_006088.5	GPR37	+	NP_001075168.1	21985328	21997138	prosaposin receptor GPR37 precursor
NC_006088.5	ARL8BL	-	NP_001243899.1	22231629	22204397	ADP-ribosylation factor-like 8B-like
NC_006088.5	SPAM1	-	XP_004937577.1	22247078	22241891	hyaluronidase PH-20
NC_006088.5	HYAL6	-	NP_001295181.1	22316593	22308269	hyaluronoglucosaminidase 6 precursor
NC_006088.5	WASL	+	NP_001186429.2	22351446	22398446	neural Wiskott-Aldrich syndrome protein
NC_006088.5	LMOD2	-	NP_001186644.2	22425775	22420051	leiomodin-2
NC_006088.5	ASB15	-	XP_415996.2	22444315	22434931	ankyrin repeat and SOCS box protein 15
NC_006088.5	NDUFA5	+	NP_001091106.1	22449658	22453933	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
NC_006088.5	IQUB	+	XP_415998.2	22457296	22477009	IQ and ubiquitin-like domain-containing protein isoform X1
NC_006088.5	ATP6AP1	+	NP_001239540.1	22485558	22538651	V-type proton ATPase subunit S1 precursor
NC_006088.5	SLC13A1	+	XP_004937584.1	22565977	22590094	solute carrier family 13 member 1 isoform X1
NC_006088.5	CADPS2	+	XP_015137650.1	22670291	22971222	calcium-dependent secretion activator 2 isoform X1
NC_006088.5	FEZF1	+	XP_003640395.1	22979459	22981665	fez family zinc finger protein 1
NC_006088.5	AASS	+	XP_025009772.1	23010776	23037493	alpha-aminoadipic semialdehyde synthase, mitochondrial isoform X2
NC_006088.5	PTPRZ1	-	XP_015136370.1	23176468	23044095	receptor-type tyrosine-protein phosphatase zeta isoform X1
NC_006088.5	FAM3C	+	NP_001091115.1	23365040	23379192	protein FAM3C
NC_006088.5	WNT16	-	XP_001233678.4	23397426	23387567	protein Wnt-16
NC_006088.5	CPED1	-	XP_025009789.1	23553940	23415786	cadherin-like and PC-esterase domain-containing protein 1 isoform X2
NC_006088.5	ING3	-	XP_015136482.1	23582672	23569473	inhibitor of growth protein 3 isoform X2
NC_006088.5	TSPAN12	+	XP_015136504.1	23609887	23653212	tetraspanin-12 isoform X1
NC_006088.5	KCND2	-	XP_015132111.1	23926309	23662852	potassium voltage-gated channel subfamily D member 2 isoform X1
NC_006088.5	ANKRD26	+	NP_001274116.1	24436083	24482854	ankyrin repeat domain-containing protein 26
NC_006088.5	LSM8	-	XP_025003377.1	24495809	24489728	LSM8 homolog, U6 small nuclear RNA associated isoform X1
NC_006088.5	CTTNBP2	+	NP_001092009.1	24616391	24691209	cortactin-binding protein 2
NC_006088.5	CFTR	-	XP_015131458.1	24779956	24696395	cystic fibrosis transmembrane conductance regulator isoform X1
NC_006088.5	ASZ1	+	XP_004937594.1	24799631	24834601	ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 isoform X1
NC_006088.5	WNT2	+	XP_416013.3	24840566	24853779	protein Wnt-2
NC_006088.5	ST7	-	XP_025003402.1	24995182	24858085	suppressor of tumorigenicity 7 protein homolog isoform X2
