Chromosome	Gene	Strand	CDS	Start	Stop	Product
NC_007112.7	tfdp1b	+	XP_009303423.1	230363	241389	transcription factor Dp-1 isoform X1
NC_007112.7	grk1a	+	NP_001029353.2	245251	255949	rhodopsin kinase
NC_007112.7	cenpe	+	XP_005168062.1	260091	295713	centromere-associated protein E isoform X1
NC_007112.7	tmem255b	+	XP_009303535.1	297219	309348	transmembrane protein 255B
NC_007112.7	gas6	-	NP_956272.1	338196	313229	growth arrest-specific protein 6 precursor
NC_007112.7	pros1	-	NP_001070791.1	353983	343708	vitamin K-dependent protein S precursor
NC_007112.7	rasa3	-	XP_009303507.1	411244	357827	ras GTPase-activating protein 3 isoform X3
NC_007112.7	tpp2	+	XP_005168067.1	418957	442143	tripeptidyl-peptidase 2 isoform X1
NC_007112.7	LOC100149425	-	XP_021331593.1	457478	445983	uncharacterized protein LOC100149425 isoform X1
NC_007112.7	zgc:92518	-	NP_001002361.2	471910	467665	methyltransferase like 21E-like
NC_007112.7	ercc5	-	XP_003197653.2	493216	474289	DNA repair protein complementing XP-G cells
NC_007112.7	blzf1	+	NP_001138275.1	496319	504044	golgin-45
NC_007112.7	trmt10c	-	NP_001007333.2	512178	509161	mitochondrial ribonuclease P protein 1
NC_007112.7	txnl4b	+	XP_021331510.1	514088	517665	thioredoxin-like protein 4B isoform X1
NC_007112.7	si:ch73-41e3.7	-	NP_001139084.1	522604	518883	si:ch73-41e3.7
NC_007112.7	mrpl16	+	XP_005168058.1	524821	530492	39S ribosomal protein L16, mitochondrial isoform X1
NC_007112.7	cenpq	+	NP_001314937.1	534216	549488	centromere protein Q
NC_007112.7	LOC101885604	-	XP_005168072.1	558258	552277	C3a anaphylatoxin chemotactic receptor-like
NC_007112.7	mrpl39	+	NP_956209.1	580806	591263	39S ribosomal protein L39, mitochondrial
NC_007112.7	jam2a	+	NP_001091734.1	594736	608055	junctional adhesion molecule B precursor
NC_007112.7	atp5j	-	NP_998472.1	613186	611148	ATP synthase-coupling factor 6, mitochondrial
NC_007112.7	appa	-	NP_571639.1	656691	621376	amyloid beta A4 protein precursor
NC_007112.7	cyyr1	-	NP_998047.1	669533	660676	cysteine and tyrosine-rich protein 1 precursor
NC_007112.7	adamts1	-	XP_021331599.1	681019	673165	A disintegrin and metalloproteinase with thrombospondin motifs 1 isoform X2
NC_007112.7	adamts5	-	NP_001289160.1	714624	691740	A disintegrin and metalloproteinase with thrombospondin motifs 5 precursor
NC_007112.7	n6amt1	+	NP_001002502.1	965216	970633	hemK methyltransferase family member 2
NC_007112.7	gart	-	NP_571692.1	999554	973469	trifunctional purine biosynthetic protein adenosine-3
NC_007112.7	LOC100332351	-	XP_002667026.1	1012246	1007015	uncharacterized protein LOC100332351
NC_007112.7	donson	-	XP_021331572.1	1352817	1286287	protein downstream neighbor of Son
NC_007112.7	runx1	-	NP_571678.1	1402271	1363768	runt-related transcription factor 1
NC_007112.7	urp2	+	NP_001076411.1	1600091	1614284	uncharacterized protein LOC100001008 precursor
NC_007112.7	LOC100333907	-	XP_009303556.1	1631391	1619155	chloride intracellular channel protein 4-like
NC_007112.7	atp1a1a.4	+	NP_571764.1	1689850	1706063	ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 4
NC_007112.7	atp1a1a.1	+	NP_571761.1	1712345	1731350	Na+/K+ -ATPase alpha 1 subunit
NC_007112.7	atp1a1a.2	+	NP_571762.1	1789418	1796733	ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 2
NC_007112.7	atp1a1a.3	+	NP_571763.1	1805367	1815541	ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 3
NC_007112.7	atp1a1a.5	+	NP_835200.1	1838232	1849424	ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 5
NC_007112.7	si:ch211-132g1.3	-	XP_021331601.1	1885514	1858217	uncharacterized protein si:ch211-132g1.3 isoform X2
NC_007112.7	LOC103911757	-	XP_009303756.1	1893969	1887631	uncharacterized protein LOC103911757
NC_007112.7	si:ch211-132g1.6	+	XP_009303765.1	1896791	1900710	uncharacterized protein si:ch211-132g1.6
NC_007112.7	si:ch211-132g1.4	+	XP_009303771.1	1904476	1909483	hemicentin-1-like isoform X2
NC_007112.7	si:ch211-132g1.1	+	XP_005168366.1	1916003	1925007	T-cell surface antigen CD2
NC_007112.7	si:ch211-132g1.7	+	XP_005168370.1	1941297	2000192	prostaglandin F2 receptor negative regulator
NC_007112.7	slc5a3a	+	NP_001153309.1	2025085	2027100	solute carrier family 5 (sodium/myo-inositol cotransporter), member 3a
NC_007112.7	oxgr1a.1	-	NP_001035473.1	2049299	2048314	oxoglutarate (alpha-ketoglutarate) receptor 1
NC_007112.7	oxgr1a.3	-	NP_001139100.1	2061417	2060432	oxoglutarate (alpha-ketoglutarate) receptor 1a, tandem duplicate 3
NC_007112.7	oxgr1a.2	-	NP_001139097.1	2075527	2074515	oxoglutarate (alpha-ketoglutarate) receptor 1a, tandem duplicate 2
NC_007112.7	mbnl2	+	XP_009303627.1	2129458	2214195	muscleblind-like protein 2 isoform X2
NC_007112.7	rap2ab	+	NP_001139177.1	2222366	2240119	uncharacterized protein LOC100003903
NC_007112.7	kpnb3	+	XP_009303669.1	2260447	2298679	importin-5 isoform X1
NC_007112.7	farp1	+	XP_017211441.1	2321384	2443772	FERM, RhoGEF and pleckstrin domain-containing protein 1
NC_007112.7	si:ch211-235f1.3	-	XP_021331608.1	2356428	2332844	uncharacterized protein si:ch211-235f1.3 isoform X4
NC_007112.7	ggact.3	-	XP_005168352.1	2449367	2448096	gamma-glutamylaminecyclotransferase C isoform X1
NC_007112.7	ggact.2	-	NP_001004544.1	2452176	2451605	gamma-glutamylaminecyclotransferase B
NC_007112.7	ggact.1	-	NP_001071185.1	2457467	2455323	gamma-glutamylaminecyclotransferase A precursor
NC_007112.7	gpc6a	+	XP_021331406.1	2713205	3035936	glypican-6 isoform X1
NC_007112.7	gpc5a	-	NP_001289165.1	3295043	3100246	glypican-5 precursor
NC_007112.7	slitrk6	+	NP_001292482.1	4150592	4153084	SLIT and NTRK-like protein 6 precursor
NC_007112.7	slitrk1	+	XP_005174686.1	4546227	4548296	SLIT and NTRK-like protein 1
NC_007112.7	spry2	+	XP_005160342.1	5275815	5276720	protein sprouty homolog 2 isoform X1
NC_007112.7	ndfip2	-	NP_998512.1	5394539	5363573	NEDD4 family-interacting protein 2
NC_007112.7	tuba8l2	+	NP_956985.1	5402681	5419055	tubulin alpha-4A chain
NC_007112.7	stk16	+	NP_001017630.1	5425362	5433680	serine/threonine-protein kinase 16
NC_007112.7	mnx2b	-	NP_001009887.2	5455437	5449881	motor neuron and pancreas homeobox 2b isoform 2
NC_007112.7	atic	+	NP_001076265.2	5485897	5503524	bifunctional purine biosynthesis protein PURH
NC_007112.7	fn1b	-	XP_009303829.1	5542975	5505061	fibronectin isoform X2
NC_007112.7	cpo	+	NP_001139101.1	5576221	5587130	carboxypeptidase O precursor
NC_007112.7	nrp2a	-	NP_998130.1	5745418	5608346	neuropilin-2 precursor
NC_007112.7	pard3ba	-	XP_017211258.1	6085425	5798748	partitioning defective 3 homolog B isoform X2
NC_007112.7	abcb6a	+	XP_005160347.1	6137596	6158408	ATP-binding cassette sub-family B member 6, mitochondrial isoform X1
NC_007112.7	cnppd1	+	NP_956222.1	6162090	6168855	protein CNPPD1
NC_007112.7	prkag3a	+	XP_692594.4	6171812	6185206	5'-AMP-activated protein kinase subunit gamma-1 isoform X3
NC_007112.7	retreg2	+	XP_005160348.1	6190020	6210232	protein FAM134A isoform X1
NC_007112.7	mdh1b	-	XP_009303919.1	6225263	6218790	putative malate dehydrogenase 1B isoform X1
NC_007112.7	fastkd2	+	XP_021331610.1	6226108	6243680	FAST kinase domain-containing protein 2, mitochondrial
NC_007112.7	gtf3c3	+	NP_001243171.1	6244003	6272068	general transcription factor 3C polypeptide 3
NC_007112.7	hecw2b	+	XP_003197660.3	6307305	6365419	E3 ubiquitin-protein ligase HECW2
NC_007112.7	klf7a	-	NP_001018479.1	6494153	6405423	Kruppel-like factor 7a
NC_007112.7	si:ch211-93g23.2	+	XP_021323187.1	6641338	6646259	uncharacterized protein LOC100005086 isoform X1
NC_007112.7	ube2f	+	XP_009303965.1	6648729	6662702	NEDD8-conjugating enzyme UBE2F isoform X1
NC_007112.7	erbb4a	+	NP_001137223.1	6817290	6925103	receptor tyrosine-protein kinase erbB-4 precursor
NC_007112.7	LOC108184914	-	XP_021331573.1	7054220	6984654	uncharacterized protein LOC108184914
NC_007112.7	si:ch73-383l1.1	+	XP_021331611.1	7190273	7448084	receptor tyrosine-protein kinase erbB-4
NC_007112.7	lancl1	+	NP_001009891.1	7518603	7538707	lanC-like protein 1
NC_007112.7	mylz3	+	NP_571694.1	7546416	7553918	myosin, light polypeptide 3, skeletal muscle
NC_007112.7	pcnp	+	XP_021328948.1	7557004	7560669	PEST proteolytic signal-containing nuclear protein isoform X1
NC_007112.7	mxa	-	NP_891987.2	7570133	7563019	interferon-induced GTP-binding protein MxA
NC_007112.7	mxb	-	XP_009304072.1	7582773	7574449	interferon-induced GTP-binding protein MxB isoform X1
NC_007112.7	efnb2b	-	NP_571883.1	7659567	7634518	ephrin-B2b precursor
NC_007112.7	arglu1b	-	NP_956456.1	7673106	7662876	arginine and glutamate-rich protein 1-B
NC_007112.7	en1b	+	XP_009304159.1	7679604	7682897	homeobox protein engrailed-1 isoform X1
NC_007112.7	radil	-	XP_021331027.1	7889642	7847945	ras-associating and dilute domain-containing protein isoform X2
NC_007112.7	si:dkey-79f11.9	-	XP_009304400.1	7940482	7936262	interferon-induced protein 44-like
NC_007112.7	si:dkey-79f11.7	-	XP_009304386.1	7975727	7947091	interferon-induced protein 44 isoform X1
NC_007112.7	si:dkey-79f11.5	-	XP_005170930.1	8000367	7994570	interferon-induced protein 44
NC_007112.7	si:dkey-79f11.10	-	XP_021331613.1	8012137	7925212	interferon-induced protein 44 isoform X3
NC_007112.7	si:dkeyp-9d4.2	-	XP_009304423.1	8019361	8017425	interferon-induced protein 44-like
NC_007112.7	si:dkeyp-9d4.3	-	XP_009304428.1	8101176	8024029	caskin-1 isoform X1
NC_007112.7	si:dkeyp-9d4.5	+	XP_017211446.2	8110562	8163167	sodium/glucose cotransporter 5 isoform X1
NC_007112.7	LOC101882918	-	XP_005170931.1	8140761	8130785	protein FAM83G-like isoform X1
NC_007112.7	grapb	-	NP_001025251.2	8192150	8167637	GRB2-related adaptor protein
NC_007112.7	cacna1hb	+	XP_021331616.1	8304904	8404005	voltage-dependent T-type calcium channel subunit alpha-1H-like
NC_007112.7	syngr3b	-	NP_001307420.1	8428706	8418727	synaptogyrin 3
NC_007112.7	myo15ab	+	XP_021331574.1	8435218	8507230	unconventional myosin-XV
NC_007112.7	alkbh5	+	NP_001070855.1	8509116	8516461	RNA demethylase ALKBH5
NC_007112.7	mief2	+	NP_001070116.2	8524229	8530516	mitochondrial dynamics protein MID49
NC_007112.7	smcr8b	+	NP_999967.1	8534995	8539643	guanine nucleotide exchange protein smcr8b
NC_007112.7	zgc:112980	-	XP_021330155.1	8552105	8540088	uncharacterized protein LOC503706 isoform X1
NC_007112.7	ptcd1	-	XP_698798.2	8566457	8555467	pentatricopeptide repeat-containing protein 1, mitochondrial isoform X1
NC_007112.7	si:ch211-160d14.6	+	XP_698839.3	8603122	8610478	equilibrative nucleoside transporter 4-like
NC_007112.7	zgc:153118	-	XP_021331620.1	8613799	8613270	uncharacterized protein LOC767704 isoform X1
NC_007112.7	LOC101883376	-	XP_021331619.1	8618318	8615855	endonuclease domain-containing 1 protein-like
NC_007112.7	LOC103911895	-	XP_009304673.1	8629018	8626998	endonuclease domain-containing 1 protein-like
NC_007112.7	fbxl18	-	NP_001025416.1	8646774	8638462	F-box/LRR-repeat protein 18
NC_007112.7	actb1	-	NP_571106.1	8651606	8649605	actin, cytoplasmic 1
NC_007112.7	fscn1b	+	XP_005170934.1	8662542	8668202	fascin
NC_007112.7	abcg2b	-	NP_001034155.1	8691919	8674076	ATP-binding cassette, sub-family G (WHITE), member 2b
NC_007112.7	zgc:77849	+	NP_955896.2	8694351	8701731	UPF0472 protein C16orf72 homolog
NC_007112.7	grin2ab	-	XP_009304490.1	8907428	8765987	glutamate receptor ionotropic, NMDA 2A isoform X1
NC_007112.7	socs1b	-	XP_005170902.1	8963468	8962891	suppressor of cytokine signaling 1b isoform X1
NC_007112.7	tlr2	+	XP_005170910.1	8984068	8988504	toll-like receptor 2 isoform X1
NC_007112.7	prkcba	+	XP_005170901.1	9004847	9074479	protein kinase C, beta a isoform X1
NC_007112.7	cacng3a	+	XP_021331621.1	9082396	9091935	voltage-dependent calcium channel gamma-3 subunit-like
NC_007112.7	si:ch211-14k19.8	-	XP_003197668.2	9114817	9100535	flocculation protein FLO11
NC_007112.7	ndufab1a	-	NP_001003418.1	9123400	9118451	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex 1-like
NC_007112.7	palb2	-	XP_001919766.3	9133741	9125207	partner and localizer of BRCA2
NC_007112.7	zgc:152698	+	NP_001073403.1	9145053	9145688	small GTPase Ras-dva
NC_007112.7	plk1	+	NP_001003890.3	9153461	9161413	serine/threonine-protein kinase PLK1
NC_007112.7	ern2	-	XP_001919350.3	9195637	9169809	serine/threonine-protein kinase/endoribonuclease IRE2 isoform X1
NC_007112.7	chtf18	+	NP_001103572.2	9199156	9226963	chromosome transmission fidelity protein 18 homolog
NC_007112.7	gng13a	-	NP_001185675.1	9227774	9227294	guanine nucleotide binding protein (G protein), gamma 13a
NC_007112.7	si:dkeyp-57d7.4	-	XP_021331575.1	9231839	9230983	proline-rich protein 18-like
NC_007112.7	zgc:136472	-	NP_001035331.1	9249891	9235043	protein disulfide-isomerase-like protein of the testis precursor
NC_007112.7	ubn1	-	NP_001098588.1	9276387	9270062	ubinuclein 1
NC_007112.7	uncx4.1	+	NP_001018616.2	9290262	9293785	homeobox protein unc-4 homolog
NC_007112.7	micall2b	-	NP_001299826.1	9485908	9460914	protein-methionine sulfoxide oxidase mical2b
NC_007112.7	si:ch73-12o23.1	-	XP_005170936.1	9523557	9501381	lysosomal alpha-glucosidase isoform X2
NC_007112.7	ugt5b4	-	NP_001074161.1	9633066	9631475	UDP glucuronosyltransferase 5 family, polypeptide B4 precursor
NC_007112.7	ugt5b3	-	NP_001170965.1	9637743	9636154	UDP glucuronosyltransferase 5 family, polypeptide B3 precursor
NC_007112.7	ugt5b2	-	NP_001170970.2	9644622	9643031	UDP glucuronosyltransferase 5 family, polypeptide B2 precursor
NC_007112.7	ugt5b1	-	XP_005170903.1	9646957	9645366	UDP glucuronosyltransferase 5 family, polypeptide B1 isoform X1
NC_007112.7	elfn1b	+	XP_001920383.1	9708801	9711245	protein ELFN1
NC_007112.7	mad1l1	-	NP_957206.2	9856262	9741167	mitotic spindle assembly checkpoint protein MAD1
NC_007112.7	pmm2	+	NP_956378.1	9860674	9866508	phosphomannomutase 2
NC_007112.7	zgc:56409	-	XP_005170908.1	9883489	9873513	uncharacterized protein C7orf26 homolog isoform X1
NC_007112.7	rgs11	+	XP_009304227.1	9887027	9914242	regulator of G-protein signaling 11 isoform X1
NC_007112.7	tmem8a	-	XP_005170920.1	9940914	9920082	transmembrane protein 8A isoform X1
NC_007112.7	LOC110439781	+	XP_021331625.1	9949976	9950719	uncharacterized protein LOC110439781 isoform X2
NC_007112.7	pdia2	+	NP_001307463.1	9954533	9964632	protein disulfide-isomerase A2 precursor
NC_007112.7	si:dkeyp-75b4.8	+	XP_001336328.1	9969089	9982020	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog
NC_007112.7	si:dkeyp-75b4.9	-	XP_021331626.1	9989263	9985302	interferon-induced protein 44
NC_007112.7	si:dkeyp-75b4.10	+	XP_002660413.1	9994934	10000213	ladderlectin
NC_007112.7	trim2b	+	XP_009304581.1	10018528	10032308	tripartite motif-containing protein 2
NC_007112.7	rnf175	-	XP_021322403.1	10048411	10037922	RING finger protein 175 isoform X1
NC_007112.7	fgb	+	NP_997939.1	10051836	10059192	fibrinogen beta chain precursor
NC_007112.7	LOC100536670	-	XP_021331629.1	10064512	10063281	fibrinogen alpha chain-like
NC_007112.7	fga	-	NP_001181918.1	10071396	10066272	fibrinogen alpha chain precursor
NC_007112.7	lratb	+	XP_021331631.1	10074691	10097598	uncharacterized protein lratb isoform X2
NC_007112.7	lratb.2	+	NP_001129443.1	10118523	10123806	uncharacterized protein LOC556575 precursor
NC_007112.7	rbm46	+	NP_001073493.2	10129104	10137096	probable RNA-binding protein 46
NC_007112.7	npy2rl	+	NP_001314731.1	10222732	10233879	neuropeptide Y receptor Y2, like
NC_007112.7	eif3f	+	NP_001186938.1	10297054	10304000	eukaryotic translation initiation factor 3 subunit F
NC_007112.7	zgc:77880	+	NP_957185.1	10305658	10314434	uncharacterized protein LOC393865
NC_007112.7	tmem55bb	+	NP_001153393.1	10318204	10324712	type I phosphatidylinositol 4,5-bisphosphate 4-phosphatase-B
NC_007112.7	LOC557811	-	XP_021331637.1	10347196	10330137	FERM domain-containing protein 7-like
NC_007112.7	dachb	+	XP_009304051.1	10378843	10447980	dachshund b isoform X1
NC_007112.7	tnrc5	-	NP_001034894.2	10473508	10463402	protein canopy homolog 3 precursor
NC_007112.7	trpc5a	-	XP_009304211.1	10577935	10486884	transient receptor potential cation channel, subfamily C, member 5a isoform X1
NC_007112.7	zgc:174945	-	NP_001076361.1	10640615	10637719	uncharacterized protein LOC793867 precursor
NC_007112.7	si:dkey-31e10.1	-	XP_021331640.1	10647303	10643349	OX-2 membrane glycoprotein isoform X2
NC_007112.7	si:dkey-31e10.5	-	XP_003197671.2	10669543	10667250	OX-2 membrane glycoprotein-like
NC_007112.7	si:dkey-31e10.6p	-	XP_009304617.1	10683916	10673132	OX-2 membrane glycoprotein-like
NC_007112.7	zgc:103678	+	NP_001004662.1	10684147	10696332	uncharacterized protein LOC447924
NC_007112.7	atp1b1b	+	NP_571746.1	10720337	10737894	ATPase, Na+/K+ transporting, beta 1b polypeptide
NC_007112.7	LOC100334711	+	XP_002660423.1	10767130	10776547	cyclic nucleotide-gated channel rod photoreceptor subunit alpha-like
NC_007112.7	si:ch73-222h13.1	-	XP_002660420.2	10805770	10783734	cilia- and flagella-associated protein 221
NC_007112.7	crfb15	-	XP_021332037.1	10819210	10809739	cytokine receptor family member B15 isoform X1
NC_007112.7	dmd	-	XP_021331543.1	11075273	10828586	dystrophin isoform X6
NC_007112.7	casc5	-	XP_009304635.1	11107029	11087071	kinetochore scaffold 1 isoform X1
NC_007112.7	knstrn	+	NP_001122246.1	11109556	11117479	uncharacterized protein LOC792608
NC_007112.7	sdk1b	-	XP_017211455.1	11507784	11125104	protein sidekick-1 isoform X3
NC_007112.7	si:dkey-26i13.7	-	XP_001338467.5	11596827	11595800	carbohydrate sulfotransferase 12-like
NC_007112.7	si:dkey-26i13.6	-	XP_003197678.4	11607054	11606012	carbohydrate sulfotransferase 12-like
NC_007112.7	si:dkey-26i13.5	-	XP_001338178.3	11616293	11615275	carbohydrate sulfotransferase 12-like
NC_007112.7	si:dkey-26i13.3	-	XP_017212411.1	11627287	11626254	carbohydrate sulfotransferase 12-like
NC_007112.7	si:dkey-26i13.4	-	XP_001338050.2	11642505	11641484	carbohydrate sulfotransferase 12-like
NC_007112.7	LOC797518	+	XP_021331576.1	11660081	11668782	guanine nucleotide-binding protein subunit alpha-12-like
NC_007112.7	brat1	-	XP_021331514.1	11689315	11670944	BRCA1-associated ATM activator 1 isoform X1
NC_007112.7	si:dkey-26i13.8	+	XP_009304780.1	11711653	11733083	kinesin-like protein KIF19 isoform X1
NC_007112.7	chst12b	+	XP_005159878.1	11736368	11737595	carbohydrate sulfotransferase 12-like
NC_007112.7	zmp:0000001069	-	XP_005159882.1	11777295	11775980	neuropeptide FF receptor 1-like
NC_007112.7	ttyh3b	-	NP_001032464.1	11849595	11785766	protein tweety homolog 3
NC_007112.7	iqce	-	XP_002660426.1	11878422	11855745	IQ domain-containing protein E isoform X1
NC_007112.7	snx8b	+	XP_009304805.1	11889178	11899590	sorting nexin-8 isoform X1
NC_007112.7	grk4	-	NP_001073455.1	11973069	11911699	G protein-coupled receptor kinase 4
NC_007112.7	tspan5b	+	NP_001008591.1	11977694	11993725	uncharacterized protein LOC494048
NC_007112.7	slc24a2	+	XP_017211234.1	12014524	12040864	uncharacterized protein LOC751686 isoform X1
NC_007112.7	saraf	+	XP_005159875.1	12049417	12057916	store-operated calcium entry-associated regulatory factor isoform X1
NC_007112.7	pla2g12a	-	NP_001076268.1	12064565	12062056	group XIIA secretory phospholipase A2 precursor
NC_007112.7	LOC110439783	-	XP_021331671.1	12068501	12066476	uncharacterized protein LOC110439783
NC_007112.7	xpa	+	XP_009304699.1	12069412	12077168	DNA repair protein complementing XP-A cells isoform X2
NC_007112.7	mtp	-	NP_998135.1	12126466	12107996	microsomal triglyceride transfer protein large subunit precursor
NC_007112.7	spink4	+	NP_001314828.1	12135142	12138552	uncharacterized protein LOC100331208 precursor
NC_007112.7	b4galt1	-	NP_001017730.1	12160979	12141878	beta-1,4-galactosyltransferase 1
NC_007112.7	stra6l	+	XP_005159856.1	12172379	12190527	STRA6-like isoform X1
NC_007112.7	tdrd7a	+	NP_998270.1	12199670	12227694	tudor domain-containing protein 7A isoform 2
NC_007112.7	tmod1	+	XP_005159867.1	12231478	12257744	tropomodulin-1 isoform X1
NC_007112.7	cplx2l	-	NP_001002459.1	12277524	12263931	complexin 2, like
NC_007112.7	gne	+	NP_957177.1	12308518	12333254	bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase
NC_007112.7	nansa	+	NP_996660.1	12335922	12344595	sialic acid synthase
NC_007112.7	clta	+	XP_005159862.1	12348320	12361388	clathrin light chain A isoform X1
NC_007112.7	sclt1	-	XP_021331679.1	12393050	12364791	sodium channel and clathrin linker 1
NC_007112.7	zgc:77739	+	XP_005159860.1	12394648	12397537	UPF0462 protein C4orf33 homolog isoform X1
NC_007112.7	pcdh10a	+	XP_009304862.1	12763920	12796578	protocadherin-10 isoform X1
NC_007112.7	si:dkeyp-106c3.2	+	XP_005159364.1	13087964	13088750	uncharacterized protein si:dkeyp-106c3.2
NC_007112.7	pcdh18a	-	XP_005159903.1	13270648	13261738	protocadherin-18 isoform X2
NC_007112.7	noctb	+	XP_021331689.1	13947933	13952084	nocturnin isoform X2
NC_007112.7	elf2b	-	XP_005159885.1	13976091	13958284	ETS-related transcription factor Elf-2 isoform X1
NC_007112.7	mgarp	-	XP_005159906.1	14014674	13998380	titin isoform X1
NC_007112.7	hpf1	+	NP_001005769.1	14020484	14026025	histone PARylation factor 1
NC_007112.7	ank2a	+	XP_021331693.1	14029542	14158563	ankyrin-2-like isoform X2
NC_007112.7	camk2d2	-	XP_009304938.1	14233813	14163981	calcium/calmodulin-dependent protein kinase type II delta 2 chain isoform X6
NC_007112.7	cxcl8a	+	XP_009305130.1	14253271	14253900	interleukin-8 isoform X2
NC_007112.7	pde5aa	-	XP_009305135.1	14276890	14257160	cGMP-specific 3',5'-cyclic phosphodiesterase-like
NC_007112.7	ppp2r2ca	+	NP_001032471.1	14284345	14306159	serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform
NC_007112.7	wfs1a	-	XP_695252.5	14338017	14313852	wolframin
NC_007112.7	crmp1	+	XP_005159900.1	14343456	14364278	dihydropyrimidinase-related protein 1 isoform X1
NC_007112.7	LOC567498	+	XP_005159907.1	14372695	14373891	D(1) dopamine receptor-like
NC_007112.7	fip1l1b	+	XP_009304965.1	14383022	14403514	pre-mRNA 3'-end-processing factor FIP1 isoform X1
NC_007112.7	chic2	+	NP_957414.1	14406246	14415184	cysteine-rich hydrophobic domain 2 protein
NC_007112.7	LOC553528	-	XP_009305159.1	14426725	14397909	OCIA domain-containing protein 1-like isoform X1
NC_007112.7	slc34a2a	+	NP_571699.1	14434383	14442435	solute carrier family 34 (type II sodium/phosphate cotransporter), member 2a
NC_007112.7	rbpja	+	NP_942579.2	14454690	14460399	recombination signal binding protein for immunoglobulin kappa J region a
NC_007112.7	stim2a	+	XP_002660454.3	14466860	14483215	stromal interaction molecule 2 isoform X1
NC_007112.7	LOC101882365	+	XP_021331577.1	14490503	14493815	uncharacterized protein LOC101882365 isoform X1
NC_007112.7	si:dkey-194g4.1	-	XP_021331733.1	14507350	14500469	piggyBac transposable element-derived protein 4-like isoform X1
