Chromosome	Gene_id	Strand	Protein_id	Start	Stop	Transcript_id	Gene_name
1	ENSGALG00000038520	+	ENSGALP00000052613	1393886	1407780	ENSGALT00000075048	STRIP2
1	ENSGALG00000047596	+	ENSGALP00000069876	1393886	1417686	ENSGALT00000100067	SMKR1
1	ENSGALG00000040060	+	ENSGALP00000067500	1440893	1474563	ENSGALT00000098014	NRF1
1	ENSGALG00000031975	-	ENSGALP00000048697	1533529	1493946	ENSGALT00000081048	UBE2H
1	ENSGALG00000008003	-	ENSGALP00000012977	1543992	1535444	ENSGALT00000012992	ZC3HC1
1	ENSGALG00000008013	+	ENSGALP00000012990	1544395	1557182	ENSGALT00000013005	KLHDC10
1	ENSGALG00000036140	-	ENSGALP00000047767	1566836	1560603	ENSGALT00000070987	no_data
1	ENSGALG00000008036	-	ENSGALP00000013022	1579267	1570260	ENSGALT00000013037	TMEM209
1	ENSGALG00000008048	+	ENSGALP00000013044	1584921	1593813	ENSGALT00000013059	CPA2
1	ENSGALG00000027296	+	ENSGALP00000032720	1595659	1599885	ENSGALT00000033361	CPA5
1	ENSGALG00000008087	+	ENSGALP00000013120	1600797	1604530	ENSGALT00000013135	CPA1
1	ENSGALG00000008103	-	ENSGALP00000013137	1614326	1606627	ENSGALT00000013152	CEP41
1	ENSGALG00000008111	+	ENSGALP00000060003	1615529	1619025	ENSGALT00000085290	MEST
1	ENSGALG00000008144	-	ENSGALP00000053841	1638531	1619963	ENSGALT00000047656	COPG2
1	ENSGALG00000008162	-	ENSGALP00000071707	1679605	1655962	ENSGALT00000092270	FBXO18
1	ENSGALG00000008168	+	ENSGALP00000013266	1680345	1694882	ENSGALT00000013281	ANKRD16
1	ENSGALG00000008169	+	ENSGALP00000013267	1696971	1711403	ENSGALT00000013282	GDI1
1	ENSGALG00000055101	-	ENSGALP00000070516	1738945	1700832	ENSGALT00000096902	TASOR2
1	ENSGALG00000008401	+	ENSGALP00000013670	1753072	1761235	ENSGALT00000013685	ASB13
1	ENSGALG00000008424	-	ENSGALP00000039444	1769709	1769264	ENSGALT00000040245	CALML3
1	ENSGALG00000008437	-	ENSGALP00000013731	1784095	1774138	ENSGALT00000013746	NET1
1	ENSGALG00000008444	+	ENSGALP00000039436	1833991	1840003	ENSGALT00000040237	TUBAL3
1	ENSGALG00000032978	-	ENSGALP00000051792	1849800	1849340	ENSGALT00000055642	UCN3
1	ENSGALG00000047442	-	ENSGALP00000068108	1849800	1926188	ENSGALT00000096079	no_data
1	ENSGALG00000038187	+	ENSGALP00000043945	1976898	1988647	ENSGALT00000076515	SLC35B4
1	ENSGALG00000037842	-	ENSGALP00000055983	2045577	1998552	ENSGALT00000056714	LRGUK
1	ENSGALG00000008477	-	ENSGALP00000071957	2511913	2057425	ENSGALT00000094922	EXOC4
1	ENSGALG00000006489	+	ENSGALP00000060472	2596288	2782410	ENSGALT00000089031	CHCHD3
1	ENSGALG00000006473	+	ENSGALP00000010443	2913251	3333587	ENSGALT00000010457	PLXNA4
1	ENSGALG00000006409	+	ENSGALP00000071662	3688105	3725467	ENSGALT00000093835	PODXL
1	ENSGALG00000006356	-	ENSGALP00000010260	3836065	3738400	ENSGALT00000010274	MKLN1
1	ENSGALG00000052368	-	ENSGALP00000067802	4021277	4020064	ENSGALT00000101201	no_data
1	ENSGALG00000041978	+	ENSGALP00000069979	4069164	4070680	ENSGALT00000105397	K123
1	ENSGALG00000042471	-	ENSGALP00000057825	4093999	4078094	ENSGALT00000078996	IL2RA
1	ENSGALG00000006332	+	ENSGALP00000010223	4114139	4124626	ENSGALT00000010237	RBM17
1	ENSGALG00000040369	+	ENSGALP00000048161	4157601	4175325	ENSGALT00000049952	PFKFB3
1	ENSGALG00000048616	-	ENSGALP00000071834	4478131	4475762	ENSGALT00000102384	no_data
1	ENSGALG00000009279	-	ENSGALP00000015080	4478131	4524287	ENSGALT00000015096	SFMBT2
1	ENSGALG00000029446	+	ENSGALP00000065267	4688937	4718537	ENSGALT00000093161	no_data
1	ENSGALG00000006891	-	ENSGALP00000011148	4767000	4723162	ENSGALT00000011162	ITIH5
1	ENSGALG00000006833	+	ENSGALP00000011044	4774210	4799262	ENSGALT00000011058	ITIH2
1	ENSGALG00000030702	-	ENSGALP00000070083	4815720	4802018	ENSGALT00000101624	KIN
1	ENSGALG00000006753	+	ENSGALP00000063925	4815863	4821917	ENSGALT00000085346	ATP5C1
1	ENSGALG00000006731	+	ENSGALP00000010875	4825257	4937007	ENSGALT00000010889	TAF3
1	ENSGALG00000029270	+	ENSGALP00000068882	4969611	4987014	ENSGALT00000099385	GATA3
1	ENSGALG00000034590	+	ENSGALP00000048917	6383885	6508573	ENSGALT00000056367	CELF2
1	ENSGALG00000035563	-	ENSGALP00000057857	6673390	6571228	ENSGALT00000082280	USP6NL
1	ENSGALG00000006690	+	ENSGALP00000060361	6699375	6703885	ENSGALT00000089888	ECHDC3
1	ENSGALG00000055058	+	ENSGALP00000067226	6742987	6743856	ENSGALT00000100397	no_data
1	ENSGALG00000033772	-	ENSGALP00000052359	6801577	6753647	ENSGALT00000070595	UPF2
1	ENSGALG00000003674	+	ENSGALP00000005812	6811050	6827488	ENSGALT00000005822	DHTKD1
1	ENSGALG00000036300	+	ENSGALP00000045021	6834599	6849230	ENSGALT00000082702	SEC61A2
1	ENSGALG00000013967	-	ENSGALP00000022598	6858321	6851076	ENSGALT00000022638	NUDT5
1	ENSGALG00000014038	+	ENSGALP00000062445	6862559	6896744	ENSGALT00000088159	CDC123
1	ENSGALG00000033051	+	ENSGALP00000048859	6924409	7137384	ENSGALT00000072279	CAMK1D
1	ENSGALG00000030140	-	ENSGALP00000055787	7200480	7161430	ENSGALT00000082107	CCDC3
1	ENSGALG00000013738	+	ENSGALP00000022287	7227306	7244554	ENSGALT00000022327	OPTN
1	ENSGALG00000051529	+	ENSGALP00000069303	7249251	7264994	ENSGALT00000094377	no_data
1	ENSGALG00000034198	+	ENSGALP00000056829	7252091	7263712	ENSGALT00000065648	MCM10
1	ENSGALG00000035636	-	ENSGALP00000053355	7281111	7269229	ENSGALT00000076689	PHYH
1	ENSGALG00000014575	-	ENSGALP00000023456	7308309	7288653	ENSGALT00000023502	SEPHS2L
1	ENSGALG00000006682	-	ENSGALP00000010791	7372385	7326289	ENSGALT00000010805	BEND7
1	ENSGALG00000043593	+	ENSGALP00000070276	7384215	7400308	ENSGALT00000092510	no_data
1	ENSGALG00000034992	-	ENSGALP00000056300	7438491	7410006	ENSGALT00000059565	FRMD4A
1	ENSGALG00000050213	-	ENSGALP00000068436	7479173	7459631	ENSGALT00000091341	no_data
1	ENSGALG00000033226	-	ENSGALP00000050961	7834115	7828085	ENSGALT00000050731	FAM107B
1	ENSGALG00000035201	+	ENSGALP00000055353	7972869	7981018	ENSGALT00000070427	no_data
1	ENSGALG00000013920	+	ENSGALP00000028525	7983087	7989816	ENSGALT00000029187	SUV39H2
1	ENSGALG00000013926	-	ENSGALP00000022533	8003661	7994109	ENSGALT00000022573	DCLRE1C
1	ENSGALG00000000451	+	ENSGALP00000000611	8005784	8009261	ENSGALT00000000612	MEIG1
1	ENSGALG00000006633	+	ENSGALP00000010703	8021280	8027791	ENSGALT00000010717	TMEM243
1	ENSGALG00000030844	-	ENSGALP00000045527	8051278	8029396	ENSGALT00000075153	DMTF1
1	ENSGALG00000030324	+	ENSGALP00000054863	8136573	8180800	ENSGALT00000068608	KIAA1324L
1	ENSGALG00000006576	-	ENSGALP00000010610	8235512	8188696	ENSGALT00000010624	GRM3
1	ENSGALG00000006563	+	ENSGALP00000010582	8886776	8982713	ENSGALT00000010596	SEMA3D
1	ENSGALG00000006560	+	ENSGALP00000072613	9344534	9513588	ENSGALT00000098881	SEMA3A
1	ENSGALG00000038225	+	ENSGALP00000051150	9659779	9790168	ENSGALT00000080606	SEMA3E
1	ENSGALG00000049217	+	ENSGALP00000067903	9865126	9866199	ENSGALT00000105558	no_data
1	ENSGALG00000037435	+	ENSGALP00000052517	9888360	9896316	ENSGALT00000071279	no_data
1	ENSGALG00000039659	+	ENSGALP00000071119	9908004	10212770	ENSGALT00000097235	PCLO
1	ENSGALG00000008486	+	ENSGALP00000071826	10376106	10722761	ENSGALT00000106063	CACNA2D1
1	ENSGALG00000033974	+	ENSGALP00000049829	10800797	10859552	ENSGALT00000078551	HGF
1	ENSGALG00000050082	+	ENSGALP00000073985	10877917	10879590	ENSGALT00000091368	no_data
1	ENSGALG00000052917	+	ENSGALP00000071241	10932924	10934159	ENSGALT00000099084	no_data
1	ENSGALG00000040444	+	ENSGALP00000066035	11195788	11310904	ENSGALT00000101757	SEMA3C
1	ENSGALG00000008439	-	ENSGALP00000068876	11357772	11334852	ENSGALT00000095048	CD36
1	ENSGALG00000008427	+	ENSGALP00000013713	11417769	11443230	ENSGALT00000013728	GNAT3
1	ENSGALG00000008382	-	ENSGALP00000044195	11554786	11522314	ENSGALT00000066806	GNAI1
1	ENSGALG00000038834	+	ENSGALP00000072773	11833981	12556826	ENSGALT00000091933	MAGI2
1	ENSGALG00000008335	-	ENSGALP00000068824	12642683	12582018	ENSGALT00000104869	PHTF2
1	ENSGALG00000008330	+	ENSGALP00000069047	12646409	12646813	ENSGALT00000091042	TMEM60
1	ENSGALG00000008328	-	ENSGALP00000047431	12698271	12655372	ENSGALT00000047843	RSBN1L
1	ENSGALG00000051957	-	ENSGALP00000070635	12780902	12711373	ENSGALT00000090831	PTPN12
1	ENSGALG00000008312	+	ENSGALP00000071421	12815093	12860826	ENSGALT00000091345	GSAP
1	ENSGALG00000046379	-	ENSGALP00000060011	12873698	12862934	ENSGALT00000087494	no_data
1	ENSGALG00000050444	-	ENSGALP00000073636	12882615	12878487	ENSGALT00000105310	no_data
1	ENSGALG00000008309	-	ENSGALP00000061466	12929426	12885061	ENSGALT00000013526	no_data
1	ENSGALG00000008306	+	ENSGALP00000013507	12915326	12919524	ENSGALT00000013522	FGL2
1	ENSGALG00000008301	+	ENSGALP00000013500	12932861	12973755	ENSGALT00000013515	FAM185A
1	ENSGALG00000045817	-	ENSGALP00000060720	13009106	12976598	ENSGALT00000089628	no_data
1	ENSGALG00000008298	+	ENSGALP00000068341	13016940	13023080	ENSGALT00000100820	LRRC17
1	ENSGALG00000053565	-	ENSGALP00000065343	13049438	13013412	ENSGALT00000102700	no_data
1	ENSGALG00000008288	+	ENSGALP00000013472	13056708	13062516	ENSGALT00000013487	ARMC10
1	ENSGALG00000008285	-	ENSGALP00000013467	13085297	13066490	ENSGALT00000013482	NAPEPLD
1	ENSGALG00000008280	+	ENSGALP00000013458	13106484	13115154	ENSGALT00000013473	PMPCB
1	ENSGALG00000008249	-	ENSGALP00000013413	13132481	13115384	ENSGALT00000013428	DNAJC2
1	ENSGALG00000008236	+	ENSGALP00000060323	13132858	13139727	ENSGALT00000087665	PSMC2
1	ENSGALG00000008222	-	ENSGALP00000065708	13164065	13143764	ENSGALT00000093387	SLC26A5
1	ENSGALG00000008193	-	ENSGALP00000013329	13457232	13185665	ENSGALT00000013344	RELN
1	ENSGALG00000008175	-	ENSGALP00000013275	13551894	13487667	ENSGALT00000013290	ORC5
1	ENSGALG00000043367	+	ENSGALP00000055226	13612240	13772223	ENSGALT00000081575	LHFPL3
1	ENSGALG00000008167	+	ENSGALP00000048982	13919996	13955047	ENSGALT00000055084	KMT2E
1	ENSGALG00000008154	-	ENSGALP00000055980	14006450	13958937	ENSGALT00000053364	SRPK2
1	ENSGALG00000008132	+	ENSGALP00000013183	14118864	14137390	ENSGALT00000013198	PUS7
1	ENSGALG00000008123	+	ENSGALP00000013171	14138747	14149816	ENSGALT00000013186	RINT1
1	ENSGALG00000045949	-	ENSGALP00000073936	14151946	14150752	ENSGALT00000104579	EFCAB10
1	ENSGALG00000008115	-	ENSGALP00000013157	14267015	14159518	ENSGALT00000013172	ATXN7L1
1	ENSGALG00000054032	+	ENSGALP00000067446	14288650	14295189	ENSGALT00000094297	no_data
1	ENSGALG00000052028	+	ENSGALP00000067405	14306203	14308734	ENSGALT00000103102	no_data
1	ENSGALG00000029006	-	ENSGALP00000042672	14337432	14332412	ENSGALT00000044682	SYPL1
1	ENSGALG00000008098	-	ENSGALP00000013129	14392128	14365887	ENSGALT00000013144	NAMPTP1
1	ENSGALG00000008081	+	ENSGALP00000013101	14541338	14569463	ENSGALT00000013116	PIK3CG
1	ENSGALG00000008060	+	ENSGALP00000013072	14593473	14674699	ENSGALT00000013087	PRKAR2B
1	ENSGALG00000008050	+	ENSGALP00000013047	14682658	14696856	ENSGALT00000013062	HBP1
1	ENSGALG00000042764	-	ENSGALP00000047736	14881355	14698650	ENSGALT00000068162	COG5
1	ENSGALG00000008032	+	ENSGALP00000013014	14847031	14848332	ENSGALT00000013029	no_data
1	ENSGALG00000023661	+	ENSGALP00000038671	14881105	14891561	ENSGALT00000039460	no_data
1	ENSGALG00000008009	+	ENSGALP00000012985	14896333	14918243	ENSGALT00000013000	BCAP29
1	ENSGALG00000007998	+	ENSGALP00000065658	14925155	14943746	ENSGALT00000094859	SLC26A4
1	ENSGALG00000038981	+	ENSGALP00000061691	14952158	14955462	ENSGALT00000083666	CBLL1
1	ENSGALG00000007959	-	ENSGALP00000030099	14970696	14960204	ENSGALT00000030736	SLC26A3
1	ENSGALG00000007931	+	ENSGALP00000047071	14994081	15006833	ENSGALT00000068183	DLD
1	ENSGALG00000007905	-	ENSGALP00000012817	15050072	15009470	ENSGALT00000012832	LAMB1
1	ENSGALG00000007917	-	ENSGALP00000067061	15096772	15053672	ENSGALT00000103231	LAMB4
1	ENSGALG00000007183	+	ENSGALP00000011618	15108805	15126510	ENSGALT00000011632	ERGIC2
1	ENSGALG00000007161	-	ENSGALP00000052474	15198951	15136878	ENSGALT00000067872	LRRK2
1	ENSGALG00000035940	+	ENSGALP00000058369	15244264	15377083	ENSGALT00000073744	SLC2A13
1	ENSGALG00000042554	+	ENSGALP00000052341	15407886	15449731	ENSGALT00000054844	ABCD2
1	ENSGALG00000007098	+	ENSGALP00000045088	15501205	15560977	ENSGALT00000068470	KIF21A
1	ENSGALG00000043872	+	ENSGALP00000061809	15584709	15614894	ENSGALT00000083254	no_data
1	ENSGALG00000007025	+	ENSGALP00000011352	15633936	15728119	ENSGALT00000011366	CPNE8
1	ENSGALG00000040272	-	ENSGALP00000052802	15825254	15819283	ENSGALT00000070013	ALG10
1	ENSGALG00000013018	+	ENSGALP00000021224	15825523	15828212	ENSGALT00000021255	TPRKB
1	ENSGALG00000004897	+	ENSGALP00000007804	15837439	15847687	ENSGALT00000007817	GTSE1
1	ENSGALG00000031922	+	ENSGALP00000053750	15848601	15858616	ENSGALT00000053602	TRMU
1	ENSGALG00000054287	-	ENSGALP00000069556	16049274	16048898	ENSGALT00000100610	no_data
1	ENSGALG00000034274	+	ENSGALP00000056147	16089628	16136090	ENSGALT00000056185	GRAMD4
1	ENSGALG00000048109	+	ENSGALP00000074294	16231465	16234869	ENSGALT00000091333	no_data
1	ENSGALG00000019397	-	ENSGALP00000030103	16300774	16260190	ENSGALT00000030740	CERK
1	ENSGALG00000043058	+	ENSGALP00000066088	16325389	16477085	ENSGALT00000092404	TBC1D22A
1	ENSGALG00000052402	-	ENSGALP00000069470	17132484	17131265	ENSGALT00000092637	no_data
1	ENSGALG00000048222	-	ENSGALP00000071341	17293168	17292000	ENSGALT00000105836	no_data
1	ENSGALG00000023584	+	ENSGALP00000057920	17209559	17548513	ENSGALT00000061566	TAFA5
1	ENSGALG00000029379	-	ENSGALP00000047526	18986157	18928923	ENSGALT00000069716	BRD1
1	ENSGALG00000032659	+	ENSGALP00000057066	19014915	19019216	ENSGALT00000061375	ZBED4
1	ENSGALG00000008539	-	ENSGALP00000055256	19039081	19030014	ENSGALT00000061619	ALG12
1	ENSGALG00000008551	+	ENSGALP00000013913	19045167	19055495	ENSGALT00000013929	CRELD2
1	ENSGALG00000023576	-	ENSGALP00000038411	19338090	19335372	ENSGALT00000039200	PIM3
1	ENSGALG00000008554	-	ENSGALP00000013918	20240856	20198956	ENSGALT00000013934	IL17REL
1	ENSGALG00000040038	-	ENSGALP00000062943	20271618	20258689	ENSGALT00000085218	MLC1
1	ENSGALG00000033664	+	ENSGALP00000053479	20276230	20312309	ENSGALT00000074452	MOV10L1
1	ENSGALG00000000003	+	ENSGALP00000000002	20328966	20347898	ENSGALT00000000003	PANX2
1	ENSGALG00000030705	+	ENSGALP00000044977	20383105	20412394	ENSGALT00000072540	TRABD
1	ENSGALG00000038467	+	ENSGALP00000053600	20448935	20459322	ENSGALT00000066608	SELENOO
1	ENSGALG00000032156	-	ENSGALP00000053654	20485990	20464871	ENSGALT00000072435	TUBGCP6
1	ENSGALG00000051829	-	ENSGALP00000068700	20489789	20489482	ENSGALT00000105335	no_data
1	ENSGALG00000051043	-	ENSGALP00000071400	20495174	20490193	ENSGALT00000090944	no_data
1	ENSGALG00000041251	-	ENSGALP00000054286	20502955	20492467	ENSGALT00000059215	HDAC10
1	ENSGALG00000008635	-	ENSGALP00000014058	20508617	20505303	ENSGALT00000014074	no_data
1	ENSGALG00000019384	-	ENSGALP00000014011	20555552	20527106	ENSGALT00000014027	MAPK12
1	ENSGALG00000040023	-	ENSGALP00000055637	20594688	20565754	ENSGALT00000067030	MAPK11
1	ENSGALG00000039861	-	ENSGALP00000066600	20724247	20649181	ENSGALT00000104092	PLXNB2
1	ENSGALG00000033997	+	ENSGALP00000051510	21023201	21033652	ENSGALT00000062893	ZNF800
1	ENSGALG00000039403	+	ENSGALP00000051876	21078733	21391160	ENSGALT00000065046	GRM8
1	ENSGALG00000049783	+	ENSGALP00000065742	21744328	21745368	ENSGALT00000103120	no_data
1	ENSGALG00000008740	+	ENSGALP00000030079	21884126	21945305	ENSGALT00000030716	POT1
1	ENSGALG00000040954	+	ENSGALP00000047763	21985328	21997138	ENSGALT00000046405	GPR37
1	ENSGALG00000031527	-	ENSGALP00000043780	22231629	22204411	ENSGALT00000071534	ARL8BL
1	ENSGALG00000008761	-	ENSGALP00000067298	22251667	22238883	ENSGALT00000097442	SPAM1
1	ENSGALG00000008776	-	ENSGALP00000067729	22316593	22287866	ENSGALT00000092538	HYAL6
1	ENSGALG00000008797	+	ENSGALP00000014285	22351446	22398446	ENSGALT00000014301	WASL
1	ENSGALG00000008805	-	ENSGALP00000014297	22425775	22420051	ENSGALT00000014313	LMOD2
1	ENSGALG00000008814	-	ENSGALP00000014312	22444315	22434931	ENSGALT00000014328	ASB15
1	ENSGALG00000008821	+	ENSGALP00000014321	22449658	22453933	ENSGALT00000014337	NDUFA5
1	ENSGALG00000008823	+	ENSGALP00000071690	22457296	22477009	ENSGALT00000094791	IQUB
1	ENSGALG00000008836	+	ENSGALP00000014341	22485558	22538651	ENSGALT00000014357	ATP6AP1
1	ENSGALG00000008874	+	ENSGALP00000014400	22565977	22590094	ENSGALT00000014416	SLC13A1
1	ENSGALG00000008926	+	ENSGALP00000049950	22670291	22971222	ENSGALT00000082219	CADPS2
1	ENSGALG00000008941	+	ENSGALP00000014521	22977640	22983971	ENSGALT00000014537	FEZF1
1	ENSGALG00000008953	+	ENSGALP00000055236	23010776	23037493	ENSGALT00000047184	AASS
1	ENSGALG00000040114	-	ENSGALP00000055301	23176468	23044095	ENSGALT00000051426	PTPRZ1
1	ENSGALG00000008975	+	ENSGALP00000071556	23365040	23379192	ENSGALT00000091543	FAM3C
1	ENSGALG00000028069	-	ENSGALP00000054779	23397781	23387567	ENSGALT00000058460	WNT16
1	ENSGALG00000009002	-	ENSGALP00000014633	23553940	23415786	ENSGALT00000014649	CPED1
1	ENSGALG00000009023	-	ENSGALP00000014665	23586967	23569473	ENSGALT00000014681	ING3
1	ENSGALG00000009029	+	ENSGALP00000014674	23609887	23653212	ENSGALT00000014690	TSPAN12
1	ENSGALG00000009066	-	ENSGALP00000014738	23926309	23662852	ENSGALT00000014754	KCND2
1	ENSGALG00000009104	+	ENSGALP00000014811	24436083	24482854	ENSGALT00000014827	ANKRD26
1	ENSGALG00000009110	-	ENSGALP00000014820	24495809	24490448	ENSGALT00000014836	LSM8
1	ENSGALG00000009134	+	ENSGALP00000014860	24616391	24691209	ENSGALT00000014876	CTTNBP2
1	ENSGALG00000032986	-	ENSGALP00000050160	24779956	24696395	ENSGALT00000047691	CFTR
1	ENSGALG00000034574	+	ENSGALP00000048914	24799631	24834601	ENSGALT00000063798	ASZ1
1	ENSGALG00000030173	+	ENSGALP00000043609	24840566	24853779	ENSGALT00000063992	WNT2
1	ENSGALG00000037206	-	ENSGALP00000045489	24995182	24858085	ENSGALT00000055784	ST7
1	ENSGALG00000043437	-	ENSGALP00000056878	25036917	25009182	ENSGALT00000053621	CAPZA2
1	ENSGALG00000036883	-	ENSGALP00000054618	25128780	25062055	ENSGALT00000051026	MET
1	ENSGALG00000048658	-	ENSGALP00000065219	25189412	25186363	ENSGALT00000107289	no_data
1	ENSGALG00000043287	-	ENSGALP00000043610	25216204	25201921	ENSGALT00000049033	CAV1
1	ENSGALG00000033295	-	ENSGALP00000064027	25231384	25224409	ENSGALT00000090248	CAV2
1	ENSGALG00000031934	-	ENSGALP00000055583	25342655	25316733	ENSGALT00000061781	TES
1	ENSGALG00000031934	-	ENSGALP00000055583	25342655	25317901	ENSGALT00000061781	TES
1	ENSGALG00000040557	+	ENSGALP00000047560	25405324	25492285	ENSGALT00000068913	TFEC
1	ENSGALG00000026838	-	ENSGALP00000043223	25954643	25908961	ENSGALT00000042994	MDFIC
1	ENSGALG00000009424	-	ENSGALP00000015329	25954643	26051048	ENSGALT00000015345	FOXP2
1	ENSGALG00000053114	-	ENSGALP00000066137	26239453	26112070	ENSGALT00000107112	no_data
1	ENSGALG00000009435	+	ENSGALP00000064814	26502865	26528828	ENSGALT00000088828	PPP1R3A
1	ENSGALG00000009439	+	ENSGALP00000015353	26819368	26820480	ENSGALT00000015369	GPR85
1	ENSGALG00000009440	+	ENSGALP00000038109	26909443	26940635	ENSGALT00000038899	BMT2
1	ENSGALG00000009443	+	ENSGALP00000053522	26949509	26968412	ENSGALT00000066631	TMEM168
1	ENSGALG00000009446	-	ENSGALP00000030061	27053740	27049617	ENSGALT00000030698	LSMEM1
1	ENSGALG00000009448	-	ENSGALP00000015363	27068319	27058605	ENSGALT00000015379	IFRD1
1	ENSGALG00000009454	-	ENSGALP00000015370	27068319	27109463	ENSGALT00000015386	ZNF277
1	ENSGALG00000009480	+	ENSGALP00000066612	27163396	27407139	ENSGALT00000102245	DOCK4
1	ENSGALG00000009488	-	ENSGALP00000015433	27618688	27616566	ENSGALT00000015449	LRRN3
1	ENSGALG00000009485	+	ENSGALP00000038072	27440774	27876726	ENSGALT00000038864	IMMP2L
1	ENSGALG00000052984	-	ENSGALP00000066804	28378305	28377263	ENSGALT00000103405	no_data
1	ENSGALG00000009492	-	ENSGALP00000071753	28567907	28565182	ENSGALT00000104115	DNAJB9
1	ENSGALG00000009494	+	ENSGALP00000057276	28571411	28579128	ENSGALT00000070829	THAP5
1	ENSGALG00000009497	-	ENSGALP00000015444	28633083	28630892	ENSGALT00000015460	AVPR2
1	ENSGALG00000009505	+	ENSGALP00000015455	28652238	28685420	ENSGALT00000015471	PNPLA8
1	ENSGALG00000009514	+	ENSGALP00000066300	28781077	28837195	ENSGALT00000105834	NRCAM
