Chromosome	Gene_id	Strand	Protein_id	Start	Stop	Transcript_id	Gene_name
1	ENSDARG00000094206	-	ENSDARP00000122367	8980563	8979292	ENSDART00000148182	si:ch73-191k20.3
1	ENSDARG00000037758	+	ENSDARP00000110559	8984068	8988504	ENSDART00000122568	tlr2
1	ENSDARG00000008723	+	ENSDARP00000024929	9004847	9064566	ENSDART00000006211	prkcba
1	ENSDARG00000110570	+	ENSDARP00000151824	9004847	9074479	ENSDART00000184194	BX004779.3
1	ENSDARG00000058460	+	ENSDARP00000055022	9087787	9091935	ENSDART00000055023	cacng3a
1	ENSDARG00000088975	-	ENSDARP00000139610	9114817	9100535	ENSDART00000163624	si:ch211-14k19.8
1	ENSDARG00000058463	-	ENSDARP00000075780	9123400	9118451	ENSDART00000081337	ndufab1a
1	ENSDARG00000076716	-	ENSDARP00000100652	9123400	9125207	ENSDART00000113013	palb2
1	ENSDARG00000058464	+	ENSDARP00000046506	9145053	9145688	ENSDART00000046507	rasd3
1	ENSDARG00000058471	+	ENSDARP00000075786	9153461	9161413	ENSDART00000081343	plk1
1	ENSDARG00000058475	-	ENSDARP00000115811	9153461	9169809	ENSDART00000143587	ern2
1	ENSDARG00000058480	+	ENSDARP00000086491	9199156	9226963	ENSDART00000092058	chtf18
1	ENSDARG00000024740	-	ENSDARP00000121143	9227774	9227294	ENSDART00000147277	gng13a
1	ENSDARG00000101597	-	ENSDARP00000135946	9231839	9230983	ENSDART00000166515	si:dkeyp-57d7.4
1	ENSDARG00000058445	-	ENSDARP00000055010	9249891	9235043	ENSDART00000055011	zgc:136472
1	ENSDARG00000063169	-	ENSDARP00000098092	9276387	9270062	ENSDART00000114876	ubn1
1	ENSDARG00000037760	+	ENSDARP00000055008	9290262	9293785	ENSDART00000055009	uncx4.1
1	ENSDARG00000017834	-	ENSDARP00000118632	9485908	9460914	ENSDART00000137821	micall2b
1	ENSDARG00000074282	-	ENSDARP00000101564	9523557	9501381	ENSDART00000110790	si:ch73-12o23.1
1	ENSDARG00000104203	-	ENSDARP00000140545	9629647	9627557	ENSDART00000164079	ugt5b5
1	ENSDARG00000091916	-	ENSDARP00000106357	9633066	9631475	ENSDART00000127735	ugt5b4
1	ENSDARG00000099276	-	ENSDARP00000111789	9637743	9636143	ENSDART00000126996	ugt5b2
1	ENSDARG00000101495	-	ENSDARP00000022958	9644622	9643031	ENSDART00000016750	ugt5b2
1	ENSDARG00000104995	-	ENSDARP00000105442	9646957	9645366	ENSDART00000123773	ugt5b1
1	ENSDARG00000074372	+	ENSDARP00000103641	9708801	9711245	ENSDART00000111131	elfn1b
1	ENSDARG00000033852	-	ENSDARP00000123048	9856262	9741167	ENSDART00000147904	mad1l1
1	ENSDARG00000037654	+	ENSDARP00000054847	9860674	9866508	ENSDART00000054848	pmm2
1	ENSDARG00000037652	-	ENSDARP00000054842	9883489	9873513	ENSDART00000054843	C1H7orf26
1	ENSDARG00000032795	-	ENSDARP00000114024	9940408	9920082	ENSDART00000138726	pgap6
1	ENSDARG00000018263	+	ENSDARP00000012585	9954533	9964632	ENSDART00000005895	pdia2
1	ENSDARG00000070490	-	ENSDARP00000120595	9954533	9975815	ENSDART00000142906	si:dkeyp-75b4.7
1	ENSDARG00000077542	+	ENSDARP00000114547	9954533	9982020	ENSDART00000132607	si:dkeyp-75b4.8
1	ENSDARG00000079043	+	ENSDARP00000122934	9994934	10000213	ENSDART00000143719	si:dkeyp-75b4.10
1	ENSDARG00000076174	+	ENSDARP00000133473	10018528	10032308	ENSDART00000162675	trim2b
1	ENSDARG00000037647	-	ENSDARP00000054834	10046144	10037922	ENSDART00000054835	rnf175
1	ENSDARG00000008969	+	ENSDARP00000016228	10051836	10059192	ENSDART00000011701	fgb
1	ENSDARG00000020741	-	ENSDARP00000029074	10071396	10066272	ENSDART00000033118	fga
1	ENSDARG00000104660	+	ENSDARP00000157072	10074691	10100959	ENSDART00000190194	si:ch73-132f6.5
1	ENSDARG00000096594	+	ENSDARP00000146813	10110217	10112932	ENSDART00000181437	lratb.1
1	ENSDARG00000077652	+	ENSDARP00000126676	10110217	10123806	ENSDART00000152432	lratb.2
1	ENSDARG00000079452	+	ENSDARP00000150117	10129104	10137096	ENSDART00000187740	rbm46
1	ENSDARG00000089943	+	ENSDARP00000127016	10222732	10233879	ENSDART00000152424	npy2rl
1	ENSDARG00000077533	+	ENSDARP00000127037	10222732	10304000	ENSDART00000152562	eif3f
1	ENSDARG00000030563	+	ENSDARP00000043880	10305658	10314434	ENSDART00000043881	zgc:77880
1	ENSDARG00000026387	+	ENSDARP00000029568	10318204	10324712	ENSDART00000029774	pip4p1b
1	ENSDARG00000070495	-	ENSDARP00000098469	10347196	10336683	ENSDART00000109141	FRMD7
1	ENSDARG00000034785	+	ENSDARP00000046282	10378843	10447980	ENSDART00000046283	dachb
1	ENSDARG00000070512	-	ENSDARP00000040115	10473508	10463402	ENSDART00000040116	cnpy3
1	ENSDARG00000070504	-	ENSDARP00000155633	10578001	10486884	ENSDART00000186876	trpc5a
1	ENSDARG00000062057	-	ENSDARP00000094326	10640615	10637719	ENSDART00000103550	zgc:174945
1	ENSDARG00000067992	-	ENSDARP00000132542	10647217	10643490	ENSDART00000164541	si:dkey-31e10.1
1	ENSDARG00000037679	+	ENSDARP00000054878	10684042	10696332	ENSDART00000054879	zgc:103678
1	ENSDARG00000076833	+	ENSDARP00000115804	10684042	10737894	ENSDART00000139387	atp1b1b
1	ENSDARG00000012297	+	ENSDARP00000022566	10684042	10776547	ENSDART00000027050	cnga3b
1	ENSDARG00000087107	-	ENSDARP00000116551	10805770	10783734	ENSDART00000139749	si:ch73-222h13.1
1	ENSDARG00000099342	-	ENSDARP00000131376	10821532	10809739	ENSDART00000167452	crfb15
1	ENSDARG00000008487	-	ENSDARP00000093677	11075273	10824753	ENSDART00000102903	dmd
1	ENSDARG00000070239	-	ENSDARP00000119672	11075273	11087071	ENSDART00000147648	knl1
1	ENSDARG00000074379	+	ENSDARP00000099723	11109556	11117479	ENSDART00000109858	knstrn
1	ENSDARG00000062854	-	ENSDARP00000139978	11518541	11340372	ENSDART00000162060	sdk1b
1	ENSDARG00000092242	-	ENSDARP00000119019	11596827	11595800	ENSDART00000140725	si:dkey-26i13.7
1	ENSDARG00000092200	-	ENSDARP00000133794	11596827	11606012	ENSDART00000158253	si:dkey-26i13.6
1	ENSDARG00000093636	-	ENSDARP00000156849	11616293	11615275	ENSDART00000188891	si:dkey-26i13.5
1	ENSDARG00000095482	-	ENSDARP00000130041	11627287	11626254	ENSDART00000163312	si:dkey-26i13.3
1	ENSDARG00000094981	-	ENSDARP00000099344	11627287	11641484	ENSDART00000115316	chst12b
1	ENSDARG00000037619	+	ENSDARP00000054786	11660129	11668782	ENSDART00000054787	GNA12
1	ENSDARG00000062585	-	ENSDARP00000085122	11689315	11670944	ENSDART00000090689	brat1
1	ENSDARG00000074213	+	ENSDARP00000101986	11689315	11707665	ENSDART00000111041	eif3bb
1	ENSDARG00000062606	+	ENSDARP00000114100	11711653	11733083	ENSDART00000147623	si:dkey-26i13.8
1	ENSDARG00000077198	+	ENSDARP00000122258	11736420	11737595	ENSDART00000140329	chst12b
1	ENSDARG00000007678	-	ENSDARP00000036553	11849595	11785766	ENSDART00000033361	ttyh3b
1	ENSDARG00000089930	-	ENSDARP00000111024	11878422	11855745	ENSDART00000123431	iqce
1	ENSDARG00000078057	+	ENSDARP00000131173	11889178	11899590	ENSDART00000166981	snx8b
1	ENSDARG00000070448	-	ENSDARP00000066637	11973069	11911699	ENSDART00000066638	grk4
1	ENSDARG00000070449	+	ENSDARP00000094176	11977694	11993725	ENSDART00000103399	tspan5b
1	ENSDARG00000042988	+	ENSDARP00000074550	12014524	12040864	ENSDART00000080100	slc24a2
1	ENSDARG00000096506	+	ENSDARP00000126691	12046599	12048409	ENSDART00000152479	si:dkey-58j15.11
1	ENSDARG00000070452	+	ENSDARP00000115385	12049417	12057916	ENSDART00000137697	saraf
1	ENSDARG00000070454	-	ENSDARP00000094182	12064565	12062056	ENSDART00000103406	pla2g12a
1	ENSDARG00000096515	-	ENSDARP00000126836	12068501	12066476	ENSDART00000152392	si:dkey-58j15.10
1	ENSDARG00000038114	+	ENSDARP00000055565	12069412	12091334	ENSDART00000055566	xpa
1	ENSDARG00000008637	-	ENSDARP00000024667	12126466	12107996	ENSDART00000015251	mttp
1	ENSDARG00000091609	+	ENSDARP00000106946	12135142	12138552	ENSDART00000126020	spink4
1	ENSDARG00000002634	-	ENSDARP00000135835	12160979	12141878	ENSDART00000162146	b4galt1
1	ENSDARG00000062467	+	ENSDARP00000120240	12178499	12190527	ENSDART00000142081	stra6l
1	ENSDARG00000032808	+	ENSDARP00000040306	12196946	12227694	ENSDART00000040307	tdrd7a
1	ENSDARG00000078318	+	ENSDARP00000103325	12231478	12257784	ENSDART00000111485	tmod1
1	ENSDARG00000018997	-	ENSDARP00000120699	12277524	12263931	ENSDART00000139336	cplx2l
1	ENSDARG00000099771	+	ENSDARP00000133094	12302073	12333254	ENSDART00000164045	gne
1	ENSDARG00000045620	+	ENSDARP00000067085	12335922	12344595	ENSDART00000067086	nansa
1	ENSDARG00000045618	+	ENSDARP00000067081	12348320	12361388	ENSDART00000067082	clta
1	ENSDARG00000057248	-	ENSDARP00000122898	12393050	12364791	ENSDART00000146067	sclt1
1	ENSDARG00000017985	+	ENSDARP00000115436	12394648	12397537	ENSDART00000138622	C1H4orf33
1	ENSDARG00000099729	+	ENSDARP00000144991	12763920	12793357	ENSDART00000180121	pcdh10a
1	ENSDARG00000102339	+	ENSDARP00000135987	13087964	13088750	ENSDART00000170314	si:dkey-5n7.2
1	ENSDARG00000089805	-	ENSDARP00000108171	13270648	13261738	ENSDART00000127838	pcdh18a
1	ENSDARG00000078525	+	ENSDARP00000099045	13947933	13952084	ENSDART00000111026	noctb
1	ENSDARG00000079626	-	ENSDARP00000154068	13976091	13958284	ENSDART00000191046	elf2b
1	ENSDARG00000057114	+	ENSDARP00000074168	14020484	14026025	ENSDART00000079716	hpf1
1	ENSDARG00000009026	+	ENSDARP00000006703	14073891	14158563	ENSDART00000021693	ank2a
1	ENSDARG00000014273	-	ENSDARP00000040048	14233813	14163981	ENSDART00000040049	camk2d2
1	ENSDARG00000104795	+	ENSDARP00000137520	14253271	14253900	ENSDART00000161996	cxcl8a
1	ENSDARG00000056806	-	ENSDARP00000073815	14253271	14257160	ENSDART00000079359	pde5aa
1	ENSDARG00000056797	+	ENSDARP00000026825	14284345	14306159	ENSDART00000017679	ppp2r2ca
1	ENSDARG00000062341	-	ENSDARP00000084458	14327086	14313852	ENSDART00000090025	wfs1a
1	ENSDARG00000056742	+	ENSDARP00000064467	14348465	14364278	ENSDART00000064468	crmp1
1	ENSDARG00000037576	+	ENSDARP00000046873	14348465	14373891	ENSDART00000046874	BX530018.1
1	ENSDARG00000070431	+	ENSDARP00000094123	14383022	14403514	ENSDART00000103346	fip1l1b
1	ENSDARG00000022690	+	ENSDARP00000034195	14406246	14415184	ENSDART00000030083	chic2
1	ENSDARG00000056677	-	ENSDARP00000147410	14426725	14418515	ENSDART00000184641	BX530018.2
1	ENSDARG00000012903	+	ENSDARP00000023797	14434383	14442435	ENSDART00000024328	slc34a2a
1	ENSDARG00000003398	+	ENSDARP00000026585	14454690	14460399	ENSDART00000005067	rbpja
1	ENSDARG00000074867	+	ENSDARP00000099365	14466860	14483215	ENSDART00000114097	stim2a
1	ENSDARG00000109597	-	ENSDARP00000151912	14503180	14500873	ENSDART00000190599	si:dkey-194g4.1
1	ENSDARG00000110922	-	ENSDARP00000145978	14533609	14527906	ENSDART00000180678	CR847936.6
1	ENSDARG00000039063	+	ENSDARP00000144966	14658801	14660280	ENSDART00000192194	CR847936.1
1	ENSDARG00000113383	-	ENSDARP00000148337	14694807	14673223	ENSDART00000193331	CU138548.5
1	ENSDARG00000078898	+	ENSDARP00000100086	15138842	15200766	ENSDART00000111475	pcdh7a
1	ENSDARG00000007534	+	ENSDARP00000149991	15217004	15223298	ENSDART00000189206	itln1
1	ENSDARG00000077804	+	ENSDARP00000103306	15226361	15253281	ENSDART00000109911	hgsnat
1	ENSDARG00000013881	+	ENSDARP00000038731	15258891	15284564	ENSDART00000033018	pi4k2b
1	ENSDARG00000079317	-	ENSDARP00000103088	15328960	15293533	ENSDART00000109970	dlc1
1	ENSDARG00000106258	-	ENSDARP00000143594	15797191	15623963	ENSDART00000177122	SGCZ
1	ENSDARG00000078854	+	ENSDARP00000110152	16127825	16220126	ENSDART00000122503	tusc3
1	ENSDARG00000007356	-	ENSDARP00000007295	16394378	16393125	ENSDART00000013024	fgf20a
1	ENSDARG00000078599	+	ENSDARP00000152329	16396929	16455921	ENSDART00000189245	micu3a
1	ENSDARG00000017119	+	ENSDARP00000073136	16463414	16479615	ENSDART00000078675	vps37a
1	ENSDARG00000070412	-	ENSDARP00000132311	16507561	16484678	ENSDART00000169081	mtmr7b
1	ENSDARG00000034105	+	ENSDARP00000048854	16548739	16617016	ENSDART00000048855	mtus1b
1	ENSDARG00000062198	+	ENSDARP00000136285	16625678	16653461	ENSDART00000164899	pcm1
1	ENSDARG00000034817	-	ENSDARP00000040433	16664946	16654698	ENSDART00000040434	asah1b
1	ENSDARG00000056504	-	ENSDARP00000073458	16688872	16675633	ENSDART00000079001	frg1
1	ENSDARG00000017591	+	ENSDARP00000112805	17379292	17522508	ENSDART00000145068	fat1a
1	ENSDARG00000017905	+	ENSDARP00000006831	17528174	17534519	ENSDART00000005593	casp3a
1	ENSDARG00000030514	-	ENSDARP00000039916	17565868	17539651	ENSDART00000039917	acsl1a
1	ENSDARG00000056400	+	ENSDARP00000073348	17593438	17594953	ENSDART00000078889	helt
1	ENSDARG00000042937	-	ENSDARP00000043483	17650156	17618259	ENSDART00000043484	si:dkey-256e7.5
1	ENSDARG00000027355	+	ENSDARP00000030881	17676819	17678626	ENSDART00000030665	slc25a4
1	ENSDARG00000056381	-	ENSDARP00000114229	17689830	17681486	ENSDART00000146258	cfap97
1	ENSDARG00000056376	+	ENSDARP00000094013	17695560	17698335	ENSDART00000103236	ankrd37
1	ENSDARG00000056369	-	ENSDARP00000110184	17711592	17699798	ENSDART00000122670	ufsp2
1	ENSDARG00000092022	-	ENSDARP00000121173	17714041	17713019	ENSDART00000133027	si:dkey-256e7.8
1	ENSDARG00000011023	-	ENSDARP00000006482	17735820	17722396	ENSDART00000018238	pdlim3a
1	ENSDARG00000003046	-	ENSDARP00000041214	17797800	17747951	ENSDART00000041215	sorbs2a
1	ENSDARG00000016065	+	ENSDARP00000014779	17894124	17898020	ENSDART00000013021	tlr3
