Gene 1	Gene 2	id %	som %	E-value
PLA2G2E (NP_055404.1)	PLA2G2A (NP_001155201.1)	54%	62%	2e-46
CELA3B (NP_031378.1)	CELA3A (NP_005738.4)	93%	96%	2e-179
C1QA (NP_001334394.1)	C1QC (NP_001334548.1)	40%	55%	9e-38
C1QC (NP_001334548.1)	C1QB (NP_001358113.2)	51%	65%	1e-64
ZBTB8B (NP_001139192.1)	ZBTB8A (NP_001035531.2)	49%	72%	5e-52
GJB5 (XP_005270808.1)	GJB4 (NP_694944.1)	68%	78%	8e-119
GJB4 (NP_694944.1)	GJB3 (NP_076872.1)	65%	78%	3e-105
GJB3 (NP_076872.1)	GJA4 (XP_005270807.1)	40%	56%	1e-62
AGO4 (XP_005270635.1)	AGO1 (NP_001304052.1)	84%	91%	0.0
AGO1 (NP_001304052.1)	AGO3 (XP_016856012.1)	85%	92%	0.0
ZFP69B (NP_001356494.1)	ZFP69 (XP_005270866.1)	68%	77%	0.0
CYP4X1 (NP_001307218.1)	CYP4Z1 (XP_024309624.1)	54%	75%	0.0
CYP4Z1 (XP_024309624.1)	CYP4A22 (NP_001295031.1)	48%	70%	3e-55
FOXE3 (NP_036318.1)	FOXD2 (NP_004465.3)	73%	84%	3e-46
ZYG11B (NP_078922.1)	ZYG11A (XP_011539784.1)	60%	74%	0.0
IL23R (XP_011539092.1)	IL12RB2 (XP_011539686.1)	24%	42%	6e-16
ST6GALNAC3 (NP_001336038.1)	ST6GALNAC5 (NP_112227.1)	40%	63%	9e-44
IFI44L (XP_006710367.1)	IFI44 (XP_011538818.1)	51%	71%	6e-64
MCOLN2 (NP_694991.2)	MCOLN3 (XP_005271060.1)	60%	78%	0.0
CLCA2 (XP_011540750.1)	CLCA1 (NP_001276.3)	46%	64%	3e-177
CLCA1 (NP_001276.3)	CLCA4 (NP_036260.2)	64%	77%	0.0
GBP3 (XP_011539536.1)	GBP1 (NP_002044.2)	76%	87%	1e-170
GBP1 (NP_002044.2)	GBP2 (NP_004111.2)	77%	90%	0.0
GBP2 (NP_004111.2)	GBP7 (NP_997281.2)	57%	76%	0.0
GBP7 (NP_997281.2)	GBP4 (NP_443173.2)	78%	88%	0.0
GBP4 (NP_443173.2)	GBP5 (NP_001127958.1)	55%	74%	0.0
LRRC8B (XP_011539448.1)	LRRC8C (XP_011540584.1)	50%	71%	0.0
LRRC8C (XP_011540584.1)	LRRC8D (XP_011539991.1)	50%	69%	0.0
AMY2B (NP_066188.1)	AMY2A (NP_000690.1)	99%	99%	0.0
AMY2A (NP_000690.1)	AMY1A (NP_001008222.1)	97%	98%	0.0
GSTM4 (XP_024302345.1)	GSTM2 (NP_001135840.1)	72%	80%	4e-117
GSTM2 (NP_001135840.1)	GSTM1 (NP_000552.2)	83%	93%	3e-123
GSTM1 (NP_000552.2)	GSTM5 (XP_005270841.1)	88%	93%	8e-147
KCNA10 (NP_005540.1)	KCNA2 (XP_011539700.1)	66%	78%	0.0
KCNA2 (XP_011539700.1)	KCNA3 (NP_002223.3)	76%	83%	0.0
CHI3L2 (XP_024308522.1)	CHIA (NP_970615.2)	50%	69%	7e-135
PTGFRN (NP_065173.2)	CD101 (XP_016858335.1)	23%	40%	2e-36
HSD3B2 (NP_001159592.1)	HSD3B1 (NP_001315544.1)	94%	97%	0.0
CTSS (NP_001186668.1)	CTSK (NP_000387.1)	48%	61%	2e-108
THEM5 (NP_872384.2)	THEM4 (NP_444283.2)	38%	59%	6e-54
S100A10 (NP_002957.1)	S100A11 (NP_005611.1)	40%	61%	2e-25
TCHHL1 (NP_001008536.1)	TCHH (NP_009044.2)	38%	57%	1e-15
TCHH (NP_009044.2)	RPTN (NP_001116437.1)	48%	73%	5e-29
RPTN (NP_001116437.1)	HRNR (NP_001009931.1)	52%	74%	1e-30
HRNR (NP_001009931.1)	FLG (NP_002007.1)	51%	69%	7e-40
FLG (NP_002007.1)	FLG2 (XP_011507833.1)	32%	45%	4e-43
FLG2 (XP_011507833.1)	CRNN (NP_057274.1)	42%	65%	1e-30
LCE3E (NP_848522.1)	LCE3D (NP_115952.1)	96%	98%	7e-18
LCE3C (NP_848521.1)	LCE3B (NP_848520.1)	75%	78%	1e-17
LCE2D (NP_848517.1)	LCE2C (NP_848516.1)	96%	96%	1e-68
LCE2C (NP_848516.1)	LCE2B (NP_055172.1)	94%	95%	1e-32
LCE2B (NP_055172.1)	LCE2A (NP_848515.1)	88%	89%	2e-13
SPRR1A (NP_001186757.1)	SPRR3 (NP_005407.1)	51%	58%	1e-15
SPRR3 (NP_005407.1)	SPRR1B (NP_003116.2)	67%	72%	2e-14
SPRR2A (NP_005979.1)	SPRR2B (XP_016857663.1)	99%	99%	7e-40
SPRR2B (XP_016857663.1)	SPRR2E (NP_001019380.2)	97%	97%	1e-37
PGLYRP3 (XP_011507421.1)	PGLYRP4 (XP_011508093.1)	63%	73%	1e-174
S100A12 (NP_005612.1)	S100A8 (NP_001306127.1)	39%	61%	2e-19
S100A7 (NP_002954.2)	S100A6 (XP_016857522.1)	29%	56%	8e-10
S100A6 (XP_016857522.1)	S100A5 (XP_016857518.1)	53%	76%	7e-33
S100A5 (XP_016857518.1)	S100A4 (NP_002952.1)	53%	70%	1e-30
S100A4 (NP_002952.1)	S100A3 (NP_002951.1)	46%	68%	6e-32
S100A3 (NP_002951.1)	S100A2 (NP_001353336.1)	41%	58%	2e-17
S100A2 (NP_001353336.1)	S100A16 (NP_001303937.1)	33%	55%	6e-09
S100A16 (NP_001303937.1)	S100A14 (XP_016857364.1)	27%	62%	1e-12
S100A14 (XP_016857364.1)	S100A13 (NP_001019381.1)	41%	69%	5e-24
EFNA4 (NP_005218.1)	EFNA3 (NP_004943.1)	46%	56%	1e-40
EFNA3 (NP_004943.1)	EFNA1 (NP_004419.2)	49%	59%	5e-50
HAPLN2 (XP_016857509.1)	BCAN (NP_068767.3)	39%	55%	2e-59
ETV3L (NP_001004341.1)	ETV3 (XP_006711273.1)	90%	94%	9e-77
FCRL5 (NP_001182317.1)	FCRL4 (NP_112572.1)	47%	60%	2e-104
FCRL4 (NP_112572.1)	FCRL3 (XP_006711208.1)	45%	61%	3e-101
FCRL3 (XP_006711208.1)	FCRL2 (XP_016857807.1)	50%	65%	6e-104
FCRL2 (XP_016857807.1)	FCRL1 (XP_005244926.1)	58%	79%	3e-36
CD1D (NP_001358692.1)	CD1A (NP_001307581.1)	54%	69%	8e-116
CD1A (NP_001307581.1)	CD1C (XP_005245636.1)	58%	71%	7e-118
OR10T2 (NP_001004475.1)	OR10K2 (NP_001004476.1)	52%	72%	8e-112
OR10K1 (NP_001004473.1)	OR10R2 (NP_001004472.1)	59%	74%	3e-125
OR6Y1 (NP_001005189.1)	OR6P1 (NP_001153797.1)	59%	75%	6e-135
OR6P1 (NP_001153797.1)	OR10X1 (NP_001004477.1)	42%	63%	4e-84
OR6K2 (NP_001005279.1)	OR6K3 (NP_001005327.2)	60%	72%	2e-134
OR6N1 (XP_016855814.1)	OR6N2 (NP_001005278.1)	66%	80%	1e-143
MNDA (NP_002423.1)	PYHIN1 (XP_011507545.1)	54%	71%	3e-136
OR10J4 (NP_001335215.2)	OR10J1 (NP_001350486.1)	66%	80%	7e-149
ATP1A2 (NP_000693.1)	ATP1A4 (NP_653300.2)	80%	90%	0.0
SLAMF6 (XP_016855706.1)	CD84 (NP_001171811.1)	26%	45%	9e-19
CD84 (NP_001171811.1)	SLAMF1 (NP_003028.1)	32%	50%	2e-12
SLAMF1 (NP_003028.1)	CD48 (XP_016858356.1)	30%	43%	2e-08
SLAMF7 (NP_001269518.1)	LY9 (XP_016856789.1)	30%	52%	6e-12
ITLN1 (NP_060095.2)	ITLN2 (XP_011507512.1)	83%	88%	0.0
FCGR3A (NP_001316049.1)	FCGR3B (NP_000561.3)	97%	98%	2e-175
FCGR2B (XP_024309812.1)	FCRLA (XP_006711644.1)	26%	40%	1e-08
FCRLA (XP_006711644.1)	FCRLB (NP_001002901.1)	29%	42%	1e-15
SELP (XP_005245497.1)	SELL (NP_000646.3)	51%	66%	3e-114
SELL (NP_000646.3)	SELE (NP_000441.2)	52%	67%	3e-107
FMO3 (XP_011507647.1)	FMO2 (NP_001352829.1)	56%	73%	0.0
FMO2 (NP_001352829.1)	FMO1 (NP_001269623.1)	54%	72%	3e-179
FMO1 (NP_001269623.1)	FMO4 (XP_006711306.1)	33%	48%	1e-51
RGS16 (XP_024304564.1)	RGS8 (XP_011508391.1)	58%	70%	4e-65
LAMC1 (NP_002284.3)	LAMC2 (NP_005553.2)	53%	67%	0.0
RGS18 (NP_570138.1)	RGS21 (NP_001034241.1)	53%	73%	4e-52
RGS21 (NP_001034241.1)	RGS1 (NP_002913.3)	60%	75%	4e-55
RGS1 (NP_002913.3)	RGS13 (NP_002918.1)	48%	72%	9e-49
RGS13 (NP_002918.1)	RGS2 (NP_002914.1)	50%	68%	9e-45
CFH (NP_001014975.1)	CFHR3 (NP_001160096.1)	84%	91%	3e-86
CFHR3 (NP_001160096.1)	CFHR1 (XP_011507759.1)	35%	52%	1e-52
CFHR1 (XP_011507759.1)	CFHR4 (XP_016855599.1)	37%	56%	2e-53
CFHR4 (XP_016855599.1)	CFHR2 (NP_005657.1)	48%	66%	7e-81
CFHR2 (NP_005657.1)	CFHR5 (XP_011508322.1)	65%	73%	1e-76
CHI3L1 (NP_001267.2)	CHIT1 (NP_001243054.2)	49%	67%	1e-130
PRELP (NP_002716.1)	OPTC (NP_055174.1)	31%	47%	7e-23
NFASC (NP_001365258.1)	CNTN2 (XP_024305156.1)	31%	45%	1e-88
DYRK3 (NP_001004023.1)	MAPKAPK2 (NP_004750.1)	23%	46%	1e-17
IL19 (NP_715639.1)	IL20 (XP_005273209.1)	39%	59%	2e-36
IL20 (XP_005273209.1)	IL24 (XP_016855610.1)	33%	56%	7e-26
FCMR (XP_005273408.1)	PIGR (NP_002635.2)	39%	58%	1e-18
PIGR (NP_002635.2)	FCAMR (XP_016857931.1)	47%	64%	7e-28
C4BPB (XP_005273311.1)	C4BPA (XP_005273309.1)	29%	46%	3e-17
C4BPA (XP_005273309.1)	CD55 (XP_016855956.1)	41%	57%	7e-42
CD55 (XP_016855956.1)	CR2 (NP_001006659.1)	31%	47%	2e-28
CR2 (NP_001006659.1)	CR1 (XP_011507507.1)	30%	45%	6e-131
CR1 (XP_011507507.1)	CR1L (NP_783641.1)	74%	78%	0.0
CR1L (NP_783641.1)	CD46 (NP_002380.3)	38%	51%	2e-49
MTARC2 (NP_001304267.1)	MTARC1 (XP_011508202.1)	63%	76%	4e-155
TRIM11 (XP_011542587.1)	TRIM17 (XP_011542512.1)	45%	59%	5e-51
ZNF695 (NP_001191150.2)	ZNF670 (NP_001191149.1)	55%	74%	2e-15
ZNF670 (NP_001191149.1)	ZNF669 (NP_001136044.1)	58%	71%	1e-158
ZNF124 (NP_001230669.1)	ZNF496 (NP_116141.1)	44%	76%	2e-07
OR2G2 (NP_001001915.1)	OR2G3 (NP_001001914.1)	63%	80%	8e-140
OR13G1 (NP_001005487.1)	OR6F1 (NP_001005286.1)	39%	61%	2e-73
OR6F1 (NP_001005286.1)	OR14A2 (XP_024302760.1)	35%	57%	4e-64
OR1C1 (NP_036485.2)	OR14A16 (NP_001001966.1)	43%	61%	3e-83
OR14A16 (NP_001001966.1)	OR11L1 (NP_001001959.1)	38%	58%	5e-72
OR2W3 (NP_001001957.2)	OR2T8 (XP_011542480.1)	43%	60%	2e-91
OR2T8 (XP_011542480.1)	OR2AJ1 (NP_001342164.1)	53%	70%	2e-115
OR2AJ1 (NP_001342164.1)	OR2L8 (NP_001001963.1)	55%	71%	2e-117
OR2L8 (NP_001001963.1)	OR2AK2 (NP_001004491.1)	58%	74%	1e-125
OR2AK2 (NP_001004491.1)	OR2L5 (NP_001245213.1)	56%	73%	8e-125
OR2L5 (NP_001245213.1)	OR2L2 (XP_011542460.1)	90%	93%	0.0
OR2L2 (XP_011542460.1)	OR2L3 (NP_001004687.1)	85%	90%	0.0
OR2L3 (NP_001004687.1)	OR2L13 (NP_787107.1)	72%	83%	6e-161
OR2L13 (NP_787107.1)	OR2M5 (NP_001004690.1)	53%	69%	1e-111
OR2M5 (NP_001004690.1)	OR2M2 (NP_001004688.1)	91%	94%	0.0
OR2M2 (NP_001004688.1)	OR2M3 (NP_001004689.1)	92%	95%	0.0
OR2M3 (NP_001004689.1)	OR2M4 (NP_059974.1)	74%	83%	5e-176
OR2T33 (NP_001004695.1)	OR2T12 (NP_001004692.1)	95%	97%	0.0
OR2T12 (NP_001004692.1)	OR2M7 (NP_001004691.1)	56%	75%	5e-132
OR14C36 (NP_001001918.1)	OR2T4 (NP_001004696.1)	37%	56%	2e-66
OR2T4 (NP_001004696.1)	OR2T6 (NP_001005471.1)	59%	72%	4e-130
OR2T6 (NP_001005471.1)	OR2T1 (NP_112166.1)	73%	82%	1e-163
OR2T1 (NP_112166.1)	OR2T7 (NP_001342152.1)	72%	84%	2e-161
OR2T7 (NP_001342152.1)	OR2T2 (NP_001004136.1)	70%	83%	4e-160
OR2T2 (NP_001004136.1)	OR2T3 (NP_001005495.1)	62%	77%	2e-141
OR2T3 (NP_001005495.1)	OR2T5 (NP_001004697.1)	67%	79%	2e-156
OR2T5 (NP_001004697.1)	OR2G6 (NP_001013373.1)	41%	61%	5e-86
OR2T29 (NP_001004694.2)	OR2T34 (NP_001001821.1)	66%	78%	6e-154
OR2T34 (NP_001001821.1)	OR2T10 (XP_016855762.1)	62%	75%	1e-140
OR2T10 (XP_016855762.1)	OR2T11 (NP_001001964.1)	58%	76%	3e-135
OR2T11 (NP_001001964.1)	OR2T35 (NP_001001827.1)	71%	85%	7e-173
OR2T35 (NP_001001827.1)	OR2T27 (NP_001001824.1)	69%	83%	2e-164
OR2T27 (NP_001001824.1)	OR14I1 (XP_005273189.1)	34%	53%	8e-57
FAM228B (NP_001278257.1)	FAM228A (NP_001035800.1)	49%	68%	2e-24
LHCGR (NP_000224.2)	FSHR (XP_011531036.1)	53%	71%	0.0
CLEC4F (XP_016859008.1)	CD207 (XP_011531178.1)	35%	58%	9e-44
CD8A (NP_001139345.1)	CD8B (NP_001171571.1)	26%	39%	2e-07
CNNM4 (NP_064569.3)	CNNM3 (XP_011509259.1)	51%	68%	7e-174
ANKRD23 (NP_659431.5)	ANKRD39 (NP_057550.3)	32%	45%	5e-12
LYG2 (XP_016859240.1)	LYG1 (NP_001358309.1)	40%	62%	8e-50
IL1R2 (XP_006712799.1)	IL1R1 (XP_011509419.1)	35%	54%	1e-35
IL1R1 (XP_011509419.1)	IL1RL2 (NP_001338376.1)	47%	62%	6e-105
IL1RL2 (NP_001338376.1)	IL1RL1 (NP_001269337.1)	27%	45%	5e-13
IL1RL1 (NP_001269337.1)	IL18R1 (NP_003846.1)	27%	45%	3e-15
IL18R1 (NP_003846.1)	IL18RAP (XP_024308965.1)	28%	47%	2e-50
SLC9A4 (NP_001011552.2)	SLC9A2 (NP_003039.2)	63%	78%	0.0
SULT1C3 (NP_001008743.1)	SULT1C2 (NP_789795.1)	52%	71%	6e-116
SULT1C2 (NP_789795.1)	SULT1C4 (NP_006579.2)	57%	70%	2e-127
IL1A (NP_000566.3)	IL1B (NP_000567.1)	25%	41%	3e-09
IL37 (XP_011509266.1)	IL36G (NP_062564.1)	41%	60%	8e-24
IL36G (NP_062564.1)	IL36A (NP_055255.1)	60%	76%	1e-61
IL36RN (NP_775262.1)	IL1F10 (NP_775184.1)	43%	59%	7e-37
IL1F10 (NP_775184.1)	IL1RN (XP_011509423.1)	42%	55%	5e-32
PTPN4 (NP_002821.1)	EPB41L5 (XP_006712716.1)	41%	64%	1e-78
CNTNAP5 (NP_001354427.1)	GYPC (NP_001243513.1)	31%	57%	8e-17
LYPD6B (NP_001303934.1)	LYPD6 (NP_001182614.1)	54%	62%	1e-39
ACVR1C (NP_001104503.1)	ACVR1 (NP_001104537.1)	61%	78%	3e-102
LY75 (NP_002340.2)	PLA2R1 (XP_011509122.1)	35%	51%	0.0
SCN1A (NP_001340878.1)	SCN9A (NP_002968.1)	76%	85%	0.0
SCN9A (NP_002968.1)	SCN7A (XP_011509917.1)	55%	72%	0.0
HOXD13 (XP_011509370.1)	HOXD12 (NP_067016.3)	61%	80%	9e-25
HOXD11 (NP_067015.2)	HOXD10 (NP_002139.2)	57%	80%	2e-32
HOXD10 (NP_002139.2)	HOXD9 (NP_055028.3)	71%	88%	6e-34
HOXD9 (NP_055028.3)	HOXD8 (NP_062458.1)	69%	80%	8e-26
HOXD3 (NP_008829.3)	HOXD1 (NP_078777.1)	38%	51%	5e-30
TTC30B (NP_689730.2)	TTC30A (NP_689488.3)	95%	97%	0.0
TTN (NP_003310.4)	CCDC141 (NP_775919.3)	36%	55%	2e-15
STAT1 (XP_016860272.1)	STAT4 (XP_011510007.1)	54%	72%	0.0
CASP10 (XP_006712859.1)	CASP8 (NP_001219.2)	47%	63%	3e-78
CD28 (NP_001230007.1)	CTLA4 (NP_005205.2)	37%	46%	6e-07
CTLA4 (NP_005205.2)	ICOS (NP_036224.1)	20%	39%	1e-06
CRYGD (NP_008822.2)	CRYGC (XP_011508964.1)	72%	83%	5e-97
CRYGC (XP_011508964.1)	CRYGB (NP_005201.2)	79%	90%	1e-107
CRYGB (NP_005201.2)	CRYGA (NP_055432.2)	74%	87%	2e-101
WNT6 (NP_006513.1)	WNT10A (XP_011510231.1)	41%	52%	2e-78
PTPRN (XP_016860101.1)	RESP18 (XP_024308649.1)	44%	54%	1e-20
RESP18 (XP_024308649.1)	DNPEP (NP_001306046.1)	25%	46%	4e-07
SPEG (XP_016858646.1)	SPEGNB (NP_001273740.1)	24%	40%	1e-16
C2orf83 (NP_064546.3)	SLC19A3 (NP_079519.1)	67%	79%	4e-14
SP140 (XP_011508819.1)	SP140L (XP_016860786.1)	91%	95%	0.0
SP140L (XP_016860786.1)	SP100 (NP_001193631.1)	70%	78%	2e-71
ALPP (NP_001623.3)	ALPG (NP_112603.2)	96%	97%	0.0
ALPG (NP_112603.2)	ALPI (NP_001622.2)	88%	92%	0.0
CHRND (NP_001243586.1)	CHRNG (NP_005190.4)	46%	61%	1e-141
OR6B2 (NP_001005853.1)	OR6B3 (XP_011508973.1)	95%	98%	0.0
CNTN6 (XP_016861660.1)	CNTN4 (NP_001337024.1)	62%	77%	0.0
IL17RE (XP_011531663.1)	IL17RC (NP_001190193.1)	26%	40%	8e-16
SLC6A11 (XP_011532335.1)	SLC6A1 (NP_001335181.1)	58%	74%	2e-73
SLC22A13 (NP_004247.2)	SLC22A14 (XP_011532547.1)	37%	59%	4e-115
SCN5A (XP_016862506.1)	SCN10A (XP_011532296.1)	64%	76%	0.0
SCN10A (XP_011532296.1)	SCN11A (NP_001336182.1)	54%	69%	0.0
MOBP (NP_001265251.1)	MYRIP (NP_001271352.1)	43%	63%	6e-21
ZNF619 (NP_001138554.1)	ZNF620 (XP_016861558.1)	53%	69%	3e-112
ZNF620 (XP_016861558.1)	ZNF621 (XP_011531912.1)	65%	74%	3e-94
ZBTB47 (NP_660149.2)	KLHL40 (NP_689606.2)	29%	47%	3e-12
ZNF662 (NP_001128128.1)	KRBOX1 (NP_001192201.1)	59%	73%	6e-26
ZNF445 (NP_001356383.1)	ZNF852 (NP_001274278.1)	40%	57%	2e-95
ZNF660 (NP_775929.2)	ZNF660-ZNF197 (NP_001338662.1)	56%	72%	4e-113
ZNF197 (NP_001310222.1)	ZNF35 (NP_003411.3)	42%	57%	3e-124
ZNF502 (NP_149987.2)	ZNF501 (NP_659481.2)	72%	82%	3e-139
XCR1 (XP_016861690.1)	CCR1 (NP_001286.1)	35%	57%	6e-61
CCR3 (XP_016861175.1)	CCR2 (NP_001116513.2)	53%	71%	7e-120
CCR2 (NP_001116513.2)	CCR5 (NP_000570.1)	79%	87%	1e-164
CCR5 (NP_000570.1)	CCRL2 (XP_011532511.1)	45%	64%	2e-86
RBM6 (XP_005264841.1)	RBM5 (NP_005769.1)	38%	53%	6e-60
HYAL1 (XP_011531971.1)	HYAL2 (NP_149348.2)	43%	59%	3e-115
IQCF3 (NP_001078948.1)	IQCF2 (NP_982248.1)	50%	65%	7e-37
IQCF5 (NP_001138531.1)	IQCF1 (NP_689610.2)	58%	72%	9e-60
ITIH1 (NP_002206.2)	ITIH3 (NP_002208.3)	55%	72%	0.0
OR5AC2 (NP_473447.1)	OR5H1 (NP_001005338.1)	62%	76%	1e-139
OR5H1 (NP_001005338.1)	OR5H14 (NP_001005514.1)	88%	94%	0.0
OR5H14 (NP_001005514.1)	OR5H15 (NP_001005515.1)	86%	92%	0.0
OR5H15 (NP_001005515.1)	OR5H6 (NP_001005479.2)	81%	88%	0.0
OR5H6 (NP_001005479.2)	OR5H2 (NP_001005482.1)	78%	86%	1e-176
OR5H2 (NP_001005482.1)	OR5K4 (NP_001005517.1)	55%	72%	6e-120
OR5K4 (NP_001005517.1)	OR5K3 (NP_001005516.1)	77%	86%	1e-167
OR5K3 (NP_001005516.1)	OR5K1 (NP_001004736.2)	74%	86%	1e-178
OR5K1 (NP_001004736.2)	OR5K2 (NP_001004737.1)	95%	97%	0.0
DPPA2 (XP_011510746.1)	DPPA4 (XP_024309390.1)	49%	61%	2e-70
NECTIN3 (XP_016861615.1)	CD96 (XP_006713532.1)	33%	47%	4e-11
CD200R1L (XP_011511065.1)	CD200R1 (NP_740750.1)	73%	80%	8e-126
LSAMP (NP_002329.2)	IGSF11 (NP_001340249.1)	23%	38%	7e-09
PARP15 (XP_011510777.1)	PARP14 (XP_011511231.1)	52%	68%	5e-53
MUC13 (NP_149038.3)	HEG1 (NP_065784.1)	22%	36%	1e-08
COL6A5 (NP_001265227.1)	COL6A6 (XP_016861202.1)	54%	71%	0.0
PRR23A (NP_001128131.1)	PRR23B (NP_001013672.1)	90%	92%	1e-154
PRR23B (NP_001013672.1)	PRR23C (NP_001128129.1)	86%	88%	5e-128
RBP2 (NP_004155.2)	RBP1 (NP_002890.2)	56%	68%	3e-51
PLSCR4 (NP_001121778.1)	PLSCR2 (XP_016862392.1)	48%	71%	2e-39
PLSCR2 (XP_016862392.1)	PLSCR1 (XP_005247595.1)	83%	91%	4e-122
PLSCR1 (XP_005247595.1)	PLSCR5 (NP_001308174.1)	64%	78%	5e-102
CPB1 (NP_001862.2)	CPA3 (NP_001861.2)	50%	71%	3e-164
TM4SF18 (NP_620141.1)	TM4SF1 (NP_055035.1)	47%	67%	2e-63
GPR171 (XP_005247459.1)	P2RY14 (XP_011511642.1)	37%	62%	6e-66
P2RY14 (XP_011511642.1)	GPR87 (NP_076404.3)	45%	66%	8e-102
GPR87 (NP_076404.3)	P2RY13 (XP_006713727.1)	41%	62%	9e-56
P2RY13 (XP_006713727.1)	P2RY12 (NP_073625.1)	50%	68%	1e-59
AADACL2 (NP_997248.2)	AADAC (XP_005247161.1)	51%	70%	4e-150
LXN (XP_016862365.1)	RARRES1 (XP_005247743.3)	31%	57%	6e-30
HTR3D (NP_872343.2)	HTR3C (NP_570126.2)	70%	76%	2e-104
HTR3C (NP_570126.2)	HTR3E (NP_001243542.1)	74%	83%	0.0
AHSG (NP_001341500.1)	FETUB (NP_001362516.1)	27%	48%	3e-24
FETUB (NP_001362516.1)	HRG (XP_005247472.1)	35%	49%	4e-21
HRG (XP_005247472.1)	KNG1 (NP_001095886.1)	27%	44%	8e-10
ATP13A5 (NP_940907.2)	ATP13A4 (NP_115655.2)	59%	75%	0.0
CPN2 (XP_005269337.1)	LRRC15 (NP_570843.2)	33%	47%	1e-58
LRRC15 (NP_570843.2)	GP5 (NP_004479.1)	36%	52%	1e-78
ZNF718 (XP_016863469.1)	LOC107986244 (XP_016864378.1)	70%	82%	6e-20
USP17L10 (NP_001243781.1)	USP17L11 (NP_001243783.1)	97%	98%	0.0
USP17L11 (NP_001243783.1)	USP17L12 (NP_001243782.1)	99%	99%	0.0
USP17L12 (NP_001243782.1)	USP17L13 (NP_001243784.1)	98%	98%	0.0
USP17L13 (NP_001243784.1)	USP17L15 (NP_001243823.1)	98%	98%	0.0
USP17L15 (NP_001243823.1)	USP17L17 (NP_001243786.1)	99%	99%	0.0
USP17L17 (NP_001243786.1)	USP17L18 (NP_001243788.1)	99%	99%	0.0
USP17L18 (NP_001243788.1)	USP17L19 (NP_001243789.1)	99%	99%	0.0
USP17L19 (NP_001243789.1)	USP17L20 (NP_001243790.1)	99%	99%	0.0
USP17L20 (NP_001243790.1)	USP17L21 (NP_001243791.1)	99%	99%	0.0
USP17L21 (NP_001243791.1)	USP17L22 (NP_001243792.1)	99%	99%	0.0
USP17L22 (NP_001243792.1)	USP17L24 (NP_001229256.1)	99%	99%	0.0
USP17L24 (NP_001229256.1)	USP17L25 (NP_001229255.1)	100%	100%	0.0
USP17L25 (NP_001229255.1)	USP17L26 (NP_001229257.1)	100%	100%	0.0
USP17L26 (NP_001229257.1)	USP17L5 (NP_001229258.1)	99%	99%	0.0
USP17L5 (NP_001229258.1)	USP17L27 (NP_001229259.1)	99%	99%	0.0
USP17L27 (NP_001229259.1)	USP17L28 (NP_001229260.1)	100%	100%	0.0
USP17L28 (NP_001229260.1)	USP17L29 (NP_001229261.1)	100%	100%	0.0
USP17L29 (NP_001229261.1)	USP17L30 (NP_001243796.1)	100%	100%	0.0
BST1 (XP_011512183.1)	CD38 (NP_001766.2)	37%	55%	8e-51
FGFBP1 (NP_005121.1)	FGFBP2 (NP_114156.1)	24%	43%	5e-16
GABRG1 (NP_775807.2)	GABRA2 (NP_001364083.1)	45%	60%	9e-104
TXK (XP_016864070.1)	TEC (XP_024309961.1)	61%	76%	0.0
