Gene 1	Gene 2	id %	som %	E-value
si:ch211-217k17.11 (XP_001339274.1)	si:ch211-217k17.10 (NP_001122276.1)	46%	60%	3e-23
acy3.2 (XP_021326628.1)	acy3.1 (NP_001138833.1)	88%	93%	0.0
LOC558721 (XP_003197778.1)	LOC108179086 (XP_687069.2)	82%	88%	2e-100
LOC108179086 (XP_687069.2)	LOC100535525 (XP_003197780.3)	51%	65%	3e-47
LOC100535525 (XP_003197780.3)	wu:fc75a09 (XP_001336849.2)	43%	61%	1e-37
LOC110439958 (XP_021333698.1)	LOC103908636 (XP_021333044.1)	98%	99%	0.0
si:ch211-202h22.9 (NP_001139042.1)	si:ch211-202h22.8 (NP_001278864.1)	47%	65%	2e-44
si:ch211-202h22.8 (NP_001278864.1)	si:ch211-202h22.7 (XP_021333109.1)	52%	62%	3e-47
zgc:136791 (XP_005160238.1)	LOC559196 (XP_021333114.1)	87%	90%	0.0
LOC559196 (XP_021333114.1)	si:ch211-196h16.5 (XP_690098.5)	83%	87%	0.0
si:ch211-286b5.6 (XP_017212145.1)	zgc:172106 (NP_001108035.2)	43%	58%	3e-54
zgc:172106 (NP_001108035.2)	si:ch211-286b5.8 (XP_017212152.1)	69%	79%	3e-155
si:ch211-286b5.8 (XP_017212152.1)	LOC101883549 (XP_021333705.1)	74%	93%	8e-11
si:ch211-286b5.9 (XP_017211393.1)	LOC101884507 (XP_021333709.1)	35%	50%	2e-41
LOC101884507 (XP_021333709.1)	LOC103909416 (XP_021333716.1)	76%	82%	0.0
LOC103909416 (XP_021333716.1)	LOC110439959 (XP_021333728.1)	70%	76%	4e-85
LOC110439959 (XP_021333728.1)	LOC103909419 (XP_009293431.2)	90%	93%	8e-137
LOC103909419 (XP_009293431.2)	LOC103909420 (XP_017211396.1)	95%	95%	4e-153
LOC103909420 (XP_017211396.1)	LOC108186185 (XP_021333194.1)	35%	46%	3e-07
LOC110437794 (XP_017212200.1)	adgre15 (XP_021333207.1)	97%	98%	0.0
adgre15 (XP_021333207.1)	LOC101883942 (XP_021333735.1)	92%	96%	1e-170
LOC101883942 (XP_021333735.1)	LOC103909395 (XP_021333738.1)	92%	96%	3e-175
LOC110439895 (XP_021333218.1)	LOC103909390 (XP_021333220.1)	97%	97%	5e-78
LOC110439897 (XP_021333226.1)	adgre10 (XP_021333746.1)	84%	92%	1e-62
si:ch73-343l4.8 (XP_002660625.1)	LOC100537240 (XP_003197805.3)	58%	67%	6e-47
LOC100537240 (XP_003197805.3)	LOC100537194 (XP_017211404.1)	84%	91%	0.0
LOC100537194 (XP_017211404.1)	LOC100537143 (XP_009293464.2)	97%	99%	0.0
LOC100537143 (XP_009293464.2)	si:ch73-343l4.2 (XP_002660626.3)	67%	74%	2e-141
c3a.4 (XP_002660623.3)	c3a.6 (NP_001008582.4)	56%	73%	0.0
c3a.6 (NP_001008582.4)	LOC100331492 (XP_009293521.1)	63%	78%	0.0
LOC100331492 (XP_009293521.1)	c3a.1 (NP_571317.1)	60%	76%	0.0
c3a.2 (XP_021333981.1)	c3a.3 (XP_021331182.1)	89%	93%	0.0
LOC100334305 (XP_017212268.1)	zgc:171452 (NP_001103308.1)	63%	75%	7e-115
zgc:171452 (NP_001103308.1)	LOC100334176 (XP_003197806.2)	46%	68%	4e-53
LOC101886664 (XP_009297123.1)	LOC571092 (XP_021333248.1)	68%	79%	9e-130
LOC100538177 (XP_021333256.1)	wu:fa03e10 (XP_001921654.1)	78%	93%	6e-29
LOC100149227 (XP_003197812.2)	LOC110439968 (XP_021333777.1)	36%	62%	3e-41
LOC110439968 (XP_021333777.1)	LOC100535040 (XP_021333288.1)	55%	74%	6e-78
LOC100535040 (XP_021333288.1)	LOC110439970 (XP_021333784.1)	63%	74%	5e-87
LOC110439970 (XP_021333784.1)	LOC110439974 (XP_021333792.1)	67%	74%	5e-87
si:ch211-1f22.3 (XP_021333796.1)	LOC100151328 (XP_017211407.2)	53%	63%	2e-91
LOC100151328 (XP_017211407.2)	LOC110439975 (XP_021333801.1)	83%	90%	8e-98
LOC110439975 (XP_021333801.1)	LOC100149932 (XP_021333805.1)	58%	71%	6e-50
LOC100149932 (XP_021333805.1)	LOC100149229 (XP_021333810.1)	57%	65%	7e-115
LOC100149229 (XP_021333810.1)	LOC110439980 (XP_021333812.1)	59%	66%	5e-124
LOC110439980 (XP_021333812.1)	LOC100150177 (XP_017212278.1)	69%	76%	0.0
LOC100150177 (XP_017212278.1)	LOC100148735 (XP_001919202.4)	68%	76%	0.0
LOC100148735 (XP_001919202.4)	LOC108186460 (XP_017211410.2)	82%	86%	2e-176
LOC108186460 (XP_017211410.2)	LOC100150424 (XP_017211411.2)	85%	90%	0.0
LOC100150424 (XP_017211411.2)	LOC100006104 (XP_021333821.1)	82%	86%	0.0
LOC100006104 (XP_021333821.1)	LOC100150661 (XP_021333822.1)	79%	84%	8e-145
LOC100150661 (XP_021333822.1)	LOC110439903 (XP_021333302.1)	82%	88%	7e-157
LOC110439903 (XP_021333302.1)	si:ch211-1f22.12 (XP_021333311.1)	87%	89%	1e-43
si:ch211-1f22.12 (XP_021333311.1)	LOC103909460 (XP_009293728.2)	84%	91%	3e-39
LOC103909460 (XP_009293728.2)	LOC110439985 (XP_021333823.1)	83%	88%	5e-146
LOC110439985 (XP_021333823.1)	LOC110439986 (XP_021333824.1)	54%	67%	4e-46
LOC110439986 (XP_021333824.1)	LOC110439914 (XP_021333328.1)	45%	63%	4e-13
LOC110439914 (XP_021333328.1)	LOC110439987 (XP_021333826.1)	47%	64%	2e-16
LOC110439987 (XP_021333826.1)	si:ch211-1f22.16 (XP_021333326.1)	67%	78%	9e-115
si:ch211-1f22.16 (XP_021333326.1)	LOC103909442 (XP_021333829.1)	60%	74%	2e-52
LOC103909442 (XP_021333829.1)	LOC110439988 (XP_021333834.1)	69%	80%	4e-104
LOC103909439 (XP_009293586.2)	LOC101882982 (XP_009293582.1)	84%	90%	0.0
LOC101882982 (XP_009293582.1)	LOC108190563 (XP_021333352.1)	83%	88%	4e-180
LOC108190563 (XP_021333352.1)	LOC108186582 (XP_021333356.1)	42%	52%	1e-07
LOC108186582 (XP_021333356.1)	LOC100149247 (XP_017212300.1)	94%	97%	1e-45
LOC100149247 (XP_017212300.1)	si:dkey-27j5.8 (XP_021333359.1)	88%	92%	0.0
LOC100006649 (XP_021333396.1)	LOC100147925 (XP_021333837.1)	65%	73%	9e-160
LOC100147925 (XP_021333837.1)	LOC103909461 (XP_021333840.1)	54%	63%	6e-117
LOC103909461 (XP_021333840.1)	zmp:0000000971 (XP_017211417.2)	72%	82%	0.0
zmp:0000000971 (XP_017211417.2)	LOC100006752 (XP_021333405.1)	77%	84%	0.0
LOC100006752 (XP_021333405.1)	zgc:171470 (NP_001104655.1)	67%	76%	2e-140
zgc:171470 (NP_001104655.1)	LOC103908692 (XP_021333409.1)	80%	89%	1e-92
LOC101883531 (XP_021333841.1)	LOC110439716 (XP_021331569.1)	69%	79%	1e-155
LOC110439716 (XP_021331569.1)	LOC110439989 (XP_021333843.1)	61%	73%	3e-71
LOC110439930 (XP_021333415.1)	LOC100536927 (XP_021333846.1)	39%	57%	8e-12
LOC100536927 (XP_021333846.1)	LOC103909463 (XP_021331570.1)	41%	58%	7e-13
LOC103909463 (XP_021331570.1)	LOC100333168 (XP_021333849.1)	38%	51%	1e-09
zmp:0000001289 (XP_021333417.1)	LOC101883054 (XP_005171086.2)	70%	77%	5e-107
LOC101883054 (XP_005171086.2)	LOC101883960 (XP_021333851.1)	51%	65%	9e-68
LOC101883960 (XP_021333851.1)	sc:d0284 (XP_021333436.1)	76%	86%	3e-84
LOC110439990 (XP_021333852.1)	LOC101885706 (XP_005160265.1)	31%	52%	1e-15
LOC101885706 (XP_005160265.1)	LOC110439991 (XP_021333856.1)	39%	55%	7e-14
LOC110439991 (XP_021333856.1)	LOC101883506 (XP_021333860.1)	28%	40%	5e-07
LOC101883506 (XP_021333860.1)	LOC101882159 (XP_021333452.1)	95%	97%	3e-81
LOC101882159 (XP_021333452.1)	LOC101882213 (XP_017211425.2)	46%	60%	2e-55
LOC101882213 (XP_017211425.2)	LOC110439992 (XP_021333862.1)	60%	75%	4e-93
LOC110439992 (XP_021333862.1)	LOC108179133 (XP_017211426.1)	90%	93%	2e-155
LOC101882350 (XP_017212561.1)	LOC101883825 (XP_021331571.1)	87%	91%	1e-146
LOC101883825 (XP_021331571.1)	LOC103909484 (XP_021333863.1)	28%	43%	2e-08
LOC103909484 (XP_021333863.1)	LOC101883999 (XP_017212335.1)	27%	48%	3e-19
LOC101883999 (XP_017212335.1)	LOC100537163 (XP_021333473.1)	24%	42%	3e-10
si:ch211-114l13.4 (XP_009293986.1)	si:ch211-114l13.13 (XP_017210911.1)	85%	89%	0.0
si:ch211-15j1.5 (XP_009293975.2)	LOC103908614 (XP_017212340.1)	82%	88%	0.0
LOC108184853 (XP_021331559.1)	si:ch211-15j1.1 (XP_021333536.1)	95%	98%	3e-153
si:ch211-15j1.1 (XP_021333536.1)	si:dkey-222h21.11 (XP_009294248.2)	91%	94%	0.0
si:dkey-222h21.10 (XP_017212337.1)	si:dkey-222h21.9 (XP_009293997.1)	84%	90%	0.0
si:dkey-222h21.9 (XP_009293997.1)	LOC108186899 (XP_017211429.1)	89%	93%	6e-160
si:dkey-222h21.8 (XP_021333592.1)	si:dkey-222h21.7 (XP_021333583.1)	86%	90%	0.0
si:dkey-222h21.7 (XP_021333583.1)	si:dkey-222h21.5 (XP_021333875.1)	88%	92%	0.0
si:dkey-222h21.5 (XP_021333875.1)	si:dkey-222h21.4 (XP_021333568.1)	88%	93%	0.0
si:dkey-222h21.4 (XP_021333568.1)	si:dkey-222h21.3 (XP_001335224.6)	91%	94%	0.0
si:dkey-222h21.2 (XP_009294061.1)	si:dkey-222h21.1 (XP_009294058.1)	86%	92%	0.0
si:dkey-222h21.1 (XP_009294058.1)	si:ch73-236c18.1 (XP_021333877.1)	86%	87%	2e-149
si:ch73-59p9.2 (XP_021333616.1)	si:ch73-236c18.3 (XP_017212376.1)	67%	77%	0.0
zgc:194906 (XP_009293826.1)	si:ch73-236c18.5 (XP_017212742.1)	87%	93%	0.0
si:ch73-236c18.5 (XP_017212742.1)	LOC100334101 (XP_009294104.1)	87%	92%	0.0
LOC100334101 (XP_009294104.1)	si:ch73-236c18.7 (XP_021331547.1)	82%	87%	0.0
adgre5b.3 (XP_021331548.1)	adgre5b.2 (XP_005160278.1)	84%	89%	0.0
si:ch73-221f6.1 (XP_009294177.1)	zgc:174928 (NP_001107099.2)	76%	84%	0.0
zgc:174928 (NP_001107099.2)	LOC108190743 (XP_017212654.1)	74%	82%	0.0
LOC108190743 (XP_017212654.1)	zgc:174890 (NP_001116317.1)	88%	91%	0.0
zgc:174890 (NP_001116317.1)	LOC103909533 (XP_017212656.1)	79%	87%	0.0
si:ch211-236p5.3 (XP_005171100.1)	LOC101884874 (XP_021331552.1)	57%	71%	8e-76
LOC566119 (NP_001315003.1)	LOC100334800 (NP_001315010.1)	74%	88%	1e-139
LOC100334800 (NP_001315010.1)	zgc:171687 (XP_017212718.2)	64%	79%	1e-112
LOC100007488 (NP_001315007.1)	si:zfos-2330d3.3 (XP_017212708.1)	86%	93%	7e-147
zgc:173915 (XP_009294381.1)	mfap4 (NP_001315274.1)	91%	95%	2e-166
wu:fj11g02 (XP_002660664.2)	LOC108179162 (XP_017211437.2)	68%	82%	2e-130
LOC108179162 (XP_017211437.2)	si:zfos-2330d3.6 (XP_009294456.1)	78%	88%	3e-146
si:zfos-2330d3.6 (XP_009294456.1)	LOC555374 (XP_009294451.1)	88%	94%	9e-167
LOC555374 (XP_009294451.1)	si:zfos-2330d3.8 (XP_003197840.1)	81%	88%	5e-152
si:zfos-2330d3.8 (XP_003197840.1)	si:ch1073-110a20.2 (XP_009294426.1)	79%	86%	3e-146
si:ch1073-110a20.2 (XP_009294426.1)	si:ch1073-110a20.3 (NP_001314993.1)	79%	88%	1e-149
si:ch1073-110a20.3 (NP_001314993.1)	si:ch1073-110a20.1 (XP_003197842.1)	78%	86%	6e-144
mslnb (XP_017212575.1)	LOC100330916 (XP_021333889.1)	38%	58%	2e-144
LOC101884641 (XP_005171130.1)	zmp:0000000625 (XP_003197851.4)	98%	98%	9e-29
zgc:113518 (XP_021335810.1)	znf1014 (XP_021334143.1)	52%	65%	0.0
znf1014 (XP_021334143.1)	LOC100332787 (XP_002660733.3)	44%	60%	2e-87
LOC100332787 (XP_002660733.3)	LOC101886047 (XP_005171139.1)	41%	58%	1e-86
si:ch73-40a17.4 (XP_017206631.1)	znf1008 (XP_005171144.1)	73%	81%	0.0
znf1008 (XP_005171144.1)	LOC101886546 (XP_005171142.1)	66%	73%	3e-179
LOC101886546 (XP_005171142.1)	zgc:113452 (XP_021336734.1)	35%	51%	1e-59
zgc:113452 (XP_021336734.1)	LOC794642 (XP_001334648.3)	67%	79%	9e-155
LOC794642 (XP_001334648.3)	zgc:174263 (NP_001107786.1)	57%	68%	2e-116
foxf2a (NP_001077284.1)	foxq1a (NP_001230273.1)	61%	77%	4e-37
LOC101885450 (XP_005163710.1)	si:ch211-241e1.5 (NP_001119897.1)	35%	47%	7e-43
LOC100538279 (XP_021322317.1)	LOC100535070 (XP_009294861.1)	99%	100%	0.0
aqp1a.1 (NP_996942.1)	aqp1a.2 (XP_021336241.1)	66%	77%	4e-124
cyp8b2 (NP_001103758.1)	cyp8b3 (NP_001004587.2)	94%	96%	0.0
rgs13 (NP_001082981.1)	rgs1 (XP_021324130.1)	47%	70%	4e-46
rgs1 (XP_021324130.1)	rgs18 (NP_001070775.1)	47%	64%	3e-44
si:ch211-71m22.1 (XP_009295714.1)	si:ch211-71m22.5 (XP_693207.5)	66%	79%	7e-134
si:ch211-71m22.5 (XP_693207.5)	si:ch211-71m22.3 (XP_009295697.1)	41%	57%	5e-51
st6galnac5a (XP_692047.5)	st6galnac3 (NP_997790.1)	46%	66%	3e-88
pimr49 (XP_021333975.1)	pimr140 (XP_005163403.1)	43%	60%	1e-54
mknk2a (XP_021334692.1)	csnk1g2a (XP_005171263.1)	26%	49%	2e-08
LOC561346 (XP_021324181.1)	LOC100007738 (XP_005171275.2)	100%	100%	4e-154
LOC100007738 (XP_005171275.2)	LOC101886565 (XP_017207120.2)	53%	73%	5e-85
LOC101886565 (XP_017207120.2)	LOC561283 (XP_009296812.1)	89%	89%	0.0
LOC561283 (XP_009296812.1)	LOC561147 (XP_021324188.1)	96%	96%	0.0
LOC561147 (XP_021324188.1)	si:dkey-58b18.4 (XP_017207130.1)	100%	100%	3e-151
si:dkey-58b18.4 (XP_017207130.1)	LOC103910054 (XP_021322891.1)	49%	64%	7e-81
LOC103910054 (XP_021322891.1)	si:dkey-58b18.7 (XP_009296804.1)	49%	64%	7e-81
si:dkey-58b18.7 (XP_009296804.1)	LOC100007781 (XP_009296815.1)	46%	63%	7e-77
LOC100007781 (XP_009296815.1)	LOC100007785 (XP_021322889.1)	94%	94%	0.0
vmhc (NP_001106204.1)	vmhcl (NP_001070932.2)	90%	95%	0.0
zgc:154006 (NP_001073473.1)	si:dkey-208k22.6 (XP_691534.1)	28%	47%	5e-10
LOC101882631 (XP_005166671.2)	LOC101882566 (XP_021337126.1)	62%	74%	6e-79
cdh10a (NP_001034722.1)	cdh12a (XP_009296852.1)	57%	77%	0.0
cdh12a (XP_009296852.1)	cdh18a (NP_001070203.1)	46%	68%	6e-16
pi15b (XP_684600.2)	crispld1b (XP_009296842.1)	64%	76%	1e-100
neto1 (XP_017214681.1)	LOC110437736 (XP_017214683.1)	100%	100%	3e-09
si:dkey-32m20.1 (NP_001093549.1)	cacnb2b (NP_001075217.2)	97%	100%	6e-42
si:dkeyp-73d8.6 (NP_001124116.1)	si:dkeyp-73d8.9 (NP_001124144.1)	81%	87%	1e-69
lamc1 (NP_775384.1)	lamc2 (XP_003197932.2)	31%	46%	5e-176
si:dkey-193b15.5 (NP_001122200.1)	zgc:153654 (NP_001070637.2)	82%	91%	0.0
hbl4 (NP_001108197.1)	hbl3 (XP_005171315.1)	48%	70%	1e-59
hbl3 (XP_005171315.1)	hbl2 (XP_021323412.1)	63%	77%	6e-98
hbl2 (XP_021323412.1)	hbl1 (XP_001341915.2)	85%	91%	2e-128
LOC103910098 (XP_009296972.1)	cbln10 (NP_001020676.1)	51%	62%	2e-80
cbln10 (NP_001020676.1)	cbln14 (XP_005171398.1)	41%	58%	2e-53
cbln14 (XP_005171398.1)	cbln9 (NP_001025310.1)	58%	71%	5e-87
apol1 (XP_005171358.1)	si:rp71-1g18.13 (XP_021336261.1)	44%	66%	4e-79
si:ch211-14a17.7 (NP_001007181.1)	si:ch211-14a17.6 (NP_001007180.2)	50%	68%	4e-86
psmb11a (NP_001007179.1)	psmb5 (NP_571226.1)	33%	52%	4e-33
ccl34a.3 (NP_001108541.1)	ccl34a.4 (NP_001124127.1)	75%	83%	1e-57
ftr02 (XP_003197969.1)	ftr03 (XP_002660930.2)	70%	80%	0.0
ftr03 (XP_002660930.2)	LOC570251 (XP_698802.4)	77%	84%	0.0
LOC570251 (XP_698802.4)	ftr06 (XP_017207573.1)	91%	95%	0.0
LOC570185 (XP_698724.1)	LOC570163 (XP_003197979.1)	78%	87%	0.0
LOC570163 (XP_003197979.1)	LOC570079 (XP_009297009.1)	75%	85%	0.0
ftr13 (XP_700123.5)	ftr14 (NP_001038735.2)	83%	89%	0.0
ftr14 (NP_001038735.2)	ftr15 (XP_017207658.1)	84%	90%	0.0
LOC110437890 (XP_021322001.1)	itgb1b (NP_001030159.1)	100%	100%	0.0
itgb1b.1 (XP_005171447.1)	itgb1b.2 (NP_998093.2)	80%	87%	0.0
LOC101884586 (XP_005171463.3)	LOC103910107 (XP_021323579.1)	49%	63%	0.0
nlrb5 (XP_017207673.1)	si:ch211-195h23.3 (XP_021334244.1)	71%	80%	2e-174
kirrelb (XP_009297041.1)	cadm3 (XP_005171448.1)	29%	42%	8e-21
LOC101885431 (XP_009297099.1)	LOC101885494 (XP_005171475.1)	34%	53%	1e-39
si:ch211-66k16.27 (XP_021323682.1)	si:ch211-66k16.2 (XP_021323685.1)	38%	58%	6e-15
si:ch211-66k16.2 (XP_021323685.1)	si:ch211-66k16.28 (XP_009297083.1)	57%	68%	0.0
fndc7a (XP_021323692.1)	fndc7rs1 (XP_009297086.3)	26%	41%	1e-40
ftr19 (XP_021322015.1)	LOC108179111 (XP_017207753.1)	79%	85%	0.0
LOC108179111 (XP_017207753.1)	LOC101882488 (XP_003197990.1)	93%	96%	0.0
LOC101882488 (XP_003197990.1)	ftr24 (XP_021323723.1)	76%	85%	0.0
ftr24 (XP_021323723.1)	LOC108179227 (XP_017206486.2)	60%	73%	2e-136
LOC108179227 (XP_017206486.2)	ftr22 (XP_688915.1)	54%	71%	3e-132
LOC101882560 (XP_009297117.1)	ftr26 (XP_021323728.1)	67%	79%	0.0
ftr26 (XP_021323728.1)	ftr27 (XP_689276.1)	64%	80%	0.0
LOC793909 (XP_005163624.1)	lpar5a (NP_955900.1)	31%	52%	3e-38
LOC110437927 (XP_021322177.1)	LOC100536834 (XP_021322025.1)	36%	62%	2e-07
LOC100536834 (XP_021322025.1)	LOC108179228 (XP_017206500.1)	54%	65%	2e-108
LOC108179228 (XP_017206500.1)	LOC101885237 (XP_009297133.1)	52%	66%	1e-102
LOC101885237 (XP_009297133.1)	si:dkeyp-94g1.1 (XP_021337075.1)	51%	65%	1e-91
LOC110437901 (XP_021322049.1)	LOC101883813 (XP_005163627.1)	45%	64%	1e-65
xcr1b.3 (XP_002667428.3)	xcr1b.2 (XP_005171500.1)	33%	53%	3e-45
xcr1b.2 (XP_005171500.1)	xcr1b.1 (XP_021323805.1)	32%	51%	5e-39
ftr87 (XP_003198007.2)	ftr67 (NP_001034808.2)	49%	66%	3e-118
si:ch73-52e5.2 (NP_001116101.1)	si:ch73-52e5.1 (NP_001116176.1)	66%	78%	5e-94
pigrl4.2 (NP_001293038.1)	pigrl3.9 (XP_021322075.1)	56%	67%	9e-90
pigrl3.9 (XP_021322075.1)	LOC100332092 (XP_021322078.1)	80%	86%	2e-137
LOC100332092 (XP_021322078.1)	si:ch211-215e19.3 (XP_002660995.5)	84%	88%	1e-139
si:ch211-215e19.3 (XP_002660995.5)	pigrl3.5 (NP_001293027.1)	76%	83%	3e-127
pigrl3.5 (NP_001293027.1)	LOC100331810 (XP_002660992.3)	72%	80%	2e-123
LOC100331810 (XP_002660992.3)	si:dkeyp-104b3.1 (XP_021323832.1)	59%	71%	4e-52
pigrl2.6 (XP_021323827.1)	LOC100000863 (XP_021323835.1)	47%	61%	1e-31
LOC100000863 (XP_021323835.1)	pigrl2.4 (XP_021323836.1)	78%	86%	3e-124
pigrl2.4 (XP_021323836.1)	pigrl2.3 (NP_001077347.1)	68%	82%	2e-106
pigrl2.3 (NP_001077347.1)	LOC100151468 (XP_001921758.3)	62%	77%	5e-93
LOC100151468 (XP_001921758.3)	LOC100148655 (XP_021322082.1)	51%	64%	4e-65
LOC100148655 (XP_021322082.1)	si:ch211-9d9.7 (XP_021322083.1)	57%	67%	1e-71
