Classes;Orders;Species;0A;0B;1A;1B;2A;2B;3A;3B;4A;4B;5A;5B;6A;6B;7A;7B;8A;8B;9A;9B;10A;10B;11A;11B;12A;12B;13A;13B;14A;14B;15A;15B;16A;16B;17A;17B;18A;18B;19A;19B;20A;20B;21A;21B;22A;22B;23A;23B;24A;24B;25A;25B;26A;26B;27A;27B;28A;28B;29A;29B;30A;30B;31A;31B;32A;32B;33A;33B;34A;34B;35A;35B;36A;36B;37A;37B;38A;38B;39A;39B;40A;40B;41A;41B;42A;42B;43A;43B;44A;44B;45A;45B;46A;46B;47A;47B;48A;48B;49A;49B;50A;50B;51A;51B;52A;52B;53A;53B;54A;54B;55A;55B;56A;56B;57A;57B;58A;58B;59A;59B;60A;60B;61A;61B;62A;62B;63A;63B;64A;64B;65A;65B;66A;66B;67A;67B;68A;68B;69A;69B;70A;70B;71A;71B;72A;72B;73A;73B;74A;74B;75A;75B;76A;76B;77A;77B;78A;78B;79A;79B;80A;80B;81A;81B;82A;82B;83A;83B;84A;84B;85A;85B;86A;86B;87A;87B;88A;88B;89A;89B;90A;90B
Mammalia;Artiodactyla;Catagonus_wagneri;ENSCWAP00000014270;ENSCWAP00000014218;ENSCWAP00000005148;;ENSCWAP00000020816;ENSCWAP00000020708;ENSCWAP00000003611;ENSCWAP00000003601;;ENSCWAP00000019901;ENSCWAP00000021708;ENSCWAP00000021798;ENSCWAP00000021765;ENSCWAP00000021871;ENSCWAP00000005769;ENSCWAP00000005628;;;ENSCWAP00000006457;;ENSCWAP00000024052;ENSCWAP00000023367;ENSCWAP00000015532;ENSCWAP00000015704;ENSCWAP00000000048;ENSCWAP00000005227;ENSCWAP00000006243;ENSCWAP00000006192;;ENSCWAP00000011499;ENSCWAP00000016397;ENSCWAP00000016331;ENSCWAP00000010240;ENSCWAP00000025278;;ENSCWAP00000011073;ENSCWAP00000003700;ENSCWAP00000003673;ENSCWAP00000016215;ENSCWAP00000016393;ENSCWAP00000025229;ENSCWAP00000014923;ENSCWAP00000011500;ENSCWAP00000011459;ENSCWAP00000015219;ENSCWAP00000015339;;ENSCWAP00000026087;;ENSCWAP00000018501;ENSCWAP00000029066;ENSCWAP00000029006;ENSCWAP00000000939;ENSCWAP00000000956;ENSCWAP00000009361;ENSCWAP00000010728;ENSCWAP00000003819;ENSCWAP00000010960;ENSCWAP00000026339;ENSCWAP00000026217;ENSCWAP00000013488;;ENSCWAP00000005755;ENSCWAP00000005685;ENSCWAP00000016111;ENSCWAP00000016153;ENSCWAP00000005946;ENSCWAP00000005933;ENSCWAP00000016637;ENSCWAP00000016664;ENSCWAP00000006096;ENSCWAP00000006167;;;ENSCWAP00000025451;ENSCWAP00000025365;;;;;ENSCWAP00000002788;ENSCWAP00000002818;;;ENSCWAP00000009502;ENSCWAP00000027846;;ENSCWAP00000010469;;;ENSCWAP00000012620;;ENSCWAP00000014716;ENSCWAP00000014758;ENSCWAP00000017012;ENSCWAP00000017060;ENSCWAP00000015191;ENSCWAP00000015031;ENSCWAP00000007539;ENSCWAP00000007491;;;ENSCWAP00000016685;ENSCWAP00000021932;ENSCWAP00000028529;ENSCWAP00000028784;;;;;ENSCWAP00000028208;;;ENSCWAP00000013197;;;;ENSCWAP00000017726;;;;;;;;;;;ENSCWAP00000027428;;;;;ENSCWAP00000022509;;ENSCWAP00000020461;;;ENSCWAP00000010047;ENSCWAP00000010274;ENSCWAP00000007309;ENSCWAP00000008906;;;;ENSCWAP00000005643;ENSCWAP00000008046;ENSCWAP00000008172;ENSCWAP00000013560;;;ENSCWAP00000021153;;ENSCWAP00000006516;ENSCWAP00000004568;ENSCWAP00000004718;;;ENSCWAP00000017670;;;ENSCWAP00000015610;;ENSCWAP00000006756;;;;ENSCWAP00000023961;;ENSCWAP00000000911;;;;;;;;;;;;
Mammalia;Artiodactyla;Delphinapterus_leucas;ENSDLEP00000030326;ENSDLEP00000030328;ENSDLEP00000017563;;ENSDLEP00000027042;ENSDLEP00000027051;ENSDLEP00000013643;ENSDLEP00000013665;;ENSDLEP00000015167;;ENSDLEP00000017685;;ENSDLEP00000017708;ENSDLEP00000024554;ENSDLEP00000024513;;ENSDLEP00000016203;ENSDLEP00000016207;;ENSDLEP00000014642;ENSDLEP00000014858;ENSDLEP00000011083;ENSDLEP00000011023;;ENSDLEP00000012369;ENSDLEP00000020728;;;ENSDLEP00000028146;ENSDLEP00000000739;ENSDLEP00000000766;ENSDLEP00000002484;;ENSDLEP00000005643;ENSDLEP00000017924;ENSDLEP00000018707;ENSDLEP00000018764;ENSDLEP00000014066;ENSDLEP00000014145;ENSDLEP00000029775;ENSDLEP00000029766;ENSDLEP00000011721;ENSDLEP00000011667;;ENSDLEP00000006038;;;;ENSDLEP00000021716;ENSDLEP00000017074;ENSDLEP00000016829;ENSDLEP00000014824;ENSDLEP00000014733;;;;;ENSDLEP00000000437;ENSDLEP00000000394;ENSDLEP00000003496;ENSDLEP00000003475;ENSDLEP00000026632;ENSDLEP00000026561;ENSDLEP00000001095;;ENSDLEP00000003521;;;ENSDLEP00000015075;ENSDLEP00000009420;ENSDLEP00000009417;;;ENSDLEP00000007546;ENSDLEP00000007610;;;;;ENSDLEP00000025783;ENSDLEP00000025798;;;;;;;;;;ENSDLEP00000001850;;ENSDLEP00000018266;ENSDLEP00000020352;ENSDLEP00000020364;ENSDLEP00000027499;ENSDLEP00000027569;ENSDLEP00000011376;ENSDLEP00000025578;;;ENSDLEP00000000910;;ENSDLEP00000029384;ENSDLEP00000014511;;;;;;;;ENSDLEP00000022765;;;;ENSDLEP00000008913;;;;;;;;;;;ENSDLEP00000026589;;;;;ENSDLEP00000025717;;ENSDLEP00000021543;;;ENSDLEP00000022677;ENSDLEP00000022739;;ENSDLEP00000008467;;;;;ENSDLEP00000021923;ENSDLEP00000021977;ENSDLEP00000003490;;;ENSDLEP00000010856;ENSDLEP00000024054;;ENSDLEP00000011231;ENSDLEP00000011032;;;;ENSDLEP00000001316;;ENSDLEP00000011007;;ENSDLEP00000000396;;;;;;;;;;;;;;;;;;
Mammalia;Artiodactyla;Moschus_moschiferus;ENSMMSP00000005814;ENSMMSP00000015963;ENSMMSP00000009640;;ENSMMSP00000015956;ENSMMSP00000015896;ENSMMSP00000001552;ENSMMSP00000001568;;ENSMMSP00000025583;ENSMMSP00000023792;ENSMMSP00000023772;ENSMMSP00000030368;ENSMMSP00000030325;ENSMMSP00000000449;ENSMMSP00000000410;;;ENSMMSP00000022069;;ENSMMSP00000010482;ENSMMSP00000009661;ENSMMSP00000029647;ENSMMSP00000029539;ENSMMSP00000001259;ENSMMSP00000001355;ENSMMSP00000022438;ENSMMSP00000022399;;ENSMMSP00000007023;ENSMMSP00000011616;ENSMMSP00000011649;ENSMMSP00000016317;ENSMMSP00000016332;ENSMMSP00000020748;ENSMMSP00000020764;ENSMMSP00000003375;ENSMMSP00000003459;ENSMMSP00000008095;ENSMMSP00000008069;ENSMMSP00000018958;ENSMMSP00000018786;ENSMMSP00000008174;ENSMMSP00000008196;;ENSMMSP00000024537;;;;ENSMMSP00000029287;ENSMMSP00000030110;ENSMMSP00000029951;ENSMMSP00000023075;ENSMMSP00000023171;ENSMMSP00000001385;ENSMMSP00000003031;ENSMMSP00000001019;ENSMMSP00000001041;ENSMMSP00000018601;ENSMMSP00000018442;ENSMMSP00000022913;ENSMMSP00000032657;ENSMMSP00000027689;ENSMMSP00000027799;ENSMMSP00000027600;ENSMMSP00000027635;;ENSMMSP00000008803;ENSMMSP00000021921;ENSMMSP00000022026;ENSMMSP00000016440;ENSMMSP00000016379;;;ENSMMSP00000003839;ENSMMSP00000003767;ENSMMSP00000028104;;;;ENSMMSP00000011702;ENSMMSP00000011761;;;;;;ENSMMSP00000029562;;ENSMMSP00000012290;;ENSMMSP00000002867;ENSMMSP00000021332;ENSMMSP00000021353;ENSMMSP00000007581;ENSMMSP00000007609;ENSMMSP00000013867;ENSMMSP00000013779;ENSMMSP00000006938;ENSMMSP00000010168;;;ENSMMSP00000016209;;ENSMMSP00000014987;ENSMMSP00000021095;;;;;;;;ENSMMSP00000024229;;;;ENSMMSP00000029772;;;;;;;;;;;ENSMMSP00000027360;;;;;ENSMMSP00000031387;;ENSMMSP00000018563;;;ENSMMSP00000024309;ENSMMSP00000024274;;ENSMMSP00000007955;;;;;ENSMMSP00000024785;ENSMMSP00000024696;ENSMMSP00000032676;;;;;ENSMMSP00000021209;ENSMMSP00000027068;ENSMMSP00000027525;;;ENSMMSP00000009761;;;ENSMMSP00000020941;;ENSMMSP00000008099;;;;;ENSMMSP00000010729;;;;;;;;;;;;;
Mammalia;Artiodactyla;Ovis_aries;ENSOARP00000021886;ENSOARP00000021892;ENSOARP00000000778;;ENSOARP00000008579;ENSOARP00000008717;ENSOARP00000000416;ENSOARP00000000430;;ENSOARP00000002082;ENSOARP00000008371;ENSOARP00000007850;;ENSOARP00000008383;ENSOARP00000011810;ENSOARP00000011907;ENSOARP00000011902;;ENSOARP00000020922;;ENSOARP00000017786;ENSOARP00000017983;ENSOARP00000019378;ENSOARP00000019450;ENSOARP00000008136;ENSOARP00000008065;ENSOARP00000007188;ENSOARP00000007063;;ENSOARP00000013304;ENSOARP00000011264;ENSOARP00000011309;ENSOARP00000014949;ENSOARP00000015094;ENSOARP00000011792;ENSOARP00000011781;ENSOARP00000005002;ENSOARP00000005026;ENSOARP00000014557;ENSOARP00000014236;ENSOARP00000013220;ENSOARP00000013182;ENSOARP00000009126;ENSOARP00000009106;;ENSOARP00000002107;;;;ENSOARP00000015986;ENSOARP00000008732;ENSOARP00000009354;ENSOARP00000006999;ENSOARP00000006982;ENSOARP00000018155;;ENSOARP00000013057;ENSOARP00000013214;ENSOARP00000014852;ENSOARP00000015038;ENSOARP00000008259;ENSOARP00000008322;ENSOARP00000015144;ENSOARP00000015066;ENSOARP00000022396;ENSOARP00000022389;;ENSOARP00000012948;ENSOARP00000001107;ENSOARP00000022780;ENSOARP00000022629;ENSOARP00000022627;;;ENSOARP00000015022;ENSOARP00000015244;ENSOARP00000013703;;;;ENSOARP00000010425;ENSOARP00000010550;;;;;;;;ENSOARP00000021348;ENSOARP00000000587;;ENSOARP00000000128;;ENSOARP00000004918;;ENSOARP00000003258;ENSOARP00000003507;ENSOARP00000009976;ENSOARP00000009866;;ENSOARP00000012432;ENSOARP00000014031;;ENSOARP00000012223;ENSOARP00000021604;;;;;;;;ENSOARP00000001355;;;ENSOARP00000016853;;;;;;;;;;;;ENSOARP00000021793;;;;;ENSOARP00000006189;;ENSOARP00000000059;;;ENSOARP00000014726;ENSOARP00000014853;;ENSOARP00000007928;;;;ENSOARP00000015168;ENSOARP00000009648;ENSOARP00000009839;ENSOARP00000008115;;;;ENSOARP00000012819;;ENSOARP00000009798;ENSOARP00000009652;;;ENSOARP00000007486;;;ENSOARP00000007961;;ENSOARP00000015783;;;;;;ENSOARP00000021003;;;;;;;;;;ENSOARP00000014591;;
Mammalia;Artiodactyla;Physeter_catodon;ENSPCTP00005000263;ENSPCTP00005000260;ENSPCTP00005022118;;ENSPCTP00005032137;ENSPCTP00005032136;ENSPCTP00005023199;ENSPCTP00005023146;;ENSPCTP00005004131;;ENSPCTP00005003583;ENSPCTP00005003592;ENSPCTP00005003573;ENSPCTP00005006823;ENSPCTP00005006781;;ENSPCTP00005003359;ENSPCTP00005024653;;ENSPCTP00005027792;ENSPCTP00005027020;ENSPCTP00005009510;ENSPCTP00005009364;;ENSPCTP00005011113;ENSPCTP00005017540;ENSPCTP00005017463;;ENSPCTP00005025389;ENSPCTP00005011430;ENSPCTP00005011451;ENSPCTP00005006140;ENSPCTP00005006194;ENSPCTP00005031283;ENSPCTP00005031293;ENSPCTP00005004392;ENSPCTP00005004361;ENSPCTP00005010609;ENSPCTP00005010532;ENSPCTP00005000832;ENSPCTP00005000701;ENSPCTP00005015803;ENSPCTP00005015748;;ENSPCTP00005006933;ENSPCTP00005000686;;;ENSPCTP00005015664;ENSPCTP00005016982;ENSPCTP00005018785;ENSPCTP00005030008;;;;;;ENSPCTP00005018525;ENSPCTP00005018603;ENSPCTP00005026080;ENSPCTP00005012047;ENSPCTP00005027309;ENSPCTP00005027010;ENSPCTP00005013333;ENSPCTP00005013433;;;ENSPCTP00005004229;;ENSPCTP00005025896;ENSPCTP00005025792;;;ENSPCTP00005006573;;;;ENSPCTP00005019197;;ENSPCTP00005022891;ENSPCTP00005022820;;;;;;ENSPCTP00005009803;;;;ENSPCTP00005012934;ENSPCTP00005006100;ENSPCTP00005006084;ENSPCTP00005009226;ENSPCTP00005009250;ENSPCTP00005029204;ENSPCTP00005029232;ENSPCTP00005031165;ENSPCTP00005031153;;;ENSPCTP00005024379;;ENSPCTP00005021205;ENSPCTP00005010423;;;;;;;;;;;;ENSPCTP00005017049;;;;;;;;;;;ENSPCTP00005005665;;;;;ENSPCTP00005006450;;ENSPCTP00005015228;;;ENSPCTP00005023497;ENSPCTP00005023612;;ENSPCTP00005015590;;;;;ENSPCTP00005019296;ENSPCTP00005019060;;;;ENSPCTP00005003358;ENSPCTP00005026108;;ENSPCTP00005026556;ENSPCTP00005025660;;;;ENSPCTP00005000172;;ENSPCTP00005005631;;ENSPCTP00005011889;;;;ENSPCTP00005018251;;;;;;;;;;;;;;
Mammalia;Artiodactyla;Sus_scrofa;ENSSSCP00000004292;;ENSSSCP00000021547;;ENSSSCP00000004152;ENSSSCP00000047073;ENSSSCP00000029038;ENSSSCP00000032082;;;ENSSSCP00000020827;ENSSSCP00000035690;ENSSSCP00000035458;ENSSSCP00000061045;ENSSSCP00000006754;ENSSSCP00000072279;ENSSSCP00000017368;;ENSSSCP00000017145;;ENSSSCP00000022197;ENSSSCP00000067400;;ENSSSCP00000057507;ENSSSCP00000017924;ENSSSCP00000030641;ENSSSCP00000028408;ENSSSCP00000029791;;ENSSSCP00000001686;ENSSSCP00000044779;ENSSSCP00000044720;ENSSSCP00000001905;ENSSSCP00000030221;ENSSSCP00000004627;ENSSSCP00000004628;ENSSSCP00000040595;ENSSSCP00000004366;ENSSSCP00000039659;ENSSSCP00000043600;ENSSSCP00000033643;ENSSSCP00000045163;;ENSSSCP00000058063;ENSSSCP00000019414;ENSSSCP00000068286;;;;ENSSSCP00000053206;ENSSSCP00000011311;ENSSSCP00000069487;ENSSSCP00000068777;ENSSSCP00000015684;ENSSSCP00000054321;ENSSSCP00000015458;ENSSSCP00000062616;;ENSSSCP00000013903;ENSSSCP00000013904;;;ENSSSCP00000062098;ENSSSCP00000062122;ENSSSCP00000058043;ENSSSCP00000056748;ENSSSCP00000002303;ENSSSCP00000002302;ENSSSCP00000002520;ENSSSCP00000036851;ENSSSCP00000005035;ENSSSCP00000005037;;;ENSSSCP00000008545;ENSSSCP00000025697;ENSSSCP00000008388;;;;ENSSSCP00000018991;ENSSSCP00000018990;;;ENSSSCP00000059672;ENSSSCP00000042824;;ENSSSCP00000014714;;ENSSSCP00000042867;;ENSSSCP00000063636;ENSSSCP00000058155;ENSSSCP00000057983;ENSSSCP00000007626;ENSSSCP00000007625;ENSSSCP00000013044;ENSSSCP00000022462;ENSSSCP00000013109;ENSSSCP00000028513;;;;ENSSSCP00000068753;ENSSSCP00000021841;ENSSSCP00000035013;;;;;ENSSSCP00000073041;;;ENSSSCP00000036748;;;;ENSSSCP00000039768;;;;;;;;;;;ENSSSCP00000051590;;;;;ENSSSCP00000008062;;ENSSSCP00000039538;;;ENSSSCP00000059034;ENSSSCP00000030498;;ENSSSCP00000063459;;;;;ENSSSCP00000016015;ENSSSCP00000028968;ENSSSCP00000051211;;;ENSSSCP00000064741;ENSSSCP00000023144;;ENSSSCP00000017865;ENSSSCP00000070538;;;ENSSSCP00000067594;;ENSSSCP00000064633;;;ENSSSCP00000045658;;;;;;;;;;;;;;;;;;ENSSSCP00000027437
Mammalia;Artiodactyla;Tursiops_truncatus;ENSTTRP00000003378;ENSTTRP00000003379;ENSTTRP00000012442;;ENSTTRP00000004575;ENSTTRP00000004596;ENSTTRP00000000015;ENSTTRP00000000014;;;;ENSTTRP00000008299;;;ENSTTRP00000001209;ENSTTRP00000001211;;ENSTTRP00000014543;ENSTTRP00000012198;;ENSTTRP00000009341;ENSTTRP00000008825;ENSTTRP00000000937;ENSTTRP00000000939;ENSTTRP00000015172;ENSTTRP00000015175;;ENSTTRP00000013375;ENSTTRP00000016507;ENSTTRP00000013583;ENSTTRP00000007979;ENSTTRP00000007982;ENSTTRP00000004554;ENSTTRP00000003482;ENSTTRP00000001402;ENSTTRP00000001403;ENSTTRP00000014863;ENSTTRP00000014867;ENSTTRP00000011523;ENSTTRP00000014409;ENSTTRP00000005768;ENSTTRP00000015231;ENSTTRP00000006180;ENSTTRP00000006184;;ENSTTRP00000008701;;;;;ENSTTRP00000012763;ENSTTRP00000011383;ENSTTRP00000000968;ENSTTRP00000008994;;;;;ENSTTRP00000009812;ENSTTRP00000009821;ENSTTRP00000010582;ENSTTRP00000010584;ENSTTRP00000005560;ENSTTRP00000005588;ENSTTRP00000012149;ENSTTRP00000012153;;;;;ENSTTRP00000012872;ENSTTRP00000012873;;;;ENSTTRP00000009636;;;;;ENSTTRP00000003753;ENSTTRP00000003754;;;;;;;;;;ENSTTRP00000008587;ENSTTRP00000000889;ENSTTRP00000000888;ENSTTRP00000011342;;ENSTTRP00000008578;ENSTTRP00000008656;ENSTTRP00000002285;ENSTTRP00000010452;;;ENSTTRP00000013610;;ENSTTRP00000010578;ENSTTRP00000012711;;;;;ENSTTRP00000005047;;;ENSTTRP00000002708;;;;ENSTTRP00000008028;;;;;;;;;;;;;;;;ENSTTRP00000010906;;ENSTTRP00000008580;;;ENSTTRP00000001936;;ENSTTRP00000007598;;;;;;ENSTTRP00000003995;ENSTTRP00000004007;ENSTTRP00000010577;;;ENSTTRP00000010045;ENSTTRP00000006045;;ENSTTRP00000010373;ENSTTRP00000003514;;;;ENSTTRP00000004557;;ENSTTRP00000009304;;ENSTTRP00000015106;;;;ENSTTRP00000013881;;;;;;;;;;;;ENSTTRP00000008520;;
Mammalia;Artiodactyla;Vicugna_pacos;;;ENSVPAP00000004295;;ENSVPAP00000009275;ENSVPAP00000009276;;;;ENSVPAP00000007899;;ENSVPAP00000009516;ENSVPAP00000009517;ENSVPAP00000006145;ENSVPAP00000001004;ENSVPAP00000001006;;ENSVPAP00000006279;;;ENSVPAP00000010120;ENSVPAP00000004608;ENSVPAP00000010945;ENSVPAP00000010946;ENSVPAP00000008827;ENSVPAP00000008828;;;;;ENSVPAP00000011417;ENSVPAP00000003354;ENSVPAP00000000505;ENSVPAP00000000507;ENSVPAP00000007520;ENSVPAP00000001561;ENSVPAP00000011080;ENSVPAP00000005939;ENSVPAP00000003096;ENSVPAP00000003097;;ENSVPAP00000001637;ENSVPAP00000008312;ENSVPAP00000008313;;;;;;;ENSVPAP00000001665;ENSVPAP00000001304;;ENSVPAP00000007925;ENSVPAP00000005595;ENSVPAP00000001888;ENSVPAP00000011286;ENSVPAP00000010786;ENSVPAP00000007741;ENSVPAP00000002933;ENSVPAP00000001800;ENSVPAP00000001801;;;;ENSVPAP00000004314;ENSVPAP00000011736;;ENSVPAP00000005168;;ENSVPAP00000009147;;;;;;;ENSVPAP00000003164;;;ENSVPAP00000003322;;;;ENSVPAP00000010292;;;ENSVPAP00000003638;;ENSVPAP00000007377;;ENSVPAP00000002408;ENSVPAP00000000412;ENSVPAP00000000416;;;ENSVPAP00000000607;ENSVPAP00000000608;;;;ENSVPAP00000010748;;ENSVPAP00000009999;;ENSVPAP00000001985;;;;;ENSVPAP00000007576;;;;;;;;;;;;;;;;;;;;;;;;;ENSVPAP00000007500;;;ENSVPAP00000007861;;;;;;;;ENSVPAP00000005180;ENSVPAP00000005183;;;;;ENSVPAP00000001736;;ENSVPAP00000002347;ENSVPAP00000002351;;;;;ENSVPAP00000008097;;;ENSVPAP00000002953;;;;;;;;;;;;;;;;ENSVPAP00000002966;ENSVPAP00000002114;
Mammalia;Carnivora;Ailuropoda_melanoleuca;ENSAMEP00000000639;ENSAMEP00000000636;ENSAMEP00000014767;;ENSAMEP00000004307;ENSAMEP00000007401;ENSAMEP00000020661;ENSAMEP00000012875;ENSAMEP00000006465;ENSAMEP00000006415;;ENSAMEP00000016549;ENSAMEP00000016544;ENSAMEP00000016538;ENSAMEP00000001481;ENSAMEP00000001443;;ENSAMEP00000003787;ENSAMEP00000021089;;ENSAMEP00000012069;ENSAMEP00000001529;ENSAMEP00000008675;ENSAMEP00000008654;ENSAMEP00000003762;ENSAMEP00000003839;;ENSAMEP00000009736;;ENSAMEP00000000577;ENSAMEP00000005481;ENSAMEP00000005489;ENSAMEP00000009041;ENSAMEP00000009032;ENSAMEP00000008299;ENSAMEP00000008294;ENSAMEP00000015981;ENSAMEP00000015910;ENSAMEP00000002533;ENSAMEP00000002655;ENSAMEP00000009042;ENSAMEP00000015373;ENSAMEP00000016922;ENSAMEP00000016948;;ENSAMEP00000011283;;;;;ENSAMEP00000019072;ENSAMEP00000008983;ENSAMEP00000021129;ENSAMEP00000021134;ENSAMEP00000021307;ENSAMEP00000021306;ENSAMEP00000019562;ENSAMEP00000001681;ENSAMEP00000017708;ENSAMEP00000017740;ENSAMEP00000011472;ENSAMEP00000011463;ENSAMEP00000002075;ENSAMEP00000002065;ENSAMEP00000011282;ENSAMEP00000011280;;;ENSAMEP00000020640;ENSAMEP00000020880;ENSAMEP00000002355;;;;ENSAMEP00000007832;ENSAMEP00000007842;;ENSAMEP00000009341;;;ENSAMEP00000017255;ENSAMEP00000017264;;;;;;ENSAMEP00000020550;ENSAMEP00000019797;ENSAMEP00000019801;;ENSAMEP00000010023;ENSAMEP00000011868;ENSAMEP00000011866;;ENSAMEP00000011643;ENSAMEP00000017388;ENSAMEP00000017319;ENSAMEP00000002981;;;ENSAMEP00000006254;ENSAMEP00000013313;ENSAMEP00000008044;ENSAMEP00000012033;ENSAMEP00000015063;;;;;ENSAMEP00000018748;;;ENSAMEP00000010986;;;;ENSAMEP00000019732;;;;;;;;;;;ENSAMEP00000004250;;;;;ENSAMEP00000016263;;ENSAMEP00000005582;;;ENSAMEP00000014616;ENSAMEP00000014659;ENSAMEP00000002421;;;;;;ENSAMEP00000013878;ENSAMEP00000013860;;;;ENSAMEP00000019550;;ENSAMEP00000009970;ENSAMEP00000016257;ENSAMEP00000016133;;;ENSAMEP00000016616;;;ENSAMEP00000017054;;ENSAMEP00000000337;;;;ENSAMEP00000005824;;;;;;;;;;;;ENSAMEP00000017811;;ENSAMEP00000000870
Mammalia;Carnivora;Canis_lupus_familiaris;ENSCAFP00000065789;ENSCAFP00000003737;ENSCAFP00000007193;;ENSCAFP00000049192;ENSCAFP00000027955;ENSCAFP00000046808;ENSCAFP00000042882;ENSCAFP00000016826;;;ENSCAFP00000017284;;ENSCAFP00000017329;ENSCAFP00000040445;ENSCAFP00000019519;ENSCAFP00000041550;;ENSCAFP00000021547;;ENSCAFP00000053534;ENSCAFP00000061489;ENSCAFP00000066702;ENSCAFP00000052996;ENSCAFP00000010258;ENSCAFP00000062759;ENSCAFP00000000848;ENSCAFP00000000849;;ENSCAFP00000001934;ENSCAFP00000002967;ENSCAFP00000002969;ENSCAFP00000044804;ENSCAFP00000059556;ENSCAFP00000042815;ENSCAFP00000033796;ENSCAFP00000054911;ENSCAFP00000001067;ENSCAFP00000045078;ENSCAFP00000012806;ENSCAFP00000002238;ENSCAFP00000002118;ENSCAFP00000029605;ENSCAFP00000029604;;ENSCAFP00000041594;;;;ENSCAFP00000048431;ENSCAFP00000015628;ENSCAFP00000056191;;ENSCAFP00000035576;ENSCAFP00000065498;ENSCAFP00000061955;ENSCAFP00000011892;ENSCAFP00000033391;ENSCAFP00000023629;;;ENSCAFP00000018230;ENSCAFP00000056359;ENSCAFP00000046740;ENSCAFP00000019467;ENSCAFP00000035696;ENSCAFP00000008487;;ENSCAFP00000024506;ENSCAFP00000024513;ENSCAFP00000020183;ENSCAFP00000020192;;;ENSCAFP00000054224;ENSCAFP00000029011;ENSCAFP00000058108;;;;ENSCAFP00000047486;ENSCAFP00000023507;;;ENSCAFP00000054231;ENSCAFP00000038489;ENSCAFP00000041020;;ENSCAFP00000054657;ENSCAFP00000045317;ENSCAFP00000044913;;ENSCAFP00000010369;ENSCAFP00000010367;ENSCAFP00000048730;ENSCAFP00000061071;ENSCAFP00000021307;ENSCAFP00000021330;;ENSCAFP00000023679;ENSCAFP00000044299;;ENSCAFP00000041606;;ENSCAFP00000048425;ENSCAFP00000017483;;;;;ENSCAFP00000007466;;;ENSCAFP00000037471;;;;ENSCAFP00000013846;;;;;;;;;;;ENSCAFP00000018973;;;;;ENSCAFP00000017191;;ENSCAFP00000021934;;;ENSCAFP00000035912;ENSCAFP00000055778;ENSCAFP00000065183;;;;;;ENSCAFP00000052947;ENSCAFP00000018809;ENSCAFP00000018268;;;ENSCAFP00000042902;;ENSCAFP00000003036;ENSCAFP00000027458;ENSCAFP00000027446;;;;ENSCAFP00000011294;;ENSCAFP00000001850;;ENSCAFP00000000696;;;;;;;;;;;;;;;;ENSCAFP00000058282;;ENSCAFP00000016811
Mammalia;Carnivora;Felis_catus;ENSFCAP00000056643;ENSFCAP00000005747;ENSFCAP00000021768;ENSFCAP00000055017;ENSFCAP00000055942;ENSFCAP00000027833;ENSFCAP00000002948;ENSFCAP00000013038;ENSFCAP00000040744;ENSFCAP00000008015;;;ENSFCAP00000009751;ENSFCAP00000058298;ENSFCAP00000019941;ENSFCAP00000040484;;ENSFCAP00000041390;ENSFCAP00000028601;;ENSFCAP00000042954;ENSFCAP00000013452;ENSFCAP00000020570;ENSFCAP00000042725;ENSFCAP00000042799;ENSFCAP00000010090;ENSFCAP00000022767;ENSFCAP00000025534;;ENSFCAP00000048698;ENSFCAP00000028117;ENSFCAP00000020407;ENSFCAP00000033272;ENSFCAP00000007893;ENSFCAP00000056200;ENSFCAP00000006294;ENSFCAP00000049523;ENSFCAP00000002625;;ENSFCAP00000025697;ENSFCAP00000042686;ENSFCAP00000061371;ENSFCAP00000008321;ENSFCAP00000061372;;;;;;ENSFCAP00000042629;ENSFCAP00000006930;ENSFCAP00000030623;;ENSFCAP00000020282;ENSFCAP00000019764;ENSFCAP00000038479;ENSFCAP00000003175;ENSFCAP00000009349;ENSFCAP00000021474;ENSFCAP00000018641;ENSFCAP00000028332;ENSFCAP00000035139;ENSFCAP00000060584;ENSFCAP00000033700;ENSFCAP00000037636;ENSFCAP00000012975;ENSFCAP00000015507;ENSFCAP00000020464;;ENSFCAP00000040918;ENSFCAP00000032849;ENSFCAP00000058802;;;ENSFCAP00000020912;ENSFCAP00000055348;;;;;;ENSFCAP00000046005;;;ENSFCAP00000017400;ENSFCAP00000044754;;ENSFCAP00000042141;ENSFCAP00000023212;ENSFCAP00000044678;ENSFCAP00000040966;;ENSFCAP00000032127;ENSFCAP00000030858;ENSFCAP00000024172;ENSFCAP00000027829;ENSFCAP00000047285;ENSFCAP00000012137;ENSFCAP00000061226;ENSFCAP00000017011;;;ENSFCAP00000046143;;ENSFCAP00000037752;ENSFCAP00000008082;;;;;ENSFCAP00000011502;;;ENSFCAP00000050742;;;;ENSFCAP00000024139;;;;;;;;;;;ENSFCAP00000039272;;;;;ENSFCAP00000010601;;ENSFCAP00000037675;;;ENSFCAP00000023390;ENSFCAP00000001405;;ENSFCAP00000054850;;;;;;ENSFCAP00000010929;ENSFCAP00000006855;;;ENSFCAP00000019310;ENSFCAP00000024986;;ENSFCAP00000023761;ENSFCAP00000013782;;;ENSFCAP00000031428;;;ENSFCAP00000011956;;ENSFCAP00000060648;;;;ENSFCAP00000001789;;;;;;;;;;;;ENSFCAP00000056009;ENSFCAP00000046406;
