Classes;Orders;Species;0A;0B;1A;1B;2A;2B;3A;3B;4A;4B;5A;5B;6A;6B;7A;7B;8A;8B;9A;9B;10A;10B;11A;11B;12A;12B;13A;13B;14A;14B;15A;15B;16A;16B;17A;17B;18A;18B;19A;19B;20A;20B;21A;21B;22A;22B;23A;23B;24A;24B;25A;25B;26A;26B;27A;27B;28A;28B;29A;29B;30A;30B;31A;31B;32A;32B;33A;33B;34A;34B;35A;35B;36A;36B;37A;37B;38A;38B;39A;39B;40A;40B;41A;41B;42A;42B;43A;43B;44A;44B;45A;45B;46A;46B;47A;47B;48A;48B;49A;49B;50A;50B;51A;51B;52A;52B;53A;53B;54A;54B;55A;55B;56A;56B;57A;57B;58A;58B;59A;59B;60A;60B;61A;61B;62A;62B;63A;63B;64A;64B;65A;65B;66A;66B;67A;67B;68A;68B;69A;69B;70A;70B;71A;71B;72A;72B;73A;73B;74A;74B;75A;75B;76A;76B;77A;77B;78A;78B;79A;79B;80A;80B;81A;81B;82A;82B;83A;83B;84A;84B;85A;85B;86A;86B;87A;87B;88A;88B;89A;89B;90A;90B;91A;91B;92A;92B;93A;93B;94A;94B;95A;95B;96A;96B;97A;97B;98A;98B;99A;99B;100A;100B;101A;101B;102A;102B;103A;103B;104A;104B;105A;105B;106A;106B;107A;107B;108A;108B;109A;109B;110A;110B
Actinopteri;Semionotiformes;Lepisosteus_oculatus;;;;;ENSLOCP00000007047;ENSLOCP00000009539;;;;;;ENSLOCP00000012445;;;;ENSLOCP00000020267;;ENSLOCP00000019273;ENSLOCP00000000741;;;;;ENSLOCP00000020440;ENSLOCP00000006792;;;;;;;;ENSLOCP00000015536;;;ENSLOCP00000013664;ENSLOCP00000005234;ENSLOCP00000007669;ENSLOCP00000013765;;ENSLOCP00000021378;ENSLOCP00000014355;;;;;;;;;;;;ENSLOCP00000019367;;;ENSLOCP00000021533;ENSLOCP00000021535;;;;;;ENSLOCP00000022151;;;;;ENSLOCP00000015487;;;;;;;;;ENSLOCP00000003679;ENSLOCP00000008205;;;;;;;;;ENSLOCP00000010925;;;ENSLOCP00000007734;;ENSLOCP00000009390;ENSLOCP00000009425;ENSLOCP00000017472;;ENSLOCP00000005937;;;;;;;ENSLOCP00000001108;;ENSLOCP00000009885;ENSLOCP00000015437;;;;;;;;;;;;;;;;ENSLOCP00000013766;;;;;;;;ENSLOCP00000019295;ENSLOCP00000019299;ENSLOCP00000013680;;ENSLOCP00000019297;;;ENSLOCP00000019358;ENSLOCP00000018571;;;;ENSLOCP00000008538;ENSLOCP00000008515;;ENSLOCP00000008445;;ENSLOCP00000001501;;ENSLOCP00000021835;;ENSLOCP00000009253;ENSLOCP00000001998;;ENSLOCP00000018011;;ENSLOCP00000016437;;ENSLOCP00000022054;;;;;;;;;ENSLOCP00000003496;ENSLOCP00000009121;;;;ENSLOCP00000015078;ENSLOCP00000015096;;;;;;ENSLOCP00000004303;ENSLOCP00000003748;;;ENSLOCP00000013676;;;;ENSLOCP00000000040;ENSLOCP00000002855;ENSLOCP00000002878;ENSLOCP00000015393;;;;;ENSLOCP00000016951;;;ENSLOCP00000002790;ENSLOCP00000002826;;ENSLOCP00000005049;;ENSLOCP00000010428;;ENSLOCP00000020273;;;ENSLOCP00000020916;;;;;ENSLOCP00000004345;;ENSLOCP00000020124;ENSLOCP00000016781;;;ENSLOCP00000001959;;
Actinopteri;Siluriformes;Ictalurus_punctatus;;;;;ENSIPUP00000006095;ENSIPUP00000006050;;;;;ENSIPUP00000004332;;ENSIPUP00000002830;ENSIPUP00000002801;;ENSIPUP00000013710;;;;;;;;ENSIPUP00000026976;ENSIPUP00000037219;;;;;;;;ENSIPUP00000007657;;ENSIPUP00000037445;ENSIPUP00000008889;ENSIPUP00000033713;ENSIPUP00000029157;ENSIPUP00000015850;;ENSIPUP00000000876;ENSIPUP00000001549;;;;;;;;;;;;ENSIPUP00000030750;ENSIPUP00000027813;;ENSIPUP00000036749;ENSIPUP00000036742;;;;;;;;;;;ENSIPUP00000004475;;;;;;;;;ENSIPUP00000010318;;;;ENSIPUP00000035951;;;;;;;;;;;ENSIPUP00000030928;ENSIPUP00000016844;ENSIPUP00000002814;;;ENSIPUP00000028035;;;;ENSIPUP00000012654;ENSIPUP00000002059;;;;ENSIPUP00000030182;;;;;;;;;;;;;;;;;ENSIPUP00000018680;;;;;;;ENSIPUP00000012073;ENSIPUP00000012195;;;ENSIPUP00000018643;;;ENSIPUP00000030783;ENSIPUP00000032570;;;;;ENSIPUP00000012893;;ENSIPUP00000023831;;;;;;ENSIPUP00000001274;ENSIPUP00000003339;;ENSIPUP00000015458;;ENSIPUP00000026734;;;;;ENSIPUP00000024117;;;;;;ENSIPUP00000035227;ENSIPUP00000005120;;;;ENSIPUP00000035880;ENSIPUP00000035875;;;;;;ENSIPUP00000037155;;;;;;;ENSIPUP00000024305;;ENSIPUP00000012584;ENSIPUP00000012536;ENSIPUP00000026364;ENSIPUP00000026526;ENSIPUP00000026957;ENSIPUP00000026932;;ENSIPUP00000000511;;ENSIPUP00000032429;ENSIPUP00000004201;ENSIPUP00000004267;ENSIPUP00000006466;ENSIPUP00000006418;ENSIPUP00000004663;ENSIPUP00000004690;;ENSIPUP00000013617;;;ENSIPUP00000008246;;;ENSIPUP00000028164;ENSIPUP00000007189;;ENSIPUP00000035400;ENSIPUP00000035401;ENSIPUP00000013874;ENSIPUP00000013904;;ENSIPUP00000003374;ENSIPUP00000018812;ENSIPUP00000033122
Actinopteri;Spariformes;Sparus_aurata;;;;;ENSSAUP00010038194;;;;;;;;;ENSSAUP00010022865;;ENSSAUP00010060227;;;ENSSAUP00010037704;;;;;ENSSAUP00010063849;ENSSAUP00010017582;;;;;;;;ENSSAUP00010058449;;;ENSSAUP00010032164;ENSSAUP00010043374;ENSSAUP00010029095;ENSSAUP00010023644;;ENSSAUP00010054681;ENSSAUP00010015393;;;;;;;;;;;;ENSSAUP00010020506;ENSSAUP00010048716;;ENSSAUP00010046514;ENSSAUP00010002961;;;;;;;;;;;;;;;;;;;;ENSSAUP00010062722;ENSSAUP00010025575;;;;;;;;;;;;;;ENSSAUP00010059842;ENSSAUP00010039653;ENSSAUP00010035667;;ENSSAUP00010019733;;;;;ENSSAUP00010057876;;ENSSAUP00010061857;;ENSSAUP00010023960;ENSSAUP00010053686;;;;;;;;;;;;;;;;ENSSAUP00010068582;;;;;;;;ENSSAUP00010054879;ENSSAUP00010054929;ENSSAUP00010034281;;ENSSAUP00010012937;;;ENSSAUP00010019761;ENSSAUP00010044641;;;;;ENSSAUP00010038677;;ENSSAUP00010039279;;ENSSAUP00010056188;;;;ENSSAUP00010052647;;;ENSSAUP00010057154;;ENSSAUP00010055072;;;;;;;;;;;ENSSAUP00010063216;ENSSAUP00010021081;;;;ENSSAUP00010012359;ENSSAUP00010012349;;;;;;ENSSAUP00010026186;;;;ENSSAUP00010018251;;;ENSSAUP00010051240;ENSSAUP00010029418;ENSSAUP00010010204;ENSSAUP00010010200;ENSSAUP00010051252;ENSSAUP00010050588;ENSSAUP00010030127;;;ENSSAUP00010016274;;ENSSAUP00010000472;ENSSAUP00010046869;ENSSAUP00010046876;ENSSAUP00010054107;ENSSAUP00010054274;;ENSSAUP00010048980;;ENSSAUP00010060782;;;ENSSAUP00010007165;;;ENSSAUP00010053752;ENSSAUP00010015625;;;ENSSAUP00010039462;ENSSAUP00010013249;ENSSAUP00010008339;ENSSAUP00010066645;ENSSAUP00010066638;;ENSSAUP00010019298
Actinopteri;Synbranchiformes;Mastacembelus_armatus;;;;;ENSMAMP00000026123;;;;;;;;;;;ENSMAMP00000032448;;;;ENSMAMP00000015004;;;;ENSMAMP00000032014;ENSMAMP00000023777;;;;;;;;ENSMAMP00000019648;;;ENSMAMP00000027541;ENSMAMP00000010680;ENSMAMP00000019687;ENSMAMP00000003256;;ENSMAMP00000021549;ENSMAMP00000019429;;;;;;;;;;;;ENSMAMP00000027617;ENSMAMP00000032901;;ENSMAMP00000030147;ENSMAMP00000030970;;;;;;;;;;;;;;;;;;;;ENSMAMP00000034200;ENSMAMP00000032604;;;ENSMAMP00000006942;;;;;;;;;;;ENSMAMP00000012545;;ENSMAMP00000027575;;ENSMAMP00000020049;;;;;ENSMAMP00000010034;;;;ENSMAMP00000033114;ENSMAMP00000033184;;;;;;;;;;;;;;;;ENSMAMP00000030647;;;;;;;;ENSMAMP00000026442;ENSMAMP00000026459;ENSMAMP00000007477;;ENSMAMP00000026283;;;ENSMAMP00000027750;ENSMAMP00000023570;;;;;ENSMAMP00000007720;;ENSMAMP00000007184;;;;ENSMAMP00000002783;;ENSMAMP00000003703;;;ENSMAMP00000008008;;ENSMAMP00000016549;;;;;;;;;;;ENSMAMP00000005184;ENSMAMP00000036085;;;;ENSMAMP00000011619;ENSMAMP00000011597;;;;;;ENSMAMP00000004980;;;;ENSMAMP00000029033;;;ENSMAMP00000016127;ENSMAMP00000028457;ENSMAMP00000007883;ENSMAMP00000007946;ENSMAMP00000035209;ENSMAMP00000035201;ENSMAMP00000002357;;ENSMAMP00000010455;ENSMAMP00000010442;;;ENSMAMP00000027751;ENSMAMP00000027720;ENSMAMP00000010443;ENSMAMP00000010466;;ENSMAMP00000000101;;ENSMAMP00000032438;;;ENSMAMP00000011638;;ENSMAMP00000018035;;ENSMAMP00000005464;;;ENSMAMP00000031441;ENSMAMP00000020043;ENSMAMP00000018297;ENSMAMP00000017847;ENSMAMP00000017796;ENSMAMP00000008661;ENSMAMP00000008639
Actinopteri;Synbranchiformes;Monopterus_albus;;;;;ENSMALP00000023055;ENSMALP00000023077;;;;;;;;;;ENSMALP00000001677;;;;ENSMALP00000025917;;;;ENSMALP00000002755;ENSMALP00000012697;;;;;;;;ENSMALP00000030967;;ENSMALP00000025774;ENSMALP00000032480;ENSMALP00000006078;ENSMALP00000015943;ENSMALP00000000063;;ENSMALP00000023937;ENSMALP00000003979;;;;;;;;;;;;ENSMALP00000014656;;;ENSMALP00000001336;ENSMALP00000001306;;;;;;;;;;;;;;;;;;;;ENSMALP00000016940;ENSMALP00000027085;;;ENSMALP00000031142;;;;;;;;;;ENSMALP00000027773;ENSMALP00000003413;ENSMALP00000015272;ENSMALP00000019550;;ENSMALP00000031205;;;;;ENSMALP00000001661;;;;ENSMALP00000019807;ENSMALP00000007791;;;;;;;;;;;;;;;;ENSMALP00000004863;;ENSMALP00000010651;ENSMALP00000021801;;;;;ENSMALP00000001060;ENSMALP00000001079;;;ENSMALP00000009055;;;ENSMALP00000014846;ENSMALP00000015905;;;;;ENSMALP00000008629;;ENSMALP00000006858;;;;ENSMALP00000027583;;ENSMALP00000010403;;;ENSMALP00000020902;;ENSMALP00000016742;;;;;;;;;;;ENSMALP00000002050;ENSMALP00000019497;ENSMALP00000014912;;;ENSMALP00000028777;ENSMALP00000028762;;;;;;ENSMALP00000029415;;;;;;ENSMALP00000002180;ENSMALP00000021274;ENSMALP00000003186;ENSMALP00000002357;ENSMALP00000002317;ENSMALP00000030854;ENSMALP00000030896;ENSMALP00000029852;;;ENSMALP00000018142;;;;ENSMALP00000000496;ENSMALP00000011263;ENSMALP00000011290;;ENSMALP00000005395;;ENSMALP00000001597;;;ENSMALP00000017668;;;;ENSMALP00000015865;;;ENSMALP00000003314;ENSMALP00000014522;ENSMALP00000014999;ENSMALP00000028027;ENSMALP00000027987;;
Actinopteri;Syngnathiformes;Hippocampus_comes;;;;;;ENSHCOP00000022841;;;;;;;;;;ENSHCOP00000017936;;;;ENSHCOP00000003437;;;ENSHCOP00000017324;ENSHCOP00000009978;ENSHCOP00000013590;;;;;;;;ENSHCOP00000024285;;ENSHCOP00000003039;ENSHCOP00000000819;ENSHCOP00000015219;ENSHCOP00000025398;ENSHCOP00000003867;;ENSHCOP00000011088;ENSHCOP00000003840;;;;;;;;;;;;ENSHCOP00000023719;;;ENSHCOP00000015037;ENSHCOP00000027056;;;;;;;;;;;;;;;;;;;;ENSHCOP00000013943;;;;;;;;;;;;;;;ENSHCOP00000017897;ENSHCOP00000024977;ENSHCOP00000006605;;ENSHCOP00000001925;;;;ENSHCOP00000000611;;;ENSHCOP00000015605;;ENSHCOP00000020831;ENSHCOP00000005715;;;;;;;;;;;;;;;;ENSHCOP00000006078;;;;;;;;ENSHCOP00000026366;ENSHCOP00000019625;ENSHCOP00000005266;;ENSHCOP00000023348;;;ENSHCOP00000023802;ENSHCOP00000019100;;;;;ENSHCOP00000028242;;ENSHCOP00000016702;;ENSHCOP00000022266;;ENSHCOP00000015429;;ENSHCOP00000009209;;;ENSHCOP00000000472;;ENSHCOP00000017568;;;;;;;;;;;ENSHCOP00000017692;ENSHCOP00000010964;;;;;ENSHCOP00000006290;;;;;;ENSHCOP00000017710;;;;;;;ENSHCOP00000013909;ENSHCOP00000016210;ENSHCOP00000009626;ENSHCOP00000009596;ENSHCOP00000014454;ENSHCOP00000026692;ENSHCOP00000022600;;;ENSHCOP00000008020;;;;;ENSHCOP00000014654;ENSHCOP00000026800;;ENSHCOP00000000200;;ENSHCOP00000001204;;;ENSHCOP00000011680;;;ENSHCOP00000011964;;ENSHCOP00000027039;;ENSHCOP00000016495;ENSHCOP00000024908;;ENSHCOP00000013966;ENSHCOP00000014004;ENSHCOP00000021792;
Actinopteri;Tetraodontiformes;Mola_mola;;;;;;;;;;;;ENSMMOP00000000664;;;;ENSMMOP00000010149;;;;;;;;ENSMMOP00000004364;ENSMMOP00000004209;;;;;;;;ENSMMOP00000016982;;;ENSMMOP00000005911;ENSMMOP00000023722;ENSMMOP00000023865;ENSMMOP00000023023;;ENSMMOP00000025791;ENSMMOP00000000932;;;;;;;;;;;;ENSMMOP00000020631;ENSMMOP00000007009;;;ENSMMOP00000017601;;;;;;;;;;;;;;;;;;;;ENSMMOP00000011899;;ENSMMOP00000022737;;;;;;;;;;;;ENSMMOP00000006650;;ENSMMOP00000003058;ENSMMOP00000007481;;ENSMMOP00000000160;;;;ENSMMOP00000020785;;;ENSMMOP00000021752;;;ENSMMOP00000027259;;;;;;;;;;;;;;;;;;;;ENSMMOP00000015375;;;;ENSMMOP00000008711;ENSMMOP00000008692;ENSMMOP00000014621;;ENSMMOP00000024202;;;ENSMMOP00000020640;ENSMMOP00000012706;;;;;;;ENSMMOP00000001175;;ENSMMOP00000023364;;ENSMMOP00000027108;;ENSMMOP00000007831;;;ENSMMOP00000021373;;ENSMMOP00000024592;;;;;ENSMMOP00000004360;;;;;;ENSMMOP00000017434;ENSMMOP00000012210;ENSMMOP00000013088;;;ENSMMOP00000005908;ENSMMOP00000005840;;;;;;ENSMMOP00000026917;;;;ENSMMOP00000017348;;;ENSMMOP00000026589;ENSMMOP00000026240;ENSMMOP00000007424;ENSMMOP00000007422;ENSMMOP00000028729;ENSMMOP00000028727;ENSMMOP00000027095;;;ENSMMOP00000018602;;ENSMMOP00000026512;ENSMMOP00000018679;ENSMMOP00000018681;ENSMMOP00000025279;ENSMMOP00000025281;;;;ENSMMOP00000010153;;;ENSMMOP00000015538;;;ENSMMOP00000003184;;;;ENSMMOP00000021179;ENSMMOP00000018168;;ENSMMOP00000001946;ENSMMOP00000001950;;
Actinopteri;Tetraodontiformes;Takifugu_rubripes;;;;;ENSTRUP00000000383;ENSTRUP00000083334;;;;;;;;ENSTRUP00000056207;;ENSTRUP00000071734;;;;ENSTRUP00000050755;;;;ENSTRUP00000032687;ENSTRUP00000041554;;;;;;;;ENSTRUP00000054619;;ENSTRUP00000039991;ENSTRUP00000047168;ENSTRUP00000012185;ENSTRUP00000027532;ENSTRUP00000080690;;ENSTRUP00000075480;ENSTRUP00000073431;;;;;;;;;;;;ENSTRUP00000021511;;;ENSTRUP00000041030;ENSTRUP00000024787;;;;;;;;;;;;;;;;;;;;ENSTRUP00000044332;ENSTRUP00000058067;;;;;;;;;;;;;ENSTRUP00000008910;ENSTRUP00000080696;ENSTRUP00000055665;ENSTRUP00000049873;;;ENSTRUP00000088096;;;ENSTRUP00000049640;ENSTRUP00000051366;;ENSTRUP00000000905;;ENSTRUP00000007395;ENSTRUP00000039531;;;;;;;;;;;;;;;;ENSTRUP00000077579;;;;ENSTRUP00000052619;;;;ENSTRUP00000028325;ENSTRUP00000027282;ENSTRUP00000003826;;ENSTRUP00000032320;;;ENSTRUP00000083784;ENSTRUP00000076712;;;;;;;ENSTRUP00000019900;;ENSTRUP00000056752;;;;ENSTRUP00000045457;ENSTRUP00000046843;;ENSTRUP00000054147;;ENSTRUP00000051144;;;;;;;;;;;ENSTRUP00000086804;ENSTRUP00000051517;ENSTRUP00000054671;;;ENSTRUP00000054385;ENSTRUP00000010965;;;;;;ENSTRUP00000008370;;;;;;;ENSTRUP00000068140;ENSTRUP00000020591;ENSTRUP00000084452;ENSTRUP00000010768;ENSTRUP00000070173;ENSTRUP00000007127;ENSTRUP00000051475;;;ENSTRUP00000065229;;ENSTRUP00000062723;;ENSTRUP00000060012;ENSTRUP00000045168;;;ENSTRUP00000052757;;ENSTRUP00000023704;;;ENSTRUP00000014178;;;ENSTRUP00000086829;;;;ENSTRUP00000051957;ENSTRUP00000032647;;;;ENSTRUP00000049037;
Actinopteri;Tetraodontiformes;Tetraodon_nigroviridis;;;;;ENSTNIP00000003931;ENSTNIP00000008934;;;;;;;;;;ENSTNIP00000010280;;;;ENSTNIP00000003732;;;;ENSTNIP00000019713;ENSTNIP00000020773;;;;;;;;ENSTNIP00000004172;;;ENSTNIP00000010304;ENSTNIP00000002802;ENSTNIP00000018470;ENSTNIP00000022583;;ENSTNIP00000005860;ENSTNIP00000015931;;;;;;;;;;;;ENSTNIP00000003911;;;;ENSTNIP00000019205;;;;;;;;;;;;;;;;;;;;ENSTNIP00000012251;ENSTNIP00000012261;;;ENSTNIP00000014318;;;;;;;;;ENSTNIP00000009211;;ENSTNIP00000006596;;ENSTNIP00000021845;;ENSTNIP00000011868;;;;ENSTNIP00000014876;;;;;ENSTNIP00000013123;ENSTNIP00000014658;;;;;;;;;;;;;;;;ENSTNIP00000014203;;;;;;;;ENSTNIP00000000110;ENSTNIP00000004839;ENSTNIP00000009188;;ENSTNIP00000003975;;;ENSTNIP00000001184;ENSTNIP00000008632;;;;;;;ENSTNIP00000019174;;;;ENSTNIP00000013600;;ENSTNIP00000015728;ENSTNIP00000005903;;ENSTNIP00000014891;;ENSTNIP00000012389;;;;;;;;;;;ENSTNIP00000022870;ENSTNIP00000015517;ENSTNIP00000007022;;;ENSTNIP00000010093;ENSTNIP00000001019;;;;;;ENSTNIP00000006487;;;;ENSTNIP00000019790;;;ENSTNIP00000014244;ENSTNIP00000021797;ENSTNIP00000011411;ENSTNIP00000011410;ENSTNIP00000017758;ENSTNIP00000017759;;;;ENSTNIP00000008678;;ENSTNIP00000018896;ENSTNIP00000014933;ENSTNIP00000014934;ENSTNIP00000003895;;;ENSTNIP00000003546;;ENSTNIP00000010281;;;;;ENSTNIP00000007171;;;;;ENSTNIP00000015228;ENSTNIP00000009337;;;ENSTNIP00000005904;ENSTNIP00000015399;
Mammalia;Artiodactyla;Bison_bison_bison;;;;;;ENSBBBP00000005367;ENSBBBP00000013995;ENSBBBP00000013994;ENSBBBP00000025980;ENSBBBP00000025972;;ENSBBBP00000022613;ENSBBBP00000004925;ENSBBBP00000020163;ENSBBBP00000021007;ENSBBBP00000006169;ENSBBBP00000008575;ENSBBBP00000022620;ENSBBBP00000008535;;;;ENSBBBP00000001565;ENSBBBP00000001575;;;ENSBBBP00000009995;ENSBBBP00000023509;ENSBBBP00000020409;ENSBBBP00000005282;;;ENSBBBP00000016302;ENSBBBP00000016363;ENSBBBP00000020330;ENSBBBP00000005192;ENSBBBP00000025808;ENSBBBP00000013502;ENSBBBP00000002872;ENSBBBP00000018728;ENSBBBP00000014874;ENSBBBP00000014791;ENSBBBP00000018307;ENSBBBP00000008079;ENSBBBP00000002108;ENSBBBP00000002113;ENSBBBP00000013932;ENSBBBP00000008718;;ENSBBBP00000025910;ENSBBBP00000018061;ENSBBBP00000001659;;ENSBBBP00000001928;;;ENSBBBP00000002819;ENSBBBP00000002816;ENSBBBP00000006495;ENSBBBP00000006545;;;ENSBBBP00000015472;ENSBBBP00000027125;ENSBBBP00000021783;ENSBBBP00000007326;ENSBBBP00000008157;;ENSBBBP00000022341;ENSBBBP00000008197;;ENSBBBP00000001938;;ENSBBBP00000023845;ENSBBBP00000021983;ENSBBBP00000021949;;ENSBBBP00000021061;;;ENSBBBP00000002911;ENSBBBP00000002866;;ENSBBBP00000015976;;ENSBBBP00000025193;;;ENSBBBP00000013763;ENSBBBP00000013743;ENSBBBP00000014683;ENSBBBP00000026521;ENSBBBP00000005291;ENSBBBP00000020423;ENSBBBP00000015918;ENSBBBP00000015935;;ENSBBBP00000014418;ENSBBBP00000017552;ENSBBBP00000000884;;;;;;ENSBBBP00000012280;ENSBBBP00000018058;ENSBBBP00000001720;ENSBBBP00000013986;ENSBBBP00000013988;;;;;;;;;ENSBBBP00000016985;;;ENSBBBP00000003663;ENSBBBP00000013038;;ENSBBBP00000025221;ENSBBBP00000025222;;;;;ENSBBBP00000013228;ENSBBBP00000013289;;;ENSBBBP00000003829;ENSBBBP00000003850;ENSBBBP00000018268;ENSBBBP00000001957;ENSBBBP00000028124;ENSBBBP00000023397;ENSBBBP00000009236;;ENSBBBP00000023955;ENSBBBP00000010754;;ENSBBBP00000010877;;;;;ENSBBBP00000001205;;ENSBBBP00000023404;ENSBBBP00000023394;;;ENSBBBP00000001566;ENSBBBP00000017990;;;;;;;ENSBBBP00000001676;ENSBBBP00000002127;ENSBBBP00000008951;;ENSBBBP00000014256;ENSBBBP00000026247;;;ENSBBBP00000021655;ENSBBBP00000021648;;;;;;;;;;;;;ENSBBBP00000025346;ENSBBBP00000028511;;;;;;;;ENSBBBP00000006874;ENSBBBP00000025866;;ENSBBBP00000007199;;ENSBBBP00000020924;;;;;;;;ENSBBBP00000025837;;ENSBBBP00000017114;ENSBBBP00000017106;;ENSBBBP00000024136;;ENSBBBP00000014190;;;;;;
Mammalia;Artiodactyla;Bos_taurus;;;;;;ENSBTAP00000014083;ENSBTAP00000032116;ENSBTAP00000050799;ENSBTAP00000004029;ENSBTAP00000051501;;ENSBTAP00000013116;ENSBTAP00000065286;ENSBTAP00000058541;ENSBTAP00000021768;ENSBTAP00000021770;ENSBTAP00000022857;ENSBTAP00000064528;ENSBTAP00000073451;;;ENSBTAP00000012117;ENSBTAP00000021230;ENSBTAP00000027514;ENSBTAP00000004395;;;ENSBTAP00000023585;ENSBTAP00000025880;ENSBTAP00000001762;;;ENSBTAP00000069845;ENSBTAP00000072672;ENSBTAP00000002549;ENSBTAP00000019535;ENSBTAP00000057839;ENSBTAP00000067643;ENSBTAP00000025094;ENSBTAP00000035214;ENSBTAP00000027731;ENSBTAP00000021426;ENSBTAP00000008427;ENSBTAP00000022760;ENSBTAP00000056546;ENSBTAP00000056395;ENSBTAP00000047723;ENSBTAP00000050242;ENSBTAP00000050763;ENSBTAP00000052375;ENSBTAP00000009909;ENSBTAP00000012653;;ENSBTAP00000001674;;;ENSBTAP00000001810;ENSBTAP00000037110;ENSBTAP00000041338;ENSBTAP00000052604;;ENSBTAP00000031452;ENSBTAP00000054716;ENSBTAP00000025933;ENSBTAP00000053046;ENSBTAP00000068867;;ENSBTAP00000072149;ENSBTAP00000043925;ENSBTAP00000043930;;;ENSBTAP00000028184;ENSBTAP00000055863;ENSBTAP00000024605;ENSBTAP00000048570;;ENSBTAP00000007213;;;ENSBTAP00000063479;ENSBTAP00000068443;;ENSBTAP00000052703;;ENSBTAP00000039287;;;ENSBTAP00000054235;ENSBTAP00000023992;ENSBTAP00000008462;ENSBTAP00000044200;ENSBTAP00000042524;ENSBTAP00000011776;ENSBTAP00000002535;ENSBTAP00000017058;ENSBTAP00000063838;;ENSBTAP00000053212;ENSBTAP00000000094;ENSBTAP00000066585;ENSBTAP00000038578;ENSBTAP00000009636;;;ENSBTAP00000011204;ENSBTAP00000012497;ENSBTAP00000034715;ENSBTAP00000042180;ENSBTAP00000002344;;;;;;;;;;;;ENSBTAP00000053063;ENSBTAP00000000878;;ENSBTAP00000040894;ENSBTAP00000070576;ENSBTAP00000054474;;;;ENSBTAP00000045691;ENSBTAP00000018701;;;ENSBTAP00000059970;ENSBTAP00000011676;ENSBTAP00000011256;ENSBTAP00000012607;ENSBTAP00000071008;;;;ENSBTAP00000067515;ENSBTAP00000020610;;ENSBTAP00000065658;;;;;ENSBTAP00000000573;;ENSBTAP00000002463;ENSBTAP00000020168;;;ENSBTAP00000060503;ENSBTAP00000018618;;;;;;;ENSBTAP00000046960;ENSBTAP00000027907;ENSBTAP00000015977;ENSBTAP00000004411;ENSBTAP00000009504;ENSBTAP00000009501;;;ENSBTAP00000059310;ENSBTAP00000008801;;;;;;;;;;;;;ENSBTAP00000054336;;;;;;;;;ENSBTAP00000023810;ENSBTAP00000000529;;ENSBTAP00000069832;;ENSBTAP00000001456;;;ENSBTAP00000038287;;;;;ENSBTAP00000065256;;ENSBTAP00000014830;;;ENSBTAP00000001538;;ENSBTAP00000056178;;;;;;
